"t","x","y","z"
1.407608100E-2,5.192354694E-2,8.552113548E-3,3.665191587E-3
1.607608100E-2,5.131268129E-2,7.941247895E-3,-6.108652451E-4
1.814365800E-2,4.581489414E-2,7.941247895E-3,-6.108652451E-4
2.017792800E-2,4.092797264E-2,6.719517522E-3,-4.886921961E-3
2.224608100E-2,3.726277873E-2,6.108652335E-3,-6.108652335E-3
2.428035100E-2,3.665191308E-2,7.941247895E-3,-7.330383174E-3
2.634865800E-2,3.298672289E-2,5.497787148E-3,-9.773843922E-3
2.842915800E-2,3.054326214E-2,3.054326167E-3,-1.160643995E-2
3.039227400E-2,3.115412779E-2,2.443460980E-3,-1.282817032E-2
3.243404300E-2,2.687807009E-2,-1.832595794E-3,-1.343903504E-2
3.445973500E-2,2.382374369E-2,-3.054326167E-3,-1.832595654E-2
3.649373500E-2,2.260201424E-2,-3.665191587E-3,-1.527163107E-2
3.856185100E-2,2.076941915E-2,-7.330383174E-3,-2.138028294E-2
4.059454300E-2,1.832595654E-2,-1.038470957E-2,-2.565634064E-2
4.266300400E-2,1.832595654E-2,-1.099557430E-2,-2.565634064E-2
4.469688900E-2,1.588249579E-2,-1.282817032E-2,-2.565634064E-2
4.676488900E-2,1.893682219E-2,-1.038470957E-2,-2.748893574E-2
4.879831200E-2,1.404990070E-2,-1.343903504E-2,-2.626720630E-2
5.082227400E-2,1.404990070E-2,-1.099557430E-2,-3.176499158E-2
5.286392700E-2,1.588249579E-2,-9.162978269E-3,-3.481931984E-2
5.488900400E-2,1.404990070E-2,-6.719517522E-3,-3.176499158E-2
5.692254300E-2,1.466076635E-2,-5.497787148E-3,-2.871066704E-2
5.899046600E-2,1.404990070E-2,-3.054326167E-3,-3.237585723E-2
6.102458100E-2,9.773843922E-3,-1.832595794E-3,-3.115412779E-2
6.309296600E-2,9.773843922E-3,-2.443460980E-3,-3.115412779E-2
6.512677400E-2,1.160643995E-2,-1.221730490E-3,-3.115412779E-2
6.719500400E-2,1.160643995E-2,6.108652451E-4,-3.237585723E-2
6.927504300E-2,1.038470957E-2,1.221730490E-3,-2.687807009E-2
7.123762000E-2,1.282817032E-2,1.832595794E-3,-2.932153270E-2
7.327850400E-2,1.404990070E-2,2.443460980E-3,-2.748893574E-2
7.530473500E-2,1.404990070E-2,1.832595794E-3,-2.687807009E-2
7.733862000E-2,1.649336144E-2,3.054326167E-3,-2.626720630E-2
7.940673500E-2,1.893682219E-2,3.665191587E-3,-2.382374369E-2
8.144065800E-2,1.832595654E-2,3.054326167E-3,-2.443460934E-2
8.350931200E-2,1.832595654E-2,1.221730490E-3,-2.015855350E-2
8.554227300E-2,2.443460934E-2,4.276056774E-3,-1.893682219E-2
8.761085000E-2,2.015855350E-2,1.832595794E-3,-1.954768784E-2
8.964508100E-2,2.565634064E-2,1.832595794E-3,-2.076941915E-2
9.167008100E-2,2.809980139E-2,3.665191587E-3,-1.710422710E-2
9.371192700E-2,2.687807009E-2,6.108652451E-4,-1.771509275E-2
9.573781200E-2,2.748893574E-2,2.443460980E-3,-1.588249579E-2
9.777231200E-2,2.748893574E-2,1.221730490E-3,-1.466076635E-2
9.984104300E-2,2.626720630E-2,-1.832595794E-3,-1.710422710E-2
1.018743120E-1,2.871066704E-2,-4.276056774E-3,-1.588249579E-2
1.039426580E-1,2.565634064E-2,-7.330383174E-3,-1.282817032E-2
1.059761200E-1,2.626720630E-2,-1.099557430E-2,-1.160643995E-2
1.080442350E-1,2.748893574E-2,-1.221730467E-2,-1.160643995E-2
1.101249660E-1,2.871066704E-2,-1.343903504E-2,-7.941247895E-3
1.120881200E-1,2.871066704E-2,-1.649336144E-2,-5.497787148E-3
1.141341580E-1,2.993239649E-2,-1.771509275E-2,-3.665191587E-3
1.161551580E-1,3.054326214E-2,-1.466076635E-2,-4.886921961E-3
1.181893890E-1,3.176499158E-2,-1.527163107E-2,-3.054326167E-3
1.202573500E-1,3.115412779E-2,-1.466076635E-2,6.108652451E-4
1.222911960E-1,2.748893574E-2,-1.343903504E-2,-2.443460980E-3
1.243595810E-1,2.687807009E-2,-1.099557430E-2,-6.108652451E-4
1.263935430E-1,2.748893574E-2,-1.282817032E-2,1.221730490E-3
1.284614660E-1,2.809980139E-2,-5.497787148E-3,-1.221730490E-3
1.304958500E-1,2.443460934E-2,-1.832595794E-3,-3.054326167E-3
1.325197350E-1,2.504547499E-2,-3.054326167E-3,-3.054326167E-3
1.345663120E-1,2.443460934E-2,0.000000000E0,6.108652451E-4
1.365870040E-1,2.321287990E-2,3.054326167E-3,-1.221730490E-3
1.386222730E-1,2.015855350E-2,2.443460980E-3,-2.443460980E-3
1.406908120E-1,2.138028294E-2,1.832595794E-3,1.221730490E-3
1.427248120E-1,1.893682219E-2,2.443460980E-3,1.221730490E-3
1.447934270E-1,1.893682219E-2,3.665191587E-3,0.000000000E0
1.468273120E-1,1.588249579E-2,4.276056774E-3,1.832595794E-3
1.488958120E-1,1.893682219E-2,6.108652451E-4,-6.108652451E-4
1.509757730E-1,1.649336144E-2,6.108652451E-4,1.832595794E-3
1.529389270E-1,1.771509275E-2,1.832595794E-3,6.108652451E-4
1.549855420E-1,1.649336144E-2,-1.221730490E-3,-6.108652451E-4
