"t","x","y","z"
1.618810800E-2,9.260771751E0,-4.237737060E-1,2.928108692E0
1.829191600E-2,9.289502144E0,-4.261679053E-1,2.930502892E0
2.042776200E-2,9.299078941E0,-4.381389022E-1,2.930502892E0
2.239610800E-2,9.313444138E0,-4.548983276E-1,2.947262287E0
2.443122300E-2,9.323021889E0,-4.548983276E-1,2.954444885E0
2.650083900E-2,9.320627213E0,-4.620809257E-1,2.956839085E0
2.853549200E-2,9.323021889E0,-4.884171486E-1,2.952050686E0
3.053714600E-2,9.339780807E0,-5.051765442E-1,2.949656487E0
3.253664600E-2,9.337387085E0,-5.171475410E-1,2.956839085E0
3.460533900E-2,9.361329079E0,-5.458779931E-1,2.971204281E0
3.663960800E-2,9.397241592E0,-5.363011956E-1,2.978386879E0
3.870830000E-2,9.404424667E0,-5.434837937E-1,2.971204281E0
4.074303100E-2,9.397241592E0,-5.602431893E-1,2.971204281E0
4.281187700E-2,9.411606789E0,-5.698199868E-1,2.961627483E0
4.484622300E-2,9.428366661E0,-5.674257874E-1,2.966415882E0
4.691487700E-2,9.440337181E0,-5.722141862E-1,2.964021683E0
4.894910800E-2,9.497797966E0,-5.698199868E-1,2.966415882E0
5.097403100E-2,9.536105156E0,-5.530605912E-1,2.940079689E0
5.297349200E-2,9.552865028E0,-5.434837937E-1,2.916137695E0
5.504256900E-2,9.560047150E0,-5.458779931E-1,2.877830505E0
5.707672300E-2,9.543288231E0,-5.506663918E-1,2.827552319E0
5.914568500E-2,9.514557838E0,-5.363011956E-1,2.832340717E0
6.118026200E-2,9.495404243E0,-5.291185975E-1,2.820369720E0
6.324895400E-2,9.469067574E0,-5.195417404E-1,2.791639090E0
6.528322300E-2,9.464279175E0,-5.147533417E-1,2.770091295E0
6.735210800E-2,9.452308655E0,-5.027823448E-1,2.700659513E0
6.938645400E-2,9.423578262E0,-4.979939461E-1,2.631227732E0
7.138803100E-2,9.414001465E0,-5.027823448E-1,2.600103140E0
7.338787700E-2,9.387664795E0,-4.932055473E-1,2.549824715E0
7.545680000E-2,9.375694275E0,-5.123591423E-1,2.480392933E0
7.749176100E-2,9.375694275E0,-5.123591423E-1,2.458845139E0
7.956064600E-2,9.334992409E0,-5.171475410E-1,2.432508945E0
8.159556900E-2,9.311050415E0,-5.410895944E-1,2.408566952E0
8.366495400E-2,9.287108421E0,-5.650315881E-1,2.401384354E0
8.569956900E-2,9.289502144E0,-5.841852427E-1,2.430114746E0
8.776880000E-2,9.263166428E0,-5.817909837E-1,2.480392933E0
8.980380000E-2,9.258378029E0,-5.865794420E-1,2.482787132E0
9.182849200E-2,9.246406555E0,-5.865794420E-1,2.473210335E0
9.382906900E-2,9.270348549E0,-6.057330370E-1,2.466027737E0
9.589872300E-2,9.311050415E0,-6.153098345E-1,2.418143749E0
9.793322300E-2,9.334992409E0,-6.105214357E-1,2.398990154E0
1.000028380E-1,9.363722801E0,-6.224924326E-1,2.406172752E0
1.020373770E-1,9.411606789E0,-6.200982332E-1,2.408566952E0
1.041069150E-1,9.418789864E0,-6.105214357E-1,2.408566952E0
1.061415310E-1,9.428366661E0,-6.177040339E-1,2.396595955E0
1.082108380E-1,9.437943459E0,-6.200982332E-1,2.391807556E0
1.102454150E-1,9.435548782E0,-6.224924326E-1,2.408566952E0
1.122479920E-1,9.461885452E0,-6.057330370E-1,2.427720547E0
1.142480690E-1,9.500192642E0,-6.129156351E-1,2.425326347E0
1.163171070E-1,9.516951561E0,-6.248866320E-1,2.437297344E0
1.183520690E-1,9.533711433E0,-6.224924326E-1,2.475604534E0
1.204207610E-1,9.569623947E0,-6.057330370E-1,2.480392933E0
1.224560310E-1,9.598354340E0,-6.081272364E-1,2.523488522E0
1.245252610E-1,9.624691010E0,-6.224924326E-1,2.547430515E0
1.265601460E-1,9.694122314E0,-6.057330370E-1,2.626439333E0
1.286293380E-1,9.715670586E0,-6.033388376E-1,2.710236311E0
1.306641070E-1,9.744400978E0,-6.177040339E-1,2.753331900E0
1.326886460E-1,9.787496567E0,-6.105214357E-1,2.825158119E0
1.349073380E-1,9.818621635E0,-5.961562395E-1,2.861071110E0
1.367446070E-1,9.811438560E0,-5.913678408E-1,2.885013103E0
1.387452230E-1,9.761159897E0,-5.554547906E-1,2.935291290E0
1.408143770E-1,9.689333916E0,-5.099649429E-1,3.026270866E0
1.428490300E-1,9.646238327E0,-4.836287498E-1,3.062183857E0
1.449185300E-1,9.576807022E0,-4.285621047E-1,3.047818661E0
1.469535300E-1,9.593565941E0,-4.022258818E-1,3.023876667E0
1.490224920E-1,9.605537415E0,-3.950432837E-1,3.004723072E0
1.510569530E-1,9.646238327E0,-4.094084799E-1,2.968810081E0
1.530599920E-1,9.694122314E0,-4.477157295E-1,3.050212860E0
1.550596070E-1,9.753977776E0,-5.363011956E-1,3.217807055E0
1.571286460E-1,9.730035782E0,-6.919242740E-1,3.739742994E0
1.591633770E-1,9.629479408E0,-6.272808313E-1,3.785232782E0
1.612327230E-1,9.595960617E0,-5.506663918E-1,3.629609823E0
1.632674530E-1,9.548076630E0,-4.213795066E-1,3.287238836E0
1.653361460E-1,9.512163162E0,-3.327940404E-1,3.102885485E0
1.673706460E-1,9.524134636E0,-2.777273953E-1,2.956839085E0
1.694397610E-1,9.526528358E0,-2.394201756E-1,2.911349297E0
1.714744150E-1,9.536105156E0,-1.843535304E-1,2.817975283E0
1.734976070E-1,9.536105156E0,-1.221042871E-1,2.758120298E0
