"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.059791600E-2,1.612684280E-1,-3.017674387E-1,-3.726277873E-2
2.256680000E-2,1.655444801E-1,-2.999348342E-1,-3.604105115E-2
2.460133900E-2,1.753183305E-1,-2.932153046E-1,-3.970624134E-2
2.667164600E-2,1.857030392E-1,-2.864958048E-1,-3.543018550E-2
2.874418500E-2,1.905899495E-1,-2.822197378E-1,-3.665191308E-2
3.070687700E-2,1.960877478E-1,-2.718350291E-1,-3.848451003E-2
3.270710800E-2,2.003637999E-1,-2.614503205E-1,-2.993239649E-2
3.477587700E-2,2.028072625E-1,-2.559525371E-1,-3.054326214E-2
3.680980000E-2,2.070833147E-1,-2.406809032E-1,-2.932153270E-2
3.892130000E-2,2.083050460E-1,-2.254092693E-1,-2.504547499E-2
4.091364600E-2,2.119702399E-1,-2.144137025E-1,-2.443460934E-2
4.298256900E-2,2.131919712E-1,-1.991420686E-1,-2.443460934E-2
4.501683800E-2,2.168571651E-1,-1.795943826E-1,-2.138028294E-2
4.708518500E-2,2.125810981E-1,-1.716531366E-1,-2.199114859E-2
4.911933800E-2,2.156354338E-1,-1.539380401E-1,-2.382374369E-2
5.114449200E-2,2.162462920E-1,-1.331686229E-1,-2.382374369E-2
5.314383800E-2,2.144137025E-1,-1.264491081E-1,-2.565634064E-2
5.521314600E-2,2.131919712E-1,-1.062905490E-1,-3.359758854E-2
5.724668500E-2,2.125810981E-1,-9.224065393E-2,-3.115412779E-2
5.935887700E-2,2.119702399E-1,-8.491026610E-2,-3.359758854E-2
6.135049200E-2,2.089159191E-1,-7.269296050E-2,-3.665191308E-2
6.341918500E-2,2.046398520E-1,-6.475171447E-2,-3.481931984E-2
6.545333800E-2,1.997529417E-1,-5.864306539E-2,-3.909537569E-2
6.752241500E-2,2.003637999E-1,-5.681046844E-2,-3.787364438E-2
6.959483800E-2,1.966986060E-1,-5.375614017E-2,-3.848451003E-2
7.155868500E-2,1.863138974E-1,-5.619960278E-2,-3.909537569E-2
7.355822300E-2,1.832595766E-1,-5.681046844E-2,-4.092797264E-2
7.562706900E-2,1.753183305E-1,-6.169738993E-2,-3.726277873E-2
7.766214600E-2,1.667662114E-1,-6.902777404E-2,-3.848451003E-2
7.977364600E-2,1.612684280E-1,-7.574728876E-2,-3.726277873E-2
8.176560800E-2,1.508837193E-1,-8.491026610E-2,-3.298672289E-2
8.383483800E-2,1.429424733E-1,-9.712757170E-2,-3.359758854E-2
8.586956900E-2,1.411098689E-1,-1.044579595E-1,-3.176499158E-2
8.793918400E-2,1.343903542E-1,-1.233947799E-1,-2.687807009E-2
8.997449200E-2,1.301143020E-1,-1.386664063E-1,-2.932153270E-2
9.199876100E-2,1.258382350E-1,-1.466076523E-1,-2.260201424E-2
9.399968400E-2,1.246165112E-1,-1.624901593E-1,-1.832595654E-2
9.606895400E-2,1.178969890E-1,-1.753183305E-1,-2.260201424E-2
9.810353100E-2,1.160643995E-1,-1.826487035E-1,-1.771509275E-2
1.002161080E-1,1.123992056E-1,-1.924225539E-1,-1.954768784E-2
