time,x,y
532,2050.68,3739.03
548,2050.68,3739.03
564,2050.68,3739.03
580,2050.68,3739.03
597,2050.68,3739.03
611,2050.68,3739.03
628,2050.68,3732.52
643,2057.19,3732.52
660,2057.19,3732.52
675,2057.19,3726.01
691,2057.19,3726.01
708,2057.19,3719.5
724,2057.19,3719.5
740,2057.19,3719.5
756,2057.19,3719.5
771,2057.19,3719.5
787,2057.19,3719.5
803,2057.19,3719.5
820,2057.19,3719.5
835,2057.19,3719.5
852,2057.19,3719.5
868,2057.19,3719.5
884,2057.19,3719.5
901,2057.19,3719.5
915,2057.19,3719.5
933,2057.19,3719.5
948,2057.19,3719.5
964,2057.19,3719.5
980,2057.19,3719.5
996,2057.19,3719.5
1013,2057.19,3719.5
1028,2057.19,3719.5
1043,2057.19,3719.5
1060,2057.19,3719.5
1075,2057.19,3719.5
1091,2057.19,3719.5
1107,2057.19,3719.5
1123,2057.19,3719.5
1139,2057.19,3726.01
1155,2057.19,3726.01
1171,2057.19,3726.01
1187,2057.19,3726.01
1203,2057.19,3732.52
1219,2057.19,3732.52
1235,2050.68,3739.03
1252,2050.68,3739.03
1269,2050.68,3739.03
1284,2050.68,3739.03
1300,2050.68,3739.03
1316,2050.68,3739.03
1333,2050.68,3739.03
1348,2050.68,3739.03
1364,2050.68,3739.03
1379,2050.68,3739.03
1396,2050.68,3739.03
1412,2050.68,3739.03
1427,2050.68,3739.03
1444,2050.68,3739.03
1460,2050.68,3739.03
1476,2050.68,3739.03
1492,2050.68,3739.03
1507,2050.68,3739.03
1523,2050.68,3739.03
1539,2050.68,3739.03
1555,2050.68,3739.03
1571,2050.68,3739.03
1588,2050.68,3739.03
1603,2050.68,3739.03
1619,2050.68,3739.03
1635,2050.68,3739.03
1652,2050.68,3739.03
1669,2050.68,3739.03
1684,2050.68,3739.03
1700,2050.68,3739.03
1716,2050.68,3739.03
1733,2050.68,3739.03
1748,2050.68,3739.03
1764,2050.68,3739.03
1781,2050.68,3739.03
1796,2050.68,3739.03
1812,2050.68,3739.03
1828,2050.68,3739.03
1844,2050.68,3739.03
1859,2050.68,3739.03
1876,2050.68,3739.03
1892,2050.68,3739.03
1907,2050.68,3739.03
1923,2050.68,3739.03
1939,2050.68,3739.03
1956,2050.68,3739.03
1971,2050.68,3739.03
1988,2050.68,3739.03
2003,2050.68,3739.03
2019,2050.68,3739.03
2035,2050.68,3739.03
2052,2050.68,3739.03
2068,2050.68,3739.03
2084,2050.68,3739.03
2101,2050.68,3739.03
2116,2050.68,3739.03
2132,2050.68,3739.03
2148,2050.68,3739.03
2164,2050.68,3739.03
2180,2050.68,3739.03
2196,2050.68,3739.03
2213,2050.68,3739.03
2228,2050.68,3739.03
2244,2050.68,3739.03
2260,2050.68,3739.03
2275,2050.68,3739.03
2291,2050.68,3739.03
2308,2050.68,3739.03
2324,2050.68,3739.03
2339,2050.68,3739.03
2355,2050.68,3739.03
2371,2050.68,3739.03
2388,2050.68,3739.03
2403,2050.68,3739.03
2419,2050.68,3739.03
2435,2050.68,3739.03
2451,2050.68,3739.03
2468,2050.68,3739.03
2484,2050.68,3739.03
2501,2050.68,3739.03
2516,2050.68,3739.03
2532,2050.68,3739.03
2548,2050.68,3739.03
2564,2050.68,3739.03
2580,2050.68,3739.03
2596,2050.68,3739.03
2613,2050.68,3739.03
2628,2050.68,3739.03
2644,2050.68,3739.03
2659,2050.68,3739.03
2676,2050.68,3739.03
2691,2050.68,3739.03
2708,2050.68,3739.03
2723,2050.68,3739.03
2740,2050.68,3739.03
2755,2050.68,3739.03
2771,2050.68,3739.03
2787,2050.68,3739.03
2803,2050.68,3739.03
2819,2050.68,3739.03
2835,2050.68,3739.03
2851,2050.68,3739.03
2867,2050.68,3739.03
2884,2050.68,3739.03
2900,2050.68,3739.03
2917,2050.68,3739.03
2932,2050.68,3739.03
2948,2050.68,3739.03
2964,2050.68,3739.03
2980,2050.68,3739.03
2996,2050.68,3739.03
3012,2050.68,3739.03
3028,2050.68,3739.03
3044,2050.68,3739.03
3059,2050.68,3739.03
3075,2050.68,3739.03
3091,2050.68,3739.03
3108,2050.68,3739.03
3124,2050.68,3739.03
3139,2050.68,3739.03
3156,2050.68,3739.03
3171,2050.68,3739.03
3188,2050.68,3739.03
3203,2050.68,3739.03
3219,2050.68,3739.03
3236,2050.68,3739.03
3252,2050.68,3739.03
3269,2050.68,3739.03
3284,2050.68,3739.03
3300,2050.68,3739.03
3317,2050.68,3739.03
3332,2050.68,3739.03
3348,2050.68,3739.03
3364,2050.68,3739.03
3380,2050.68,3739.03
3396,2050.68,3739.03
3412,2050.68,3739.03
3428,2050.68,3739.03
3443,2050.68,3739.03
3460,2050.68,3739.03
3476,2050.68,3739.03
3492,2050.68,3739.03
3508,2050.68,3739.03
3523,2050.68,3739.03
3539,2050.68,3739.03
3555,2050.68,3739.03
3571,2050.68,3739.03
3588,2050.68,3739.03
3603,2050.68,3739.03
3620,2050.68,3739.03
3636,2050.68,3739.03
3652,2050.68,3739.03
3668,2050.68,3739.03
3685,2050.68,3739.03
3700,2050.68,3739.03
3716,2050.68,3739.03
3732,2050.68,3739.03
3748,2050.68,3739.03
3765,2050.68,3739.03
3780,2050.68,3739.03
3796,2050.68,3739.03
3813,2050.68,3739.03
3828,2050.68,3739.03
3843,2050.68,3739.03
3860,2050.68,3739.03
3875,2050.68,3739.03
3892,2050.68,3739.03
3907,2050.68,3739.03
3923,2050.68,3739.03
3939,2050.68,3739.03
3956,2050.68,3739.03
3971,2050.68,3739.03
3987,2050.68,3739.03
4003,2050.68,3739.03
4019,2050.68,3739.03
4036,2050.68,3739.03
4052,2050.68,3739.03
4068,2050.68,3739.03
4084,2050.68,3739.03
4100,2050.68,3739.03
4116,2050.68,3739.03
4132,2050.68,3739.03
4148,2050.68,3739.03
4164,2050.68,3739.03
4180,2050.68,3739.03
4196,2050.68,3739.03
4212,2050.68,3739.03
4227,2050.68,3739.03
