"t","x","y","z"
7.410260000E-3,9.265560150E0,-1.400607944E0,2.559401512E0
9.514067000E-3,9.289502144E0,-1.280897856E0,2.901772499E0
1.154879800E-2,9.361329079E0,-1.223437071E0,3.007117271E0
1.359641400E-2,9.454702377E0,-1.187524080E0,2.947262287E0
1.559683700E-2,9.469067574E0,-1.165976286E0,2.894589901E0
1.766595200E-2,9.488221169E0,-1.161187768E0,2.803610086E0
1.970068300E-2,9.464279175E0,-1.185129881E0,2.729389906E0
2.177002900E-2,9.437943459E0,-1.180341482E0,2.703053713E0
2.380491300E-2,9.361329079E0,-1.192312479E0,2.662352324E0
2.587468300E-2,9.313444138E0,-1.244984865E0,2.626439333E0
2.791006700E-2,9.315838814E0,-1.273715258E0,2.600103140E0
2.993464400E-2,9.356540680E0,-1.345541358E0,2.568978310E0
3.196622100E-2,9.402029991E0,-1.426944256E0,2.561795712E0
3.403464400E-2,9.423578262E0,-1.462857246E0,2.571372509E0
3.606891300E-2,9.461885452E0,-1.527500629E0,2.600103140E0
3.813772100E-2,9.488221169E0,-1.561019540E0,2.628833532E0
4.017249000E-2,9.485827446E0,-1.580173135E0,2.647987127E0
4.219787500E-2,9.526528358E0,-1.611297727E0,2.683900118E0
4.419745200E-2,9.567230225E0,-1.613691926E0,2.707842112E0
4.626595200E-2,9.564835548E0,-1.628057122E0,2.719813108E0
4.830064400E-2,9.564835548E0,-1.623268723E0,2.734178305E0
5.030026000E-2,9.536105156E0,-1.611297727E0,2.755726099E0
5.246833600E-2,9.485827446E0,-1.589749932E0,2.774879694E0
5.434637500E-2,9.449913979E0,-1.575384736E0,2.791639090E0
5.634614400E-2,9.406818390E0,-1.553836942E0,2.837129116E0
5.841483600E-2,9.411606789E0,-1.541865945E0,2.853888512E0
6.044952900E-2,9.423578262E0,-1.510741234E0,2.861071110E0
6.251818300E-2,9.445125580E0,-1.498770237E0,2.858676910E0
6.455275900E-2,9.485827446E0,-1.525106430E0,2.839523315E0
6.662187500E-2,9.493009567E0,-1.529894829E0,2.825158119E0
6.865679800E-2,9.488221169E0,-1.544260144E0,2.796427488E0
7.069006700E-2,9.485827446E0,-1.565807939E0,2.779668093E0
7.277537500E-2,9.488221169E0,-1.582567334E0,2.772485495E0
7.473329800E-2,9.473855972E0,-1.611297727E0,2.770091295E0
7.673249000E-2,9.452308655E0,-1.620874524E0,2.772485495E0
7.880141300E-2,9.449913979E0,-1.625662923E0,2.777273893E0
8.083595200E-2,9.449913979E0,-1.620874524E0,2.791639090E0
8.290525900E-2,9.454702377E0,-1.608903527E0,2.806004286E0
8.494018200E-2,9.449913979E0,-1.618480325E0,2.803610086E0
8.700906700E-2,9.440337181E0,-1.616086125E0,2.789244890E0
8.904379800E-2,9.404424667E0,-1.613691926E0,2.762908697E0
9.107437500E-2,9.394847870E0,-1.608903527E0,2.741360903E0
9.307522100E-2,9.392453194E0,-1.584961534E0,2.717418909E0
9.514425900E-2,9.375694275E0,-1.596932530E0,2.710236311E0
9.717887500E-2,9.361329079E0,-1.584961534E0,2.700659513E0
9.924810500E-2,9.349357605E0,-1.592144132E0,2.695871115E0
1.012821440E-1,9.349357605E0,-1.589749932E0,2.698265314E0
1.033507210E-1,9.344569206E0,-1.599326730E0,2.717418909E0
1.053848360E-1,9.342175484E0,-1.604115129E0,2.731784105E0
1.074527980E-1,9.351752281E0,-1.592144132E0,2.760514498E0
1.094867210E-1,9.363722801E0,-1.582567334E0,2.758120298E0
1.114859900E-1,9.366117477E0,-1.589749932E0,2.772485495E0
1.135155290E-1,9.380482674E0,-1.565807939E0,2.803610086E0
1.155839520E-1,9.373299599E0,-1.549048543E0,2.822763920E0
1.176178750E-1,9.361329079E0,-1.539471745E0,2.820369720E0
1.196857980E-1,9.349357605E0,-1.532289028E0,2.813186884E0
1.217198360E-1,9.363722801E0,-1.517923832E0,2.806004286E0
1.237879130E-1,9.361329079E0,-1.515529633E0,2.796427488E0
1.258224130E-1,9.342175484E0,-1.505952835E0,2.875436306E0
1.278900280E-1,9.397241592E0,-1.489193439E0,2.992752075E0
1.299246050E-1,9.390059471E0,-1.462857246E0,2.992752075E0
1.319272590E-1,9.346963882E0,-1.417367458E0,2.937685490E0
1.340190670E-1,9.301473618E0,-1.403002143E0,2.724601507E0
1.359719510E-1,9.282320023E0,-1.398213744E0,2.674323320E0
1.379713750E-1,9.282320023E0,-1.398213744E0,2.650381327E0
1.400398360E-1,9.255983353E0,-1.412579060E0,2.762908697E0
1.420739900E-1,9.255983353E0,-1.412579060E0,2.810792685E0
1.441421050E-1,9.270348549E0,-1.410184860E0,2.861071110E0
1.461762590E-1,9.299078941E0,-1.403002143E0,2.904166698E0
1.482449130E-1,9.289502144E0,-1.374271750E0,2.911349297E0
1.502802980E-1,9.270348549E0,-1.362300754E0,2.911349297E0
1.522792210E-1,9.246406555E0,-1.352723956E0,2.899378300E0
1.543655670E-1,9.232041359E0,-1.338358760E0,2.899378300E0
1.563271820E-1,9.220070839E0,-1.338358760E0,2.906560898E0
1.583267210E-1,9.198522568E0,-1.323993564E0,2.906560898E0
1.603961050E-1,9.198522568E0,-1.331176162E0,2.892195702E0
1.624308740E-1,9.184157372E0,-1.333570361E0,2.896984100E0
1.645000670E-1,9.169792175E0,-1.309628367E0,2.875436306E0
1.665349130E-1,9.169792175E0,-1.283292055E0,2.865859509E0
1.686039510E-1,9.181763649E0,-1.295263171E0,2.858676910E0
1.706391820E-1,9.193734169E0,-1.316810966E0,2.851494312E0
1.726424900E-1,9.210494041E0,-1.321599364E0,2.832340717E0
1.746452980E-1,9.217676163E0,-1.328781962E0,2.834734917E0
1.767140280E-1,9.227252960E0,-1.331176162E0,2.841917515E0
1.787484510E-1,9.232041359E0,-1.357512355E0,2.846705914E0
1.808175280E-1,9.229647636E0,-1.364694953E0,2.851494312E0
1.828521440E-1,9.229647636E0,-1.352723956E0,2.844311714E0
1.849211440E-1,9.236829758E0,-1.371877551E0,2.837129116E0
1.869552970E-1,9.248801231E0,-1.371877551E0,2.839523315E0
1.890239130E-1,9.265560150E0,-1.386242747E0,2.834734917E0
1.910580670E-1,9.258378029E0,-1.393425345E0,2.837129116E0
1.930572970E-1,9.255983353E0,-1.400607944E0,2.834734917E0
1.950884130E-1,9.263166428E0,-1.388636947E0,2.861071110E0
1.971569130E-1,9.279925346E0,-1.393425345E0,2.873042107E0
1.991912200E-1,9.311050415E0,-1.393425345E0,2.870647907E0
2.012595670E-1,9.323021889E0,-1.388636947E0,2.868253708E0
2.032948740E-1,9.339780807E0,-1.386242747E0,2.865859509E0
2.053631440E-1,9.346963882E0,-1.412579060E0,2.849100113E0
2.073968740E-1,9.344569206E0,-1.407790542E0,2.841917515E0
2.094659130E-1,9.354146004E0,-1.417367458E0,2.839523315E0
2.115003740E-1,9.375694275E0,-1.422155857E0,2.853888512E0
2.135029900E-1,9.387664795E0,-1.431732655E0,2.858676910E0
2.155950670E-1,9.390059471E0,-1.443703651E0,2.863465309E0
2.175473360E-1,9.392453194E0,-1.453280449E0,2.885013103E0
2.195465280E-1,9.387664795E0,-1.443703651E0,2.887407303E0
2.216154510E-1,9.397241592E0,-1.414973259E0,2.896984100E0
2.236500670E-1,9.402029991E0,-1.410184860E0,2.925714493E0
2.257187590E-1,9.404424667E0,-1.414973259E0,2.930502892E0
2.277532200E-1,9.402029991E0,-1.414973259E0,2.947262287E0
2.298219130E-1,9.409213066E0,-1.410184860E0,2.952050686E0
2.318561050E-1,9.414001465E0,-1.400607944E0,2.944868088E0
2.338555670E-1,9.421183586E0,-1.395819545E0,2.918531895E0
2.359404510E-1,9.404424667E0,-1.379060149E0,2.904166698E0
2.379022200E-1,9.406818390E0,-1.364694953E0,2.904166698E0
2.399015280E-1,9.402029991E0,-1.359906554E0,2.887407303E0
2.419701430E-1,9.409213066E0,-1.345541358E0,2.889801502E0
2.440046430E-1,9.425971985E0,-1.333570361E0,2.885013103E0
2.460730660E-1,9.433155060E0,-1.309628367E0,2.868253708E0
2.481071430E-1,9.416395187E0,-1.295263171E0,2.863465309E0
2.501752200E-1,9.394847870E0,-1.295263171E0,2.868253708E0
2.522090280E-1,9.390059471E0,-1.290474772E0,2.863465309E0
2.542382200E-1,9.378087997E0,-1.285686255E0,2.858676910E0
2.562397970E-1,9.375694275E0,-1.256955862E0,2.885013103E0
2.583082200E-1,9.370905876E0,-1.249773264E0,2.954444885E0
2.603428740E-1,9.354146004E0,-1.235408068E0,3.124433279E0
2.624112200E-1,9.342175484E0,-1.206677675E0,3.280056238E0
2.644451430E-1,9.323021889E0,-1.197100878E0,3.332728863E0
2.665132590E-1,9.289502144E0,-1.173158884E0,3.387795448E0
2.685472590E-1,9.291896820E0,-1.369483352E0,4.668693542E0
2.706155280E-1,9.119514465E0,-1.592144132E0,5.315127850E0
2.726498360E-1,9.291896820E0,-1.872265697E0,5.743690014E0
2.746753360E-1,9.287108421E0,-1.817199111E0,4.850652695E0
2.767064890E-1,9.361329079E0,-1.740584612E0,4.692635536E0
2.787753740E-1,9.155426979E0,-1.450886250E0,3.849876404E0
2.808097200E-1,9.078812599E0,-1.211466074E0,3.521870613E0
2.828783740E-1,8.896853447E0,-1.072602391E0,2.983175278E0
2.849129510E-1,8.894459724E0,-9.074024558E-1,2.966415882E0
2.869374120E-1,8.875306129E0,-7.757213712E-1,2.667140722E0
2.889371430E-1,8.932766914E0,-7.613561153E-1,2.636016130E0
