"t","x","y","z"
1.376656700E-2,7.880161703E-2,-1.307251602E-1,-5.436700583E-2
1.576702900E-2,8.307767659E-2,-1.411098689E-1,-5.253441259E-2
1.783695200E-2,9.101892263E-2,-1.545489132E-1,-6.047565863E-2
1.987072100E-2,9.651670605E-2,-1.624901593E-1,-6.047565863E-2
2.194087500E-2,9.651670605E-2,-1.649336219E-1,-6.352998316E-2
2.397526000E-2,9.834930301E-2,-1.576032341E-1,-6.475171447E-2
2.604560600E-2,1.007927656E-1,-1.435533315E-1,-6.414084882E-2
2.808026000E-2,9.834930301E-2,-1.362229437E-1,-6.475171447E-2
3.010518300E-2,9.773843735E-2,-1.130100712E-1,-6.475171447E-2
3.217902900E-2,9.407325089E-2,-9.224065393E-2,-6.658431143E-2
3.420487500E-2,9.101892263E-2,-7.391469181E-2,-6.963863969E-2
3.623941300E-2,8.735372871E-2,-6.719517708E-2,-6.963863969E-2
3.830776000E-2,8.491026610E-2,-5.192354694E-2,-7.147123665E-2
4.034249000E-2,8.124507964E-2,-4.214970022E-2,-7.452555746E-2
4.236799000E-2,7.819075137E-2,-3.787364438E-2,-7.696902007E-2
4.436795200E-2,7.086037099E-2,-3.054326214E-2,-7.941248268E-2
4.643629800E-2,6.902777404E-2,-2.260201424E-2,-8.613199741E-2
4.847099000E-2,6.719517708E-2,-1.771509275E-2,-8.796459436E-2
5.051676000E-2,5.803219974E-2,-1.404990070E-2,-8.735372871E-2
5.268118300E-2,5.375614017E-2,-8.552113548E-3,-8.613199741E-2
5.451652900E-2,5.253441259E-2,-6.719517522E-3,-8.979719132E-2
5.651664400E-2,4.825835302E-2,-3.665191587E-3,-8.613199741E-2
5.858525900E-2,4.214970022E-2,-4.886921961E-3,-8.368854225E-2
6.063556700E-2,4.276056588E-2,-1.832595794E-3,-8.613199741E-2
6.268818300E-2,3.726277873E-2,0.000000000E0,-8.491026610E-2
6.472287500E-2,3.481931984E-2,2.443460980E-3,-8.368854225E-2
6.679225900E-2,3.176499158E-2,6.719517522E-3,-8.552113175E-2
6.882672100E-2,2.809980139E-2,8.552113548E-3,-8.857546002E-2
7.086060600E-2,2.626720630E-2,1.282817032E-2,-8.735372871E-2
7.298825900E-2,2.260201424E-2,1.282817032E-2,-8.735372871E-2
7.490402900E-2,2.076941915E-2,1.343903504E-2,-9.285151958E-2
7.690329800E-2,1.954768784E-2,1.099557430E-2,-8.979719132E-2
7.897156700E-2,1.832595654E-2,1.160643995E-2,-9.162978828E-2
8.100637500E-2,1.710422710E-2,7.941247895E-3,-9.346238524E-2
8.307575900E-2,2.199114859E-2,1.832595794E-3,-9.285151958E-2
8.511029800E-2,2.199114859E-2,6.108652451E-4,-9.346238524E-2
8.717975900E-2,2.443460934E-2,-4.886921961E-3,-9.834930301E-2
8.921410600E-2,2.687807009E-2,-1.160643995E-2,-9.896016866E-2
9.129079800E-2,2.748893574E-2,-1.343903504E-2,-1.014036313E-1
9.328814400E-2,2.687807009E-2,-2.015855350E-2,-1.014036313E-1
9.531449000E-2,2.626720630E-2,-2.382374369E-2,-1.007927656E-1
9.734891300E-2,2.932153270E-2,-2.932153270E-2,-1.020144969E-1
9.941910500E-2,2.809980139E-2,-3.115412779E-2,-1.014036313E-1
1.014526440E-1,2.993239649E-2,-3.665191308E-2,-1.014036313E-1
1.035207980E-1,3.115412779E-2,-3.970624134E-2,-1.044579595E-1
1.055549900E-1,3.115412779E-2,-4.214970022E-2,-1.014036313E-1
1.076234130E-1,3.543018550E-2,-4.459316283E-2,-1.050688252E-1
1.096566440E-1,4.031710699E-2,-4.825835302E-2,-1.062905490E-1
1.116562590E-1,4.031710699E-2,-5.070181563E-2,-1.062905490E-1
1.137331440E-1,4.276056588E-2,-5.436700583E-2,-1.069014147E-1
1.157544130E-1,4.703662544E-2,-5.681046844E-2,-1.093448773E-1
1.177881440E-1,4.886921868E-2,-5.803219974E-2,-1.130100712E-1
1.198562590E-1,5.253441259E-2,-6.047565863E-2,-1.111774743E-1
1.218901820E-1,5.314527452E-2,-6.169738993E-2,-1.123992056E-1
1.239582590E-1,5.558873713E-2,-6.230825558E-2,-1.105666086E-1
1.259930280E-1,5.925392732E-2,-6.169738993E-2,-1.099557430E-1
1.280604520E-1,6.597344577E-2,-6.475171447E-2,-1.148426682E-1
1.300948750E-1,7.330382615E-2,-6.414084882E-2,-1.136209369E-1
1.321447210E-1,7.330382615E-2,-6.536258012E-2,-1.099557430E-1
1.342372590E-1,7.452555746E-2,-5.742133409E-2,-1.105666086E-1
1.361421050E-1,6.841690838E-2,-5.925392732E-2,-1.044579595E-1
1.381416440E-1,6.291911751E-2,-6.047565863E-2,-1.026253626E-1
1.402099900E-1,6.414084882E-2,-6.169738993E-2,-1.020144969E-1
1.422441440E-1,6.352998316E-2,-6.169738993E-2,-1.007927656E-1
1.443126050E-1,6.047565863E-2,-5.986479297E-2,-9.896016866E-2
1.463464510E-1,6.414084882E-2,-5.864306539E-2,-9.773843735E-2
1.484154510E-1,6.475171447E-2,-6.475171447E-2,-9.407325089E-2
1.504505670E-1,6.719517708E-2,-6.536258012E-2,-9.285151958E-2
1.524503750E-1,6.536258012E-2,-6.902777404E-2,-9.101892263E-2
1.545835670E-1,6.658431143E-2,-7.452555746E-2,-8.552113175E-2
1.564975670E-1,6.780604273E-2,-7.574728876E-2,-8.674286306E-2
1.584969900E-1,6.780604273E-2,-8.063421398E-2,-8.063421398E-2
1.605666820E-1,6.780604273E-2,-8.613199741E-2,-7.696902007E-2
1.626009900E-1,6.719517708E-2,-8.857546002E-2,-7.819075137E-2
1.646700670E-1,6.963863969E-2,-9.040805697E-2,-7.269296050E-2
1.667052590E-1,6.841690838E-2,-9.468411654E-2,-6.902777404E-2
