"t","x","y","z"
5.542701000E-3,9.914389610E0,-3.181894064E0,2.466027737E0
7.551855000E-3,9.545681953E0,-3.203441858E0,2.446874142E0
9.551547000E-3,9.373299599E0,-3.186682463E0,2.446874142E0
1.155289300E-2,9.155426979E0,-3.119644880E0,2.456450939E0
1.355281700E-2,9.112331390E0,-3.038241863E0,2.487575531E0
1.562189300E-2,9.126696587E0,-2.983175278E0,2.528276920E0
1.765674000E-2,9.193734169E0,-2.896984100E0,2.655169725E0
1.972620100E-2,9.282320023E0,-2.861071110E0,2.738966703E0
2.176120100E-2,9.306262016E0,-2.853888512E0,2.734178305E0
2.383031700E-2,9.306262016E0,-2.875436306E0,2.662352324E0
2.586535500E-2,9.275136948E0,-2.923320293E0,2.535459518E0
2.793447000E-2,9.263166428E0,-2.947262287E0,2.463633537E0
2.996954700E-2,9.215282440E0,-2.995146275E0,2.305616140E0
3.197354700E-2,9.165003777E0,-3.059789658E0,2.181117773E0
3.397347000E-2,9.136273384E0,-3.086126089E0,2.140416384E0
3.604289300E-2,9.093177795E0,-3.138798475E0,2.092532396E0
3.807777800E-2,9.083600998E0,-3.169923067E0,2.126051188E0
4.014693200E-2,9.088389397E0,-3.186682463E0,2.152387381E0
4.218224000E-2,9.088389397E0,-3.196259260E0,2.214636564E0
4.425162400E-2,9.071630478E0,-3.201047659E0,2.281674147E0
4.628697000E-2,9.078812599E0,-3.193865061E0,2.327163935E0
4.835643200E-2,9.081207275E0,-3.179499865E0,2.334346771E0
5.039108600E-2,9.081207275E0,-3.184288263E0,2.315192938E0
5.239262400E-2,9.088389397E0,-3.172317266E0,2.274491549E0
5.439277800E-2,9.090784073E0,-3.155557871E0,2.257732153E0
5.646185500E-2,9.076418877E0,-3.131615877E0,2.219424963E0
5.849654700E-2,9.045293808E0,-3.105279684E0,2.171540976E0
6.056539300E-2,9.030928612E0,-3.100491285E0,2.159569979E0
6.260000900E-2,9.021351814E0,-3.083731890E0,2.133233786E0
6.466927800E-2,9.006986618E0,-3.088520288E0,2.111685991E0
6.670385500E-2,8.997409821E0,-3.090914488E0,2.109291792E0
6.877258600E-2,9.011775017E0,-3.076549292E0,2.111685991E0
7.080666200E-2,9.018958092E0,-3.066972494E0,2.138022184E0
7.280966200E-2,9.011775017E0,-3.057395458E0,2.147598982E0
7.480943200E-2,9.021351814E0,-3.045424461E0,2.147598982E0
7.687850900E-2,9.062053680E0,-3.031059265E0,2.123656988E0
7.891254700E-2,9.085995674E0,-3.023876667E0,2.130839586E0
8.098162400E-2,9.129091263E0,-3.031059265E0,2.145204782E0
8.301600900E-2,9.150638580E0,-3.031059265E0,2.142810583E0
8.508439300E-2,9.150638580E0,-3.033453465E0,2.147598982E0
8.711843200E-2,9.145850182E0,-3.035847664E0,2.147598982E0
8.918700900E-2,9.162610054E0,-3.031059265E0,2.145204782E0
9.122081600E-2,9.129091263E0,-3.009511471E0,2.128445387E0
9.322162400E-2,9.129091263E0,-2.999934673E0,2.121262789E0
9.522143200E-2,9.150638580E0,-2.992752075E0,2.090138197E0
9.728966200E-2,9.203310966E0,-2.978386879E0,2.047042370E0
9.932420100E-2,9.222464561E0,-2.987963676E0,2.035071373E0
1.013938930E-1,9.265560150E0,-3.002328873E0,2.020706177E0
1.034536620E-1,9.301473618E0,-3.016694069E0,2.011129379E0
1.055221620E-1,9.313444138E0,-3.011905670E0,2.020706177E0
1.075567390E-1,9.332598686E0,-3.026270866E0,2.051830769E0
1.096254700E-1,9.332598686E0,-3.031059265E0,2.073378563E0
1.116598160E-1,9.323021889E0,-3.028665066E0,2.085349798E0
1.136657010E-1,9.306262016E0,-3.019088268E0,2.142810583E0
1.156657390E-1,9.287108421E0,-2.999934673E0,2.205059767E0
1.177348550E-1,9.284713745E0,-2.983175278E0,2.229001760E0
1.197698160E-1,9.263166428E0,-2.949656487E0,2.250549555E0
1.218387010E-1,9.251194954E0,-2.932897091E0,2.262520552E0
1.238733160E-1,9.234436035E0,-2.928108692E0,2.274491549E0
1.259421240E-1,9.224859238E0,-2.918531895E0,2.461239338E0
1.279773930E-1,9.220070839E0,-2.877830505E0,2.422932148E0
1.300461620E-1,9.179368973E0,-2.849100113E0,2.319981337E0
1.320815080E-1,9.174580574E0,-2.853888512E0,2.229001760E0
1.340830850E-1,9.150638580E0,-2.865859509E0,2.195482969E0
1.360827780E-1,9.114726067E0,-2.882618904E0,2.207453966E0
1.381517390E-1,9.102754593E0,-2.885013103E0,2.202665567E0
1.401863550E-1,9.064447403E0,-2.896984100E0,2.202665567E0
1.422553550E-1,9.052476883E0,-2.896984100E0,2.214636564E0
1.442904310E-1,9.064447403E0,-2.911349297E0,2.214636564E0
1.463595470E-1,9.062053680E0,-2.916137695E0,2.226607561E0
1.483938930E-1,9.074024200E0,-2.904166698E0,2.252943754E0
1.504635850E-1,9.083600998E0,-2.896984100E0,2.262520552E0
1.524978540E-1,9.105149269E0,-2.892195702E0,2.317587137E0
1.544989700E-1,9.126696587E0,-2.873042107E0,2.363077164E0
1.564991240E-1,9.129091263E0,-2.861071110E0,2.384624958E0
1.585683540E-1,9.133879662E0,-2.822763920E0,2.403778553E0
1.606033160E-1,9.126696587E0,-2.825158119E0,2.389413357E0
1.626728540E-1,9.124302864E0,-2.820369720E0,2.387019157E0
1.647083540E-1,9.085995674E0,-2.822763920E0,2.339135170E0
1.667773930E-1,9.054870605E0,-2.806004286E0,2.276885748E0
1.688116620E-1,9.028534889E0,-2.796427488E0,2.257732153E0
1.708807780E-1,9.026140213E0,-2.808398485E0,2.188300371E0
1.729153930E-1,9.040505409E0,-2.798821688E0,2.142810583E0
1.749201240E-1,9.040505409E0,-2.803610086E0,2.106897593E0
1.769198540E-1,9.047688484E0,-2.810792685E0,2.102109194E0
1.789890080E-1,9.069235802E0,-2.815581083E0,2.097320795E0
1.810239310E-1,9.076418877E0,-2.820369720E0,2.109291792E0
1.830925850E-1,9.090784073E0,-2.815581083E0,2.116474390E0
1.851271620E-1,9.090784073E0,-2.834734917E0,2.138022184E0
1.871957390E-1,9.126696587E0,-2.863465309E0,2.147598982E0
1.892305850E-1,9.145850182E0,-2.865859509E0,2.152387381E0
1.912990850E-1,9.179368973E0,-2.853888512E0,2.149993181E0
1.933337000E-1,9.188945770E0,-2.846705914E0,2.121262789E0
1.953365850E-1,9.200917244E0,-2.858676910E0,2.114080191E0
1.973363540E-1,9.236829758E0,-2.863465309E0,2.090138197E0
1.994054700E-1,9.253589630E0,-2.875436306E0,2.073378563E0
2.014400080E-1,9.253589630E0,-2.849100113E0,2.068590164E0
2.035087770E-1,9.255983353E0,-2.820369720E0,2.063801765E0
2.055437000E-1,9.277531624E0,-2.822763920E0,2.063801765E0
2.076123540E-1,9.275136948E0,-2.815581083E0,2.068590164E0
2.096470080E-1,9.248801231E0,-2.789244890E0,2.080561161E0
2.117157000E-1,9.229647636E0,-2.777273893E0,2.063801765E0
2.137503160E-1,9.193734169E0,-2.758120298E0,2.070984364E0
2.157520850E-1,9.181763649E0,-2.755726099E0,2.059013367E0
2.177517390E-1,9.181763649E0,-2.767697096E0,2.039859772E0
2.198205850E-1,9.186552048E0,-2.789244890E0,2.032677174E0
2.218555080E-1,9.186552048E0,-2.789244890E0,2.049436569E0
2.239243160E-1,9.220070839E0,-2.803610086E0,2.049436569E0
2.259595850E-1,9.246406555E0,-2.808398485E0,2.049436569E0
2.280294310E-1,9.258378029E0,-2.829946518E0,2.051830769E0
2.300643540E-1,9.263166428E0,-2.849100113E0,2.044648170E0
2.321329700E-1,9.239224434E0,-2.846705914E0,2.044648170E0
2.341678540E-1,9.229647636E0,-2.839523315E0,2.054224968E0
2.361720080E-1,9.215282440E0,-2.858676910E0,2.070984364E0
2.381723930E-1,9.212887764E0,-2.858676910E0,2.092532396E0
2.402412770E-1,9.210494041E0,-2.844311714E0,2.106897593E0
2.422760850E-1,9.220070839E0,-2.844311714E0,2.109291792E0
2.443450460E-1,9.200917244E0,-2.825158119E0,2.114080191E0
2.463797000E-1,9.203310966E0,-2.822763920E0,2.123656988E0
2.484487770E-1,9.186552048E0,-2.806004286E0,2.140416384E0
2.504833160E-1,9.167398453E0,-2.789244890E0,2.157175779E0
2.525519690E-1,9.157821655E0,-2.782062292E0,2.195482969E0
2.545865460E-1,9.167398453E0,-2.760514498E0,2.205059767E0
2.565882390E-1,9.172186852E0,-2.750937700E0,2.224213362E0
2.585876620E-1,9.174580574E0,-2.760514498E0,2.233790159E0
2.606563160E-1,9.181763649E0,-2.731784105E0,2.248155355E0
2.626909690E-1,9.198522568E0,-2.722207308E0,2.252943754E0
2.647598540E-1,9.217676163E0,-2.719813108E0,2.264914751E0
2.667952000E-1,9.217676163E0,-2.722207308E0,2.272097349E0
2.688641230E-1,9.229647636E0,-2.726995707E0,2.291250944E0
2.708998160E-1,9.241618156E0,-2.710236311E0,2.310404539E0
2.729680850E-1,9.258378029E0,-2.705447912E0,2.312798738E0
2.750027770E-1,9.282320023E0,-2.734178305E0,2.341529369E0
2.770060850E-1,9.289502144E0,-2.760514498E0,2.353500366E0
2.790055850E-1,9.303867340E0,-2.777273893E0,2.363077164E0
2.810745850E-1,9.318233490E0,-2.801215887E0,2.377442360E0
2.831093160E-1,9.339780807E0,-2.813186884E0,2.358288765E0
2.851782000E-1,9.358934402E0,-2.822763920E0,2.355894566E0
2.872127000E-1,9.402029991E0,-2.832340717E0,2.355894566E0
