"t","x","y","z"
7.721778000E-3,-5.742133409E-2,-2.150245607E-1,-1.032362282E-1
9.721894000E-3,-4.948008433E-2,-2.089159191E-1,-1.044579595E-1
1.172343200E-2,-3.543018550E-2,-1.960877478E-1,-9.957103431E-2
1.372320100E-2,-2.138028294E-2,-1.881465018E-1,-9.957103431E-2
1.579231700E-2,-1.466076635E-2,-1.850921661E-1,-9.896016866E-2
1.782727800E-2,-6.108652451E-4,-1.838704348E-1,-9.529497474E-2
1.989650900E-2,1.466076635E-2,-1.820378453E-1,-1.020144969E-1
2.193147000E-2,2.260201424E-2,-1.814269722E-1,-1.020144969E-1
2.400093200E-2,3.481931984E-2,-1.716531366E-1,-1.007927656E-1
2.607839300E-2,4.153883830E-2,-1.545489132E-1,-1.075122803E-1
2.810493200E-2,4.703662544E-2,-1.270599663E-1,-1.062905490E-1
3.018647000E-2,4.703662544E-2,-1.117883399E-1,-1.020144969E-1
3.214412400E-2,3.970624134E-2,-8.429940045E-2,-1.032362282E-1
3.414408600E-2,3.481931984E-2,-7.147123665E-2,-1.026253626E-1
3.621362400E-2,2.809980139E-2,-4.581489414E-2,-9.896016866E-2
3.824793200E-2,1.649336144E-2,-3.054326214E-2,-9.834930301E-2
4.031712400E-2,9.773843922E-3,-1.710422710E-2,-9.529497474E-2
4.235262400E-2,7.941247895E-3,-1.404990070E-2,-9.834930301E-2
4.442250900E-2,1.221730490E-3,-7.330383174E-3,-1.014036313E-1
4.650000900E-2,-2.443460980E-3,-3.665191587E-3,-9.896016866E-2
4.852700900E-2,-6.108652335E-3,-1.221730490E-3,-1.014036313E-1
5.056089300E-2,-6.719517522E-3,4.276056774E-3,-1.105666086E-1
5.256308600E-2,-5.497787148E-3,1.038470957E-2,-1.117883399E-1
5.456320100E-2,-9.162978269E-3,1.466076635E-2,-1.117883399E-1
5.663223900E-2,-1.282817032E-2,1.771509275E-2,-1.136209369E-1
5.866681600E-2,-1.710422710E-2,2.382374369E-2,-1.185078546E-1
6.073581600E-2,-1.710422710E-2,2.565634064E-2,-1.172861308E-1
6.277035500E-2,-2.138028294E-2,2.871066704E-2,-1.209513173E-1
6.483985500E-2,-2.504547499E-2,3.420845419E-2,-1.197295859E-1
6.691681600E-2,-2.687807009E-2,3.481931984E-2,-1.197295859E-1
6.894289300E-2,-2.871066704E-2,3.359758854E-2,-1.203404516E-1
7.102331600E-2,-2.993239649E-2,3.787364438E-2,-1.197295859E-1
7.298004700E-2,-3.176499158E-2,3.543018550E-2,-1.215621829E-1
7.497997000E-2,-2.993239649E-2,3.359758854E-2,-1.240056455E-1
7.704923900E-2,-2.871066704E-2,3.054326214E-2,-1.233947799E-1
7.908289300E-2,-3.115412779E-2,2.504547499E-2,-1.215621829E-1
8.115200900E-2,-2.871066704E-2,2.443460934E-2,-1.252273768E-1
8.318589300E-2,-2.748893574E-2,2.199114859E-2,-1.282816976E-1
8.525516200E-2,-2.565634064E-2,1.893682219E-2,-1.307251602E-1
8.733158600E-2,-2.565634064E-2,1.710422710E-2,-1.325577646E-1
8.935754700E-2,-2.443460934E-2,1.221730467E-2,-1.350012124E-1
9.139147000E-2,-2.260201424E-2,7.330383174E-3,-1.331686229E-1
9.339189300E-2,-2.138028294E-2,1.221730490E-3,-1.350012124E-1
9.539227800E-2,-2.382374369E-2,-6.108652451E-4,-1.398881376E-1
9.746000900E-2,-2.565634064E-2,-2.443460980E-3,-1.429424733E-1
