"t","x","y","z"
7.879022000E-3,8.578424454E0,-1.161187768E0,4.414907932E0
9.889907000E-3,8.681375504E0,-1.154005170E0,4.098873138E0
1.189090700E-2,8.690952301E0,-1.165976286E0,3.948038578E0
1.396094500E-2,8.674192429E0,-1.170764685E0,3.720589399E0
1.599683000E-2,8.664615631E0,-1.187524080E0,3.653551817E0
1.806683000E-2,8.674192429E0,-1.206677675E0,3.699041605E0
2.010283000E-2,8.724471092E0,-1.240196466E0,3.928884983E0
2.213125300E-2,8.817844391E0,-1.237802267E0,4.173093796E0
2.414936800E-2,8.844181061E0,-1.225831270E0,4.297592163E0
2.621959900E-2,8.884882927E0,-1.187524080E0,4.486733913E0
2.825525300E-2,8.961497307E0,-1.139639974E0,4.539406300E0
3.032513800E-2,9.045293808E0,-1.110909581E0,4.532223701E0
3.236094500E-2,9.095572472E0,-1.036689281E0,4.472368717E0
3.443075300E-2,9.181763649E0,-1.003170490E0,4.338293552E0
3.646602200E-2,9.224859238E0,-9.504981041E-1,4.185064793E0
3.853579100E-2,9.253589630E0,-9.385270476E-1,4.108449936E0
4.057129100E-2,9.346963882E0,-9.481038451E-1,3.979163170E0
4.264140700E-2,9.454702377E0,-1.003170490E0,3.907337189E0
4.467967600E-2,9.497797966E0,-1.036689281E0,3.876212597E0
4.674983000E-2,9.569623947E0,-1.142034173E0,3.885789394E0
4.878586800E-2,9.615114212E0,-1.276109457E0,3.931279182E0
5.085606100E-2,9.629479408E0,-1.340752959E0,3.960009575E0
5.289256100E-2,9.660603523E0,-1.477222443E0,4.050989151E0
5.496275300E-2,9.639056206E0,-1.601720929E0,4.101267338E0
5.699940700E-2,9.624691010E0,-1.649604917E0,4.141968727E0
5.906936800E-2,9.593565941E0,-1.754949808E0,4.201824188E0
6.110513700E-2,9.567230225E0,-1.805228114E0,4.197035789E0
6.313313700E-2,9.524134636E0,-1.802833915E0,4.132391930E0
6.521990700E-2,9.493009567E0,-1.798045516E0,4.096478939E0
6.724459900E-2,9.428366661E0,-1.783680320E0,4.041412354E0
6.928056000E-2,9.385271072E0,-1.740584612E0,3.971980572E0
7.135063700E-2,9.363722801E0,-1.726219416E0,3.924096584E0
7.338633000E-2,9.363722801E0,-1.678335428E0,3.849876404E0
7.545586800E-2,9.318233490E0,-1.640028119E0,3.787626982E0
7.749144500E-2,9.294290543E0,-1.620874524E0,3.758896589E0
7.956109900E-2,9.236829758E0,-1.572990537E0,3.722983599E0
8.159663700E-2,9.210494041E0,-1.517923832E0,3.706224203E0
8.359767600E-2,9.191340446E0,-1.491587639E0,3.708618402E0
8.560140700E-2,9.126696587E0,-1.458068848E0,3.694253206E0
8.767098300E-2,9.083600998E0,-1.412579060E0,3.670311213E0
8.970683000E-2,9.090784073E0,-1.388636947E0,3.655946016E0
9.177640700E-2,9.107542992E0,-1.379060149E0,3.629609823E0
9.381190700E-2,9.119514465E0,-1.367089152E0,3.627215624E0
9.588109900E-2,9.100360870E0,-1.364694953E0,3.617638826E0
9.791648300E-2,9.085995674E0,-1.362300754E0,3.615244627E0
9.998659900E-2,9.066842079E0,-1.328781962E0,3.608062029E0
1.020218300E-1,9.045293808E0,-1.307234168E0,3.588908434E0
1.040535600E-1,9.038111687E0,-1.302445769E0,3.581725836E0
1.060862530E-1,9.035717010E0,-1.297657371E0,3.567360640E0
1.081556370E-1,9.028534889E0,-1.297657371E0,3.541024208E0
1.101910220E-1,9.045293808E0,-1.292868972E0,3.541024208E0
1.122602140E-1,9.062053680E0,-1.273715258E0,3.531447411E0
1.142954830E-1,9.083600998E0,-1.266532660E0,3.536235809E0
1.163655600E-1,9.088389397E0,-1.266532660E0,3.543418407E0
1.184006760E-1,9.076418877E0,-1.268926859E0,3.557783842E0
1.204702140E-1,9.071630478E0,-1.247379065E0,3.588908434E0
1.225060220E-1,9.078812599E0,-1.228225470E0,3.598485231E0
1.245371760E-1,9.071630478E0,-1.197100878E0,3.624821424E0
1.265390990E-1,9.069235802E0,-1.170764685E0,3.653551817E0
1.286079450E-1,9.093177795E0,-1.158793569E0,3.679888010E0
1.306431370E-1,9.095572472E0,-1.137245774E0,3.687070608E0
1.327125220E-1,9.112331390E0,-1.127668977E0,3.689464808E0
1.347472140E-1,9.138668060E0,-1.127668977E0,3.651157618E0
1.368164060E-1,9.124302864E0,-1.122880578E0,3.643975019E0
1.388517520E-1,9.119514465E0,-1.096544385E0,3.629609823E0
1.409212520E-1,9.114726067E0,-1.096544385E0,3.610456228E0
1.429565990E-1,9.112331390E0,-1.091755986E0,3.605667830E0
1.449562520E-1,9.093177795E0,-1.094150186E0,3.612850428E0
1.470426370E-1,9.076418877E0,-1.101332784E0,3.617638826E0
1.490668680E-1,9.064447403E0,-1.096544385E0,3.624821424E0
1.511024450E-1,9.038111687E0,-1.098938584E0,3.651157618E0
1.531719060E-1,9.047688484E0,-1.101332784E0,3.670311213E0
1.552071370E-1,9.038111687E0,-1.098938584E0,3.667917013E0
