"t","x","y","z"
1.005990700E-2,9.040805697E-2,-9.297369123E-1,6.352998316E-2
1.206133000E-2,9.529497474E-2,-9.413433671E-1,6.169738993E-2
1.413144500E-2,1.044579595E-1,-9.596692920E-1,6.475171447E-2
1.616717600E-2,1.050688252E-1,-9.694431424E-1,6.475171447E-2
1.823752200E-2,1.142318025E-1,-9.700540304E-1,6.597344577E-2
2.027294500E-2,1.209513173E-1,-9.700540304E-1,6.780604273E-2
2.230213800E-2,1.368338168E-1,-9.553932548E-1,6.414084882E-2
2.431925300E-2,1.576032341E-1,-9.303477407E-1,6.658431143E-2
2.638998400E-2,1.643227488E-1,-9.181304574E-1,6.902777404E-2
2.846806100E-2,1.838704348E-1,-8.833111525E-1,6.597344577E-2
3.049559900E-2,1.960877478E-1,-8.448266387E-1,6.536258012E-2
3.253144500E-2,2.009746730E-1,-8.252789378E-1,6.841690838E-2
3.460125300E-2,2.052507252E-1,-7.800748944E-1,6.963863969E-2
3.663633000E-2,2.028072625E-1,-7.299839854E-1,6.902777404E-2
3.870598400E-2,2.028072625E-1,-7.037167549E-1,6.902777404E-2
4.074136800E-2,1.930334121E-1,-6.475171447E-1,6.414084882E-2
4.285840700E-2,1.826487035E-1,-5.925393105E-1,5.925392732E-2
4.484986800E-2,1.771509200E-1,-5.668829679E-1,5.681046844E-2
4.692025300E-2,1.618792862E-1,-5.106833577E-1,4.703662544E-2
4.899890700E-2,1.508837193E-1,-4.624249935E-1,3.970624134E-2
5.102683000E-2,1.435533315E-1,-4.190535545E-1,2.687807009E-2
5.306340700E-2,1.368338168E-1,-4.031710625E-1,2.076941915E-2
5.513309900E-2,1.301143020E-1,-3.714060783E-1,1.404990070E-2
5.716994500E-2,1.264491081E-1,-3.439171314E-1,2.443460980E-3
5.923994500E-2,1.203404516E-1,-3.359758854E-1,-1.832595794E-3
6.127552200E-2,1.142318025E-1,-3.170390725E-1,-6.719517522E-3
6.330348400E-2,1.087340117E-1,-3.029891551E-1,-1.404990070E-2
6.539033000E-2,1.032362282E-1,-2.962696552E-1,-1.527163107E-2
6.741556000E-2,9.651670605E-2,-2.895501256E-1,-1.527163107E-2
6.949421400E-2,8.307767659E-2,-2.816088796E-1,-1.527163107E-2
7.152094500E-2,8.185594529E-2,-2.791654170E-1,-1.588249579E-2
7.355652200E-2,6.902777404E-2,-2.755002379E-1,-1.466076635E-2
7.562648400E-2,5.925392732E-2,-2.693915665E-1,-1.588249579E-2
7.766209900E-2,5.314527452E-2,-2.657263875E-1,-1.282817032E-2
7.973156000E-2,4.825835302E-2,-2.651155293E-1,-1.466076635E-2
8.176725300E-2,3.726277873E-2,-2.651155293E-1,-1.221730467E-2
8.381429100E-2,3.604105115E-2,-2.657263875E-1,-1.771509275E-2
8.577183000E-2,3.543018550E-2,-2.675589919E-1,-1.343903504E-2
8.784163700E-2,2.993239649E-2,-2.718350291E-1,-1.404990070E-2
8.991986800E-2,3.054326214E-2,-2.761110961E-1,-2.138028294E-2
9.194733000E-2,2.871066704E-2,-2.816088796E-1,-2.015855350E-2
9.398252200E-2,2.871066704E-2,-2.883284092E-1,-2.260201424E-2
9.605140700E-2,2.748893574E-2,-2.968805134E-1,-2.687807009E-2
9.808683000E-2,2.932153270E-2,-3.017674387E-1,-2.809980139E-2
