"t","x","y","z"
9.574893000E-3,1.084812832E1,-2.159569979E0,4.333505154E0
1.167897000E-2,1.097741508E1,-2.044648170E0,4.331110954E0
1.371408500E-2,1.098938560E1,-1.970427990E0,4.278438568E0
1.574073900E-2,1.097023201E1,-1.795651317E0,4.132391930E0
1.786854600E-2,1.087685871E1,-1.635239720E0,3.950432777E0
1.977443100E-2,1.080982113E1,-1.558625340E0,3.861847401E0
2.177420000E-2,1.065419769E1,-1.403002143E0,3.672705412E0
2.384323900E-2,1.045069027E1,-1.278503656E0,3.478775024E0
2.587908500E-2,1.034295177E1,-1.233013868E0,3.380612850E0
2.794854600E-2,1.014183807E1,-1.158793569E0,3.208230257E0
2.998346900E-2,9.955090523E0,-1.122880578E0,3.076549292E0
3.205300800E-2,9.866505623E0,-1.125274777E0,3.035847664E0
3.408800800E-2,9.720458984E0,-1.122880578E0,2.980781078E0
3.611073900E-2,9.598354340E0,-1.168370485E0,2.947262287E0
3.811404600E-2,9.555258751E0,-1.197100878E0,2.949656487E0
4.018323900E-2,9.507374763E0,-1.268926859E0,2.983175278E0
4.221793100E-2,9.473855972E0,-1.371877551E0,3.014299870E0
4.428658500E-2,9.466673851E0,-1.407790542E0,3.033453465E0
4.632150800E-2,9.445125580E0,-1.484405041E0,3.074155092E0
4.839070000E-2,9.428366661E0,-1.592144132E0,3.119644880E0
5.042558500E-2,9.387664795E0,-1.628057122E0,3.126827478E0
5.249466200E-2,9.356540680E0,-1.702277422E0,3.126827478E0
5.452970000E-2,9.287108421E0,-1.781286120E0,3.093308687E0
5.653035400E-2,9.179368973E0,-1.833958507E0,3.043030262E0
5.865477700E-2,9.109937668E0,-1.862688899E0,3.023876667E0
6.056023900E-2,8.990227699E0,-1.903390408E0,3.002328873E0
6.255996900E-2,8.923190117E0,-1.910573006E0,2.980781078E0
6.462885400E-2,8.911218643E0,-1.941697598E0,2.995146275E0
6.666381500E-2,8.899248123E0,-1.965639591E0,3.026270866E0
6.873281500E-2,8.930372238E0,-1.982398987E0,3.002328873E0
7.076727700E-2,8.949525833E0,-1.996764183E0,2.966415882E0
7.283627700E-2,9.002198219E0,-2.011129379E0,2.873042107E0
7.487112300E-2,9.009381294E0,-2.020706177E0,2.753331900E0
7.687243100E-2,9.014169693E0,-2.018311977E0,2.679111719E0
7.899773900E-2,9.004592896E0,-2.020706177E0,2.537853718E0
8.090312300E-2,8.963891029E0,-2.011129379E0,2.420537949E0
8.290289200E-2,8.959102631E0,-2.011129379E0,2.358288765E0
8.497170000E-2,8.951920509E0,-2.023100376E0,2.293645144E0
8.700639200E-2,8.930372238E0,-2.018311977E0,2.293645144E0
8.907504600E-2,8.930372238E0,-2.032677174E0,2.312798738E0
9.110950800E-2,8.939949036E0,-2.056619167E0,2.343923569E0
9.317916200E-2,8.949525833E0,-2.070984364E0,2.382230759E0
9.521258500E-2,8.959102631E0,-2.070984364E0,2.401384354E0
9.721250800E-2,8.997409821E0,-2.047042370E0,2.439691544E0
9.921293100E-2,9.023746490E0,-2.025494576E0,2.461239338E0
1.012818150E-1,9.047688484E0,-2.023100376E0,2.466027737E0
1.033159690E-1,9.109937668E0,-2.001552582E0,2.458845139E0
1.053844310E-1,9.174580574E0,-1.977610588E0,2.451662540E0
1.074187770E-1,9.198522568E0,-1.956062794E0,2.451662540E0
1.094875080E-1,9.246406555E0,-1.924938202E0,2.432508945E0
1.115217380E-1,9.277531624E0,-1.898601890E0,2.372653961E0
1.135902000E-1,9.301473618E0,-1.865083098E0,2.336740971E0
1.156244310E-1,9.308655739E0,-1.855506301E0,2.319981337E0
1.176300080E-1,9.325415611E0,-1.821987510E0,2.293645144E0
1.196328920E-1,9.337387085E0,-1.800439715E0,2.264914751E0
1.217010080E-1,9.346963882E0,-1.788468719E0,2.255337954E0
1.237353540E-1,9.378087997E0,-1.781286120E0,2.257732153E0
1.258035460E-1,9.406818390E0,-1.754949808E0,2.276885748E0
1.278377380E-1,9.411606789E0,-1.740584612E0,2.279279947E0
1.299062000E-1,9.421183586E0,-1.704671621E0,2.293645144E0
1.319408540E-1,9.423578262E0,-1.678335428E0,2.310404539E0
1.340098150E-1,9.433155060E0,-1.661576033E0,2.322375536E0
1.360449310E-1,9.473855972E0,-1.642422318E0,2.353500366E0
1.380510460E-1,9.507374763E0,-1.625662923E0,2.367865562E0
1.401747770E-1,9.526528358E0,-1.618480325E0,2.379836559E0
1.420799690E-1,9.576807022E0,-1.611297727E0,2.389413357E0
1.440800080E-1,9.603142738E0,-1.599326730E0,2.396595955E0
1.461489690E-1,9.619902611E0,-1.592144132E0,2.391807556E0
1.481836610E-1,9.629479408E0,-1.570596337E0,2.387019157E0
1.502519690E-1,9.646238327E0,-1.572990537E0,2.365471363E0
1.522859690E-1,9.646238327E0,-1.568202138E0,2.353500366E0
1.543546230E-1,9.660603523E0,-1.558625340E0,2.336740971E0
1.563886610E-1,9.648633003E0,-1.549048543E0,2.329558372E0
1.583946610E-1,9.617507935E0,-1.546654344E0,2.312798738E0
1.605847770E-1,9.605537415E0,-1.527500629E0,2.288856745E0
1.624209690E-1,9.595960617E0,-1.508347034E0,2.300827742E0
1.644197000E-1,9.579200745E0,-1.501164436E0,2.300827742E0
1.664888150E-1,9.557653427E0,-1.505952835E0,2.310404539E0
1.685234690E-1,9.555258751E0,-1.489193439E0,2.319981337E0
1.705929690E-1,9.531316757E0,-1.491587639E0,2.334346771E0
1.726273150E-1,9.514557838E0,-1.484405041E0,2.334346771E0
1.746963540E-1,9.495404243E0,-1.467645645E0,2.329558372E0
1.767313920E-1,9.485827446E0,-1.460463047E0,2.355894566E0
1.787364300E-1,9.481039047E0,-1.467645645E0,2.353500366E0
1.807382770E-1,9.461885452E0,-1.477222443E0,2.341529369E0
1.828072770E-1,9.449913979E0,-1.460463047E0,2.324769735E0
1.848423540E-1,9.457097054E0,-1.472434044E0,2.308010340E0
1.869112380E-1,9.454702377E0,-1.477222443E0,2.274491549E0
1.889455840E-1,9.435548782E0,-1.465251446E0,2.233790159E0
1.909705840E-1,9.423578262E0,-1.458068848E0,2.219424963E0
1.929701230E-1,9.390059471E0,-1.446097851E0,2.212242365E0
1.950390460E-1,9.354146004E0,-1.472434044E0,2.200271368E0
1.970736230E-1,9.358934402E0,-1.484405041E0,2.188300371E0
1.990794300E-1,9.351752281E0,-1.489193439E0,2.185906172E0
2.010844690E-1,9.344569206E0,-1.520318031E0,2.188300371E0
2.031530840E-1,9.344569206E0,-1.529894829E0,2.193088770E0
2.051879690E-1,9.351752281E0,-1.546654344E0,2.200271368E0
2.072567380E-1,9.346963882E0,-1.558625340E0,2.209848166E0
2.092913150E-1,9.344569206E0,-1.568202138E0,2.219424963E0
2.113599300E-1,9.366117477E0,-1.584961534E0,2.224213362E0
2.133945460E-1,9.378087997E0,-1.608903527E0,2.224213362E0
2.154633150E-1,9.363722801E0,-1.613691926E0,2.231395960E0
2.174982380E-1,9.373299599E0,-1.630451322E0,2.224213362E0
2.195037380E-1,9.385271072E0,-1.640028119E0,2.193088770E0
2.216278530E-1,9.392453194E0,-1.651999116E0,2.188300371E0
2.235326230E-1,9.411606789E0,-1.656787634E0,2.190694571E0
2.255326230E-1,9.430760384E0,-1.651999116E0,2.181117773E0
2.276016610E-1,9.447520256E0,-1.649604917E0,2.161964178E0
2.296360840E-1,9.437943459E0,-1.654393315E0,2.154781580E0
2.317048150E-1,9.435548782E0,-1.663970232E0,2.157175779E0
2.337391230E-1,9.449913979E0,-1.683123827E0,2.140416384E0
2.358088150E-1,9.447520256E0,-1.687912226E0,2.123656988E0
2.378434690E-1,9.454702377E0,-1.683123827E0,2.078166962E0
2.398485070E-1,9.464279175E0,-1.675941229E0,2.054224968E0
2.419741990E-1,9.471462250E0,-1.666364431E0,2.049436569E0
2.438792380E-1,9.485827446E0,-1.671152830E0,2.011129379E0
2.458791990E-1,9.440337181E0,-1.671152830E0,1.994369984E0
2.479482380E-1,9.428366661E0,-1.673547029E0,1.994369984E0
2.499830070E-1,9.437943459E0,-1.675941229E0,2.001552582E0
2.520520460E-1,9.433155060E0,-1.690306425E0,2.013523579E0
2.540870460E-1,9.435548782E0,-1.692700624E0,2.015917778E0
2.561557760E-1,9.457097054E0,-1.690306425E0,2.020706177E0
2.581905840E-1,9.493009567E0,-1.695094824E0,2.003946781E0
2.601960070E-1,9.509769440E0,-1.685518026E0,1.984793186E0
2.621970070E-1,9.531316757E0,-1.666364431E0,1.980004787E0
2.642658530E-1,9.526528358E0,-1.659181833E0,1.960851192E0
2.663006610E-1,9.533711433E0,-1.663970232E0,1.963245392E0
2.683695450E-1,9.536105156E0,-1.642422318E0,1.951274395E0
2.704041990E-1,9.538499832E0,-1.630451322E0,1.924938202E0
2.724728530E-1,9.567230225E0,-1.630451322E0,1.893813491E0
