"t","x","y","z"
1.591116200E-2,-4.214970022E-2,-4.520402849E-1,-4.153883830E-2
1.803904600E-2,-6.108652451E-4,-4.050036669E-1,-6.230825558E-2
1.994516200E-2,9.773843922E-3,-3.836233616E-1,-6.719517708E-2
2.194439300E-2,4.153883830E-2,-3.390302062E-1,-8.491026610E-2
2.401393100E-2,6.108652428E-2,-2.938261926E-1,-8.735372871E-2
2.604954600E-2,6.963863969E-2,-2.742784917E-1,-8.735372871E-2
2.811870000E-2,8.246681094E-2,-2.333505303E-1,-9.224065393E-2
3.015373900E-2,9.101892263E-2,-1.997529417E-1,-8.368854225E-2
3.222366200E-2,9.651670605E-2,-1.826487035E-1,-8.124507964E-2
3.430204600E-2,1.032362282E-1,-1.612684280E-1,-7.819075137E-2
3.632739300E-2,1.105666086E-1,-1.429424733E-1,-6.902777404E-2
3.828412300E-2,1.099557430E-1,-1.374446750E-1,-6.352998316E-2
4.035354600E-2,1.215621829E-1,-1.288925707E-1,-6.047565863E-2
4.238796900E-2,1.313360333E-1,-1.282816976E-1,-5.742133409E-2
4.445689300E-2,1.411098689E-1,-1.307251602E-1,-5.925392732E-2
4.649220000E-2,1.447750628E-1,-1.356120855E-1,-5.803219974E-2
4.856120000E-2,1.569923609E-1,-1.459967941E-1,-5.986479297E-2
5.059612300E-2,1.692096740E-1,-1.600466967E-1,-6.108652428E-2
5.266520000E-2,1.704314053E-1,-1.661553532E-1,-6.536258012E-2
5.474246900E-2,1.802052408E-1,-1.826487035E-1,-6.475171447E-2
5.670093100E-2,1.893682331E-1,-1.973094791E-1,-6.902777404E-2
5.882481600E-2,1.905899495E-1,-2.034181207E-1,-6.841690838E-2
6.073050800E-2,1.979203373E-1,-2.168571651E-1,-6.658431143E-2
6.273004600E-2,2.015855312E-1,-2.284636050E-1,-6.414084882E-2
6.479904600E-2,2.052507252E-1,-2.327396572E-1,-6.475171447E-2
6.683450800E-2,2.083050460E-1,-2.431243658E-1,-5.681046844E-2
6.890285400E-2,2.125810981E-1,-2.535090744E-1,-5.986479297E-2
7.093758500E-2,2.125810981E-1,-2.583959997E-1,-5.803219974E-2
7.300650800E-2,2.125810981E-1,-2.706133127E-1,-5.681046844E-2
7.508400800E-2,2.076941878E-1,-2.846632004E-1,-6.230825558E-2
7.708935400E-2,2.015855312E-1,-2.950479090E-1,-5.925392732E-2
7.916793100E-2,1.887573600E-1,-3.164281845E-1,-5.986479297E-2
8.107381500E-2,1.759291887E-1,-3.353650272E-1,-6.352998316E-2
8.307320000E-2,1.667662114E-1,-3.475823104E-1,-6.047565863E-2
8.514254600E-2,1.484402567E-1,-3.720169365E-1,-6.108652428E-2
8.717693100E-2,1.319468915E-1,-3.982841372E-1,-5.986479297E-2
8.924527700E-2,1.264491081E-1,-4.092797041E-1,-5.986479297E-2
9.127993100E-2,1.123992056E-1,-4.294382632E-1,-5.986479297E-2
9.334966200E-2,9.957103431E-2,-4.483750761E-1,-5.864306539E-2
9.542558500E-2,9.224065393E-2,-4.630358517E-1,-5.986479297E-2
9.738293100E-2,8.796459436E-2,-4.709770977E-1,-5.619960278E-2
9.938304600E-2,8.185594529E-2,-4.783074856E-1,-6.047565863E-2
1.014520460E-1,7.880161703E-2,-4.886921942E-1,-6.291911751E-2
1.034861230E-1,7.513642311E-2,-4.899139404E-1,-6.475171447E-2
1.055548150E-1,6.780604273E-2,-4.923573732E-1,-6.536258012E-2
1.075886610E-1,6.597344577E-2,-4.948008358E-1,-6.719517708E-2
1.096578920E-1,6.047565863E-2,-4.941899776E-1,-6.597344577E-2
1.116919690E-1,5.681046844E-2,-4.941899776E-1,-6.963863969E-2
1.137606230E-1,4.948008433E-2,-4.893030524E-1,-7.574728876E-2
1.158421230E-1,4.642575979E-2,-4.893030524E-1,-7.452555746E-2
1.178465080E-1,3.909537569E-2,-4.825835526E-1,-7.880161703E-2
1.198034310E-1,2.993239649E-2,-4.746423066E-1,-7.880161703E-2
1.218714690E-1,2.809980139E-2,-4.703662395E-1,-8.063421398E-2
1.239059690E-1,2.260201424E-2,-4.618141353E-1,-7.880161703E-2
1.259743150E-1,1.588249579E-2,-4.508185387E-1,-7.757988572E-2
1.280083540E-1,1.160643995E-2,-4.434881806E-1,-8.124507964E-2
1.300767000E-1,7.941247895E-3,-4.306600094E-1,-7.574728876E-2
1.321111610E-1,4.276056774E-3,-4.141666293E-1,-7.452555746E-2
1.341804310E-1,4.276056774E-3,-3.982841372E-1,-7.452555746E-2
1.362627380E-1,3.665191587E-3,-3.915646076E-1,-7.330382615E-2
1.382213920E-1,2.443460980E-3,-3.720169365E-1,-7.269296050E-2
1.403453150E-1,1.832595794E-3,-3.561344445E-1,-7.330382615E-2
1.422507770E-1,2.443460980E-3,-3.481931984E-1,-7.513642311E-2
1.442499690E-1,0.000000000E0,-3.347541690E-1,-7.330382615E-2
1.463195460E-1,1.221730490E-3,-3.176499307E-1,-7.452555746E-2
1.483537770E-1,-6.108652451E-4,-3.109304011E-1,-7.696902007E-2
1.504227770E-1,-2.443460980E-3,-2.999348342E-1,-7.391469181E-2
1.524568150E-1,-6.108652335E-3,-2.895501256E-1,-7.757988572E-2
1.545250070E-1,-6.108652335E-3,-2.864958048E-1,-7.757988572E-2
1.566063920E-1,-8.552113548E-3,-2.755002379E-1,-7.574728876E-2
1.586115070E-1,-1.038470957E-2,-2.724458873E-1,-7.819075137E-2
1.607552000E-1,-1.160643995E-2,-2.687807083E-1,-8.002334833E-2
1.625915070E-1,-1.282817032E-2,-2.657263875E-1,-7.941248268E-2
1.645901610E-1,-1.588249579E-2,-2.663372457E-1,-8.002334833E-2
1.666593920E-1,-1.771509275E-2,-2.657263875E-1,-7.757988572E-2
1.686936610E-1,-1.588249579E-2,-2.663372457E-1,-7.696902007E-2
1.707632770E-1,-1.710422710E-2,-2.681698501E-1,-8.063421398E-2
1.727975840E-1,-1.710422710E-2,-2.687807083E-1,-8.185594529E-2
1.748819300E-1,-1.771509275E-2,-2.736676335E-1,-7.574728876E-2
1.769488920E-1,-1.527163107E-2,-2.767219543E-1,-7.880161703E-2
1.789073150E-1,-1.282817032E-2,-2.797762752E-1,-7.941248268E-2
1.809081230E-1,-1.221730467E-2,-2.864958048E-1,-7.452555746E-2
1.829775460E-1,-1.099557430E-2,-2.919935882E-1,-8.002334833E-2
1.850126230E-1,-1.221730467E-2,-2.956587672E-1,-7.819075137E-2
1.870819300E-1,-1.038470957E-2,-3.036000133E-1,-7.757988572E-2
1.891159300E-1,-1.160643995E-2,-3.115412891E-1,-8.063421398E-2
1.911408530E-1,-1.221730467E-2,-3.152064681E-1,-8.185594529E-2
1.931400840E-1,-1.160643995E-2,-3.237585723E-1,-7.757988572E-2
1.952095070E-1,-1.588249579E-2,-3.280346394E-1,-8.063421398E-2
1.972911610E-1,-1.527163107E-2,-3.329215646E-1,-7.819075137E-2
1.992964300E-1,-1.710422710E-2,-3.371976018E-1,-7.635815442E-2
2.012544300E-1,-1.649336144E-2,-3.433062732E-1,-8.063421398E-2
2.033235070E-1,-1.710422710E-2,-3.481931984E-1,-7.941248268E-2
2.053581230E-1,-1.343903504E-2,-3.524692357E-1,-7.635815442E-2
2.074272380E-1,-1.588249579E-2,-3.591887653E-1,-7.819075137E-2
2.094615840E-1,-1.282817032E-2,-3.640756905E-1,-7.880161703E-2
2.115305840E-1,-1.404990070E-2,-3.671300113E-1,-7.880161703E-2
2.135648920E-1,-1.221730467E-2,-3.732386529E-1,-8.307767659E-2
2.156336610E-1,-9.773843922E-3,-3.811798990E-1,-7.880161703E-2
2.177161610E-1,-9.162978269E-3,-3.842342496E-1,-7.757988572E-2
