"t","x","y","z"
1.268495900E-2,5.656611919E-1,-1.404990107E-1,-3.665191308E-2
1.475680500E-2,5.791002512E-1,-1.362229437E-1,-3.604105115E-2
1.683865100E-2,6.090326309E-1,-1.288925707E-1,-3.726277873E-2
1.879419000E-2,6.352998614E-1,-1.258382350E-1,-3.665191308E-2
2.079430500E-2,6.487388611E-1,-1.221730486E-1,-3.604105115E-2
2.286372800E-2,6.743952036E-1,-1.142318025E-1,-4.337143153E-2
2.489911300E-2,6.945537925E-1,-1.044579595E-1,-4.764748737E-2
2.696876700E-2,7.031059265E-1,-1.014036313E-1,-4.948008433E-2
2.900395900E-2,7.189884186E-1,-8.613199741E-2,-6.230825558E-2
3.109942100E-2,7.293730974E-1,-6.780604273E-2,-6.780604273E-2
3.309261300E-2,7.330383062E-1,-5.925392732E-2,-7.696902007E-2
3.516303600E-2,7.305948138E-1,-3.237585723E-2,-9.224065393E-2
3.719819000E-2,7.189884186E-1,-5.497787148E-3,-1.026253626E-1
3.919926700E-2,7.037167549E-1,2.443460934E-2,-1.185078546E-1
4.119980500E-2,6.933320761E-1,3.665191308E-2,-1.240056455E-1
4.326972800E-2,6.719517708E-1,5.864306539E-2,-1.288925707E-1
4.530499700E-2,6.499606371E-1,7.574728876E-2,-1.301143020E-1
4.737534400E-2,6.377432942E-1,8.124507964E-2,-1.301143020E-1
4.941045900E-2,6.084218025E-1,8.796459436E-2,-1.252273768E-1
5.148199700E-2,5.778785348E-1,9.040805697E-2,-1.197295859E-1
5.343976700E-2,5.662720799E-1,9.101892263E-2,-1.172861308E-1
5.551007400E-2,5.308418870E-1,8.674286306E-2,-1.044579595E-1
5.759142000E-2,4.978551865E-1,7.819075137E-2,-9.590584040E-2
5.954830500E-2,4.801400900E-1,7.513642311E-2,-8.918632567E-2
6.154834300E-2,4.440990388E-1,6.597344577E-2,-7.574728876E-2
6.361803600E-2,4.031710625E-1,5.375614017E-2,-5.925392732E-2
6.565369000E-2,3.848451078E-1,4.703662544E-2,-5.864306539E-2
6.772388200E-2,3.469714522E-1,3.481931984E-2,-3.970624134E-2
6.975899700E-2,3.066543639E-1,2.076941915E-2,-3.420845419E-2
7.180580500E-2,2.895501256E-1,1.160643995E-2,-3.115412779E-2
7.376311300E-2,2.541199327E-1,-2.443460980E-3,-2.443460934E-2
7.583365100E-2,2.223549485E-1,-1.893682219E-2,-2.626720630E-2
7.786826700E-2,2.064724565E-1,-2.626720630E-2,-2.382374369E-2
7.986934300E-2,1.789835095E-1,-3.909537569E-2,-2.260201424E-2
8.186892000E-2,1.533271819E-1,-5.436700583E-2,-3.237585723E-2
8.393861300E-2,1.423316002E-1,-5.619960278E-2,-3.237585723E-2
8.597357400E-2,1.215621829E-1,-6.719517708E-2,-3.665191308E-2
8.804372800E-2,1.062905490E-1,-7.574728876E-2,-4.642575979E-2
9.007953600E-2,1.001819000E-1,-7.696902007E-2,-4.825835302E-2
9.214676600E-2,8.552113175E-2,-8.185594529E-2,-5.375614017E-2
9.410465100E-2,7.208210230E-2,-8.307767659E-2,-6.169738993E-2
9.617434300E-2,7.086037099E-2,-8.307767659E-2,-6.414084882E-2
9.825715100E-2,6.047565863E-2,-8.124507964E-2,-7.024950534E-2
1.002138820E-1,4.948008433E-2,-7.574728876E-2,-7.208210230E-2
1.022140360E-1,4.520402849E-2,-7.330382615E-2,-7.391469181E-2
1.042830360E-1,3.726277873E-2,-6.658431143E-2,-7.819075137E-2
1.063182280E-1,2.871066704E-2,-5.864306539E-2,-8.368854225E-2
1.083885360E-1,2.076941915E-2,-5.192354694E-2,-8.002334833E-2
1.104235360E-1,1.954768784E-2,-4.703662544E-2,-8.368854225E-2
1.124750360E-1,1.282817032E-2,-4.214970022E-2,-8.307767659E-2
1.144278050E-1,7.330383174E-3,-3.970624134E-2,-8.124507964E-2
1.164979590E-1,7.941247895E-3,-3.665191308E-2,-8.185594529E-2
1.185332280E-1,0.000000000E0,-3.543018550E-2,-8.124507964E-2
1.205676890E-1,-4.276056774E-3,-3.115412779E-2,-8.002334833E-2
1.225684590E-1,-7.941247895E-3,-3.115412779E-2,-7.635815442E-2
1.246385360E-1,-1.404990070E-2,-2.809980139E-2,-7.208210230E-2
1.266742280E-1,-1.893682219E-2,-2.565634064E-2,-7.086037099E-2
1.287434970E-1,-2.138028294E-2,-2.565634064E-2,-6.841690838E-2
1.307793430E-1,-2.748893574E-2,-2.687807009E-2,-6.230825558E-2
1.328280360E-1,-3.237585723E-2,-2.932153270E-2,-5.864306539E-2
1.347808050E-1,-3.420845419E-2,-2.932153270E-2,-5.986479297E-2
1.368515360E-1,-4.031710699E-2,-2.993239649E-2,-5.742133409E-2
1.389336120E-1,-4.581489414E-2,-3.359758854E-2,-5.619960278E-2
1.408899590E-1,-4.581489414E-2,-3.481931984E-2,-5.375614017E-2
1.428898820E-1,-5.192354694E-2,-3.848451003E-2,-4.886921868E-2
1.449604970E-1,-5.619960278E-2,-4.092797264E-2,-4.886921868E-2
1.469964970E-1,-5.742133409E-2,-4.337143153E-2,-4.764748737E-2
1.490658050E-1,-6.047565863E-2,-4.764748737E-2,-4.642575979E-2
1.511022660E-1,-6.597344577E-2,-5.131268129E-2,-4.764748737E-2
1.531559200E-1,-6.597344577E-2,-5.375614017E-2,-4.642575979E-2
1.551084970E-1,-7.269296050E-2,-5.742133409E-2,-4.459316283E-2
