"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.374036000E-3,1.029027843E1,-5.530605912E-1,-5.219359994E-1
1.047922800E-2,1.029985619E1,-6.248866320E-1,-3.136404157E-1
1.251492100E-2,1.027112484E1,-7.350199223E-1,-5.506663769E-2
1.458595900E-2,1.024957752E1,-7.924807668E-1,8.379705995E-2
1.662188200E-2,1.017535686E1,-8.810662031E-1,2.274491638E-1
1.862369000E-2,1.011789608E1,-9.720458984E-1,3.327940404E-1
2.062430500E-2,1.009156036E1,-1.017535686E0,3.615244627E-1
2.269353600E-2,1.003649330E1,-1.103726983E0,3.711012602E-1
2.472899700E-2,1.003409958E1,-1.206677675E0,3.639186621E-1
2.679865100E-2,1.003888798E1,-1.259350061E0,3.423708379E-1
2.883392100E-2,1.004607010E1,-1.347935557E0,2.968810201E-1
3.088661300E-2,1.005325317E1,-1.383848548E0,2.082955539E-1
3.292249700E-2,1.007719517E1,-1.405396342E0,1.484405100E-1
3.499226700E-2,1.013465595E1,-1.424550056E0,-3.351882473E-2
3.702776700E-2,1.016578007E1,-1.441309452E0,-2.226607651E-1
3.902872800E-2,1.014662647E1,-1.460463047E0,-3.088520169E-1
4.102961300E-2,1.008437729E1,-1.472434044E0,-3.902548850E-1
4.309957400E-2,9.962273598E0,-1.489193439E0,-3.926490843E-1
4.513503600E-2,9.902418137E0,-1.465251446E0,-3.902548850E-1
4.720492000E-2,9.785101891E0,-1.441309452E0,-4.022258818E-1
4.924034400E-2,9.658209801E0,-1.405396342E0,-4.333505034E-1
5.126884400E-2,9.524134636E0,-1.386242747E0,-4.309563041E-1
5.326922800E-2,9.481039047E0,-1.359906554E0,-3.806780577E-1
5.533945900E-2,9.394847870E0,-1.323993564E0,-3.591302633E-1
5.737480500E-2,9.279925346E0,-1.304839969E0,-3.950432837E-1
5.937757400E-2,9.224859238E0,-1.268926859E0,-4.046200812E-1
6.137826700E-2,9.160215378E0,-1.244984865E0,-4.405331016E-1
6.344776700E-2,9.112331390E0,-1.225831270E0,-4.788403511E-1
6.548319000E-2,9.129091263E0,-1.213860273E0,-4.836287498E-1
6.755322800E-2,9.141061783E0,-1.204283476E0,-4.477157295E-1
6.958872800E-2,9.217676163E0,-1.199495077E0,-4.094084799E-1
7.159284300E-2,9.267954826E0,-1.197100878E0,-3.854664862E-1
7.359315100E-2,9.339780807E0,-1.180341482E0,-3.232172430E-1
7.566269000E-2,9.449913979E0,-1.189918280E0,-2.346317619E-1
7.769784300E-2,9.495404243E0,-1.185129881E0,-1.891419291E-1
7.969869000E-2,9.581595421E0,-1.175553083E0,-9.816227108E-2
8.169853600E-2,9.651026726E0,-1.144428372E0,-1.915361360E-2
8.376799700E-2,9.679757118E0,-1.122880578E0,1.915361360E-2
8.580338200E-2,9.734824181E0,-1.101332784E0,9.337386489E-2
8.787338200E-2,9.730035782E0,-1.067813993E0,1.819593310E-1
8.990895900E-2,9.742006302E0,-1.048660398E0,2.178723514E-1
9.193415100E-2,9.758766174E0,-1.005564690E0,2.513911724E-1
9.393449700E-2,9.782708168E0,-9.457096457E-1,2.561795712E-1
9.600395900E-2,9.792284966E0,-9.145850539E-1,2.585737705E-1
9.803980500E-2,9.785101891E0,-8.762778044E-1,2.489969730E-1
1.000433050E-1,9.775525093E0,-8.331822157E-1,2.274491638E-1
1.020436130E-1,9.758766174E0,-8.212111592E-1,2.178723514E-1
1.041126890E-1,9.751583099E0,-7.948749661E-1,2.106897533E-1
1.061482280E-1,9.727641106E0,-7.541735172E-1,2.106897533E-1
1.082179200E-1,9.710882187E0,-7.398083210E-1,2.154781520E-1
1.102534970E-1,9.648633003E0,-6.967126727E-1,2.418143749E-1
1.122572660E-1,9.631873131E0,-6.464344859E-1,2.681505978E-1
1.142574200E-1,9.617507935E0,-6.296750307E-1,2.753331959E-1
1.163276510E-1,9.595960617E0,-6.129156351E-1,2.825157940E-1
1.183629970E-1,9.593565941E0,-5.746083856E-1,2.801215947E-1
1.203970360E-1,9.569623947E0,-5.578489900E-1,2.753331959E-1
1.223979200E-1,9.552865028E0,-5.602431893E-1,2.681505978E-1
1.244678430E-1,9.543288231E0,-5.458779931E-1,2.729389966E-1
1.265036120E-1,9.550470352E0,-5.434837937E-1,2.705447972E-1
1.285733050E-1,9.540893555E0,-5.363011956E-1,2.777273953E-1
1.306091890E-1,9.567230225E0,-5.386953950E-1,2.801215947E-1
1.326099590E-1,9.600749016E0,-5.363011956E-1,2.825157940E-1
1.346106890E-1,9.610325813E0,-5.363011956E-1,2.849099934E-1
1.366810360E-1,9.643844604E0,-5.482721925E-1,3.064578176E-1
1.387169590E-1,9.662998199E0,-5.674257874E-1,3.208230138E-1
1.407194590E-1,9.660603523E0,-5.746083856E-1,3.256114423E-1
1.427197280E-1,9.682151794E0,-5.841852427E-1,3.375824392E-1
1.447898050E-1,9.730035782E0,-5.865794420E-1,3.471592367E-1
1.468253820E-1,9.756371498E0,-6.009446383E-1,3.543418646E-1
1.488955350E-1,9.804255486E0,-6.296750307E-1,3.639186621E-1
1.509318050E-1,9.825803757E0,-6.416460276E-1,3.471592367E-1
1.529374590E-1,9.844957352E0,-6.512228847E-1,3.495534360E-1
1.549381120E-1,9.866505623E0,-6.775590777E-1,3.615244627E-1
1.570085350E-1,9.885659218E0,-6.967126727E-1,3.567360640E-1
1.590440350E-1,9.895236015E0,-7.182605267E-1,3.495534360E-1
1.610476890E-1,9.914389610E0,-7.374141216E-1,3.303998411E-1
1.630486510E-1,9.911994934E0,-7.565677166E-1,3.088520169E-1
1.651187280E-1,9.916783333E0,-7.661445141E-1,3.016694188E-1
1.671549580E-1,9.914389610E0,-7.900865674E-1,2.825157940E-1
1.692252660E-1,9.902418137E0,-7.972691655E-1,2.657563984E-1
1.712608430E-1,9.904812813E0,-7.972691655E-1,2.394201756E-1
1.732622280E-1,9.916783333E0,-8.116343617E-1,1.963245422E-1
1.752629970E-1,9.904812813E0,-8.499416113E-1,1.604115069E-1
1.773328820E-1,9.902418137E0,-8.667010069E-1,1.316810995E-1
1.793686120E-1,9.892841339E0,-8.643068075E-1,8.619125932E-2
1.813720350E-1,9.902418137E0,-8.930372596E-1,4.309562966E-2
