"t","x","y","z"
8.693626000E-3,1.042435455E1,-1.527500629E0,1.268926859E-1
1.076301100E-2,1.026633644E1,-1.441309452E0,2.633621991E-1
1.279828000E-2,1.015380955E1,-1.400607944E0,3.782838583E-1
1.479843400E-2,1.011310768E1,-1.391031146E0,4.285621047E-1
1.679912600E-2,1.001733971E1,-1.355118155E0,5.363011956E-1
1.886835700E-2,9.952696800E0,-1.328781962E0,5.913678408E-1
2.090412600E-2,9.943120003E0,-1.307234168E0,5.937620401E-1
2.297370300E-2,9.911994934E0,-1.307234168E0,6.224924326E-1
2.501201100E-2,9.859322548E0,-1.297657371E0,6.584054828E-1
2.708162600E-2,9.832986832E0,-1.285686255E0,6.679822803E-1
2.911697200E-2,9.809044838E0,-1.297657371E0,6.703764796E-1
3.118697200E-2,9.765948296E0,-1.295263171E0,6.607996821E-1
3.322251100E-2,9.722852707E0,-1.292868972E0,6.560112834E-1
3.529185700E-2,9.708487511E0,-1.280897856E0,6.536170840E-1
3.732681800E-2,9.684545517E0,-1.271321058E0,6.416460276E-1
3.939624200E-2,9.643844604E0,-1.271321058E0,6.416460276E-1
4.143112600E-2,9.636661530E0,-1.266532660E0,6.320692301E-1
4.350097200E-2,9.651026726E0,-1.247379065E0,6.153098345E-1
4.553639500E-2,9.631873131E0,-1.233013868E0,5.817909837E-1
4.760612600E-2,9.629479408E0,-1.211466074E0,5.722141862E-1
4.964174200E-2,9.605537415E0,-1.187524080E0,5.578489900E-1
5.171131800E-2,9.603142738E0,-1.165976286E0,5.410895944E-1
5.374666500E-2,9.567230225E0,-1.144428372E0,5.267243981E-1
5.581685700E-2,9.564835548E0,-1.130063176E0,5.099649429E-1
5.785228000E-2,9.557653427E0,-1.125274777E0,5.003881454E-1
5.992201100E-2,9.538499832E0,-1.110909581E0,4.812345505E-1
6.195735700E-2,9.543288231E0,-1.103726983E0,4.812345505E-1
6.402628000E-2,9.569623947E0,-1.098938584E0,4.596867263E-1
6.606124100E-2,9.624691010E0,-1.063025594E0,4.213795066E-1
6.813070300E-2,9.639056206E0,-1.053448796E0,4.070142806E-1
7.016558800E-2,9.655815125E0,-1.043871999E0,4.022258818E-1
7.223451100E-2,9.655815125E0,-1.051054597E0,3.926490843E-1
7.426943400E-2,9.646238327E0,-1.053448796E0,3.902548850E-1
7.633874100E-2,9.615114212E0,-1.063025594E0,4.070142806E-1
7.837389500E-2,9.610325813E0,-1.074996591E0,4.644751251E-1
8.044301100E-2,9.641449928E0,-1.089361787E0,4.692635238E-1
8.247808800E-2,9.660603523E0,-1.122880578E0,4.381389022E-1
8.454712600E-2,9.710882187E0,-1.139639974E0,3.854664862E-1
8.658174100E-2,9.756371498E0,-1.161187768E0,3.734954596E-1
8.865066400E-2,9.775525093E0,-1.170764685E0,3.782838583E-1
9.068516400E-2,9.777919769E0,-1.165976286E0,3.878606856E-1
9.275408800E-2,9.794678688E0,-1.175553083E0,4.213795066E-1
9.478908800E-2,9.801861763E0,-1.180341482E0,4.237737060E-1
9.685785700E-2,9.813833237E0,-1.194706678E0,4.070142806E-1
9.889239500E-2,9.823410034E0,-1.211466074E0,4.189853072E-1
1.009612800E-1,9.830592155E0,-1.216254473E0,4.237737060E-1
1.029958570E-1,9.861717224E0,-1.221042871E0,4.237737060E-1
1.050652030E-1,9.856928825E0,-1.213860273E0,4.429273009E-1
1.070999340E-1,9.852140427E0,-1.204283476E0,4.501099288E-1
1.091695490E-1,9.852140427E0,-1.216254473E0,4.548983276E-1
1.112051640E-1,9.823410034E0,-1.216254473E0,4.525041282E-1
1.132743950E-1,9.804255486E0,-1.213860273E0,4.572925270E-1
1.153094340E-1,9.806650162E0,-1.221042871E0,4.501099288E-1
1.173791260E-1,9.794678688E0,-1.218648672E0,4.285621047E-1
1.198677030E-1,9.765948296E0,-1.197100878E0,3.782838583E-1
1.214600490E-1,9.765948296E0,-1.185129881E0,3.567360640E-1
1.234607030E-1,9.758766174E0,-1.151610970E0,3.711012602E-1
1.255302410E-1,9.727641106E0,-1.146822572E0,3.926490843E-1
1.275655870E-1,9.701305389E0,-1.142034173E0,4.046200812E-1
1.296351260E-1,9.679757118E0,-1.139639974E0,4.357447028E-1
1.316701260E-1,9.674968719E0,-1.132457376E0,4.572925270E-1
1.337389340E-1,9.682151794E0,-1.127668977E0,4.572925270E-1
1.357739720E-1,9.679757118E0,-1.113303781E0,4.477157295E-1
1.378428180E-1,9.670180321E0,-1.074996591E0,4.548983276E-1
1.398780100E-1,9.672574997E0,-1.060631394E0,4.596867263E-1
1.419470100E-1,9.670180321E0,-1.053448796E0,4.453215301E-1
1.439816640E-1,9.667786598E0,-1.024718285E0,4.165911078E-1
1.460508570E-1,9.694122314E0,-1.012747288E0,3.830722570E-1
1.480859330E-1,9.701305389E0,-1.015141487E0,3.567360640E-1
1.501550870E-1,9.696516991E0,-1.015141487E0,3.256114423E-1
1.521906260E-1,9.686940193E0,-1.019929886E0,2.825157940E-1
1.542589330E-1,9.694122314E0,-1.024718285E0,2.609679997E-1
1.562939720E-1,9.708487511E0,-1.022324085E0,2.130839527E-1
1.583626260E-1,9.694122314E0,-1.034295082E0,1.915361285E-1
1.603977030E-1,9.684545517E0,-1.027112484E0,1.891419291E-1
1.624670100E-1,9.615114212E0,-1.005564690E0,2.130839527E-1
1.645021640E-1,9.572018623E0,-1.005564690E0,2.394201756E-1
