"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.496920300E-2,2.272418737E-1,1.557706445E-1,-2.687807009E-2
1.696962600E-2,2.321287990E-1,1.563815027E-1,-2.443460934E-2
1.903904900E-2,2.406809032E-1,1.539380401E-1,-2.076941915E-2
2.107489500E-2,2.449569702E-1,1.496619880E-1,-1.527163107E-2
2.314458800E-2,2.455678284E-1,1.478293836E-1,-1.527163107E-2
2.518262600E-2,2.486221492E-1,1.398881376E-1,-1.221730467E-2
2.725224200E-2,2.528982162E-1,1.313360333E-1,-8.552113548E-3
2.928731900E-2,2.516764700E-1,1.270599663E-1,-4.886921961E-3
3.135785700E-2,2.577851415E-1,1.185078546E-1,-6.719517522E-3
3.343566500E-2,2.559525371E-1,1.099557430E-1,-6.108652451E-4
3.546251100E-2,2.541199327E-1,1.056796908E-1,1.221730490E-3
3.749685700E-2,2.553416789E-1,9.651670605E-2,-1.832595794E-3
3.956662600E-2,2.535090744E-1,8.857546002E-2,2.443460980E-3
4.160143400E-2,2.528982162E-1,8.429940045E-2,4.276056774E-3
4.371820300E-2,2.510656118E-1,7.880161703E-2,-6.108652451E-4
4.570678000E-2,2.474004179E-1,6.902777404E-2,7.330383174E-3
4.777658800E-2,2.437352389E-1,6.291911751E-2,1.038470957E-2
4.981228000E-2,2.443460971E-1,5.986479297E-2,5.497787148E-3
5.188193400E-2,2.382374406E-1,5.314527452E-2,9.162978269E-3
5.395966500E-2,2.357939780E-1,4.886921868E-2,1.099557430E-2
5.598754900E-2,2.345722616E-1,4.276056588E-2,1.160643995E-2
5.802270300E-2,2.333505303E-1,3.726277873E-2,6.108652335E-3
6.009247200E-2,2.278527319E-1,2.932153270E-2,1.160643995E-2
6.212812600E-2,2.254092693E-1,2.626720630E-2,8.552113548E-3
6.419670300E-2,2.217440903E-1,1.588249579E-2,8.552113548E-3
6.623154900E-2,2.131919712E-1,7.330383174E-3,9.773843922E-3
6.830139500E-2,2.107485086E-1,2.443460980E-3,4.276056774E-3
7.033628000E-2,2.052507252E-1,-6.108652335E-3,2.443460980E-3
7.240512600E-2,2.028072625E-1,-1.282817032E-2,-2.443460980E-3
7.448262600E-2,1.960877478E-1,-1.710422710E-2,-4.276056774E-3
7.650928000E-2,1.942551434E-1,-2.015855350E-2,-1.221730490E-3
7.854435700E-2,1.966986060E-1,-2.260201424E-2,-4.886921961E-3
8.061328000E-2,1.985312104E-1,-2.443460934E-2,-7.330383174E-3
8.264928000E-2,2.003637999E-1,-2.382374369E-2,-6.108652335E-3
8.476389500E-2,1.985312104E-1,-2.565634064E-2,-1.099557430E-2
8.675185700E-2,1.991420686E-1,-2.809980139E-2,-1.588249579E-2
8.882097200E-2,2.028072625E-1,-2.809980139E-2,-1.954768784E-2
9.085504900E-2,2.009746730E-1,-2.871066704E-2,-2.260201424E-2
9.292443400E-2,2.089159191E-1,-2.809980139E-2,-2.932153270E-2
9.500208800E-2,2.113593817E-1,-2.748893574E-2,-2.809980139E-2
9.702847200E-2,2.131919712E-1,-2.748893574E-2,-3.604105115E-2
9.906243400E-2,2.211332172E-1,-2.015855350E-2,-3.970624134E-2
1.011315490E-1,2.296853364E-1,-1.404990070E-2,-4.337143153E-2
1.031668180E-1,2.333505303E-1,-1.588249579E-2,-4.703662544E-2
1.052356640E-1,2.394591719E-1,-1.099557430E-2,-5.009094998E-2
1.072700870E-1,2.449569702E-1,-5.497787148E-3,-5.558873713E-2
1.093400870E-1,2.516764700E-1,-4.276056774E-3,-5.681046844E-2
1.113756640E-1,2.553416789E-1,-2.443460980E-3,-5.742133409E-2
1.134597800E-1,2.614503205E-1,1.221730490E-3,-5.925392732E-2
1.155276260E-1,2.651155293E-1,2.443460980E-3,-6.352998316E-2
1.175495100E-1,2.693915665E-1,4.276056774E-3,-6.047565863E-2
1.200383950E-1,2.724458873E-1,6.719517522E-3,-5.925392732E-2
1.216303950E-1,2.718350291E-1,7.330383174E-3,-5.925392732E-2
1.236308180E-1,2.730567753E-1,9.773843922E-3,-6.047565863E-2
1.257471640E-1,2.755002379E-1,1.099557430E-2,-5.681046844E-2
1.277358950E-1,2.718350291E-1,1.221730467E-2,-5.314527452E-2
1.298057410E-1,2.712241709E-1,1.038470957E-2,-4.948008433E-2
1.318405490E-1,2.712241709E-1,6.108652335E-3,-4.825835302E-2
1.339094340E-1,2.718350291E-1,0.000000000E0,-4.459316283E-2
1.359918180E-1,2.706133127E-1,-6.108652451E-4,-4.398229718E-2
1.380132030E-1,2.706133127E-1,-6.108652335E-3,-4.276056588E-2
1.400486260E-1,2.693915665E-1,-1.404990070E-2,-3.909537569E-2
1.421175870E-1,2.669481039E-1,-1.954768784E-2,-3.481931984E-2
1.441521640E-1,2.620611787E-1,-2.993239649E-2,-3.726277873E-2
1.462219330E-1,2.590068579E-1,-3.848451003E-2,-3.359758854E-2
1.482560100E-1,2.571742535E-1,-4.398229718E-2,-3.543018550E-2
1.503257410E-1,2.516764700E-1,-5.497787148E-2,-3.237585723E-2
1.523608950E-1,2.449569702E-1,-6.414084882E-2,-3.115412779E-2
1.544295870E-1,2.419026345E-1,-6.780604273E-2,-3.054326214E-2
1.565124330E-1,2.364048511E-1,-7.574728876E-2,-2.748893574E-2
1.585332410E-1,2.302961946E-1,-7.941248268E-2,-2.932153270E-2
1.605679720E-1,2.272418737E-1,-8.246681094E-2,-2.504547499E-2
1.626377410E-1,2.247984111E-1,-8.368854225E-2,-1.954768784E-2
1.646722800E-1,2.278527319E-1,-8.124507964E-2,-1.527163107E-2
1.667878180E-1,2.278527319E-1,-7.757988572E-2,-1.710422710E-2
1.687770100E-1,2.278527319E-1,-7.574728876E-2,-1.832595654E-2
1.708457410E-1,2.290744632E-1,-7.208210230E-2,-1.832595654E-2
1.728811260E-1,2.284636050E-1,-6.414084882E-2,-2.871066704E-2
1.749496260E-1,2.284636050E-1,-5.864306539E-2,-3.054326214E-2
1.770319720E-1,2.266310006E-1,-4.886921868E-2,-3.543018550E-2
1.790537790E-1,2.217440903E-1,-3.543018550E-2,-4.520402849E-2
1.810887030E-1,2.186897546E-1,-2.626720630E-2,-4.948008433E-2
1.831580870E-1,2.131919712E-1,-7.330383174E-3,-5.925392732E-2
1.851930490E-1,2.070833147E-1,1.404990070E-2,-6.597344577E-2
1.872629330E-1,1.979203373E-1,3.543018550E-2,-7.330382615E-2
1.892972790E-1,1.942551434E-1,4.703662544E-2,-7.635815442E-2
1.913672030E-1,1.869247705E-1,6.475171447E-2,-8.246681094E-2
1.934019330E-1,1.789835095E-1,8.246681094E-2,-8.674286306E-2
1.954707790E-1,1.765400618E-1,8.979719132E-2,-8.857546002E-2
1.975533950E-1,1.667662114E-1,9.957103431E-2,-8.857546002E-2
1.995752410E-1,1.588249654E-1,1.087340117E-1,-8.735372871E-2
2.016103180E-1,1.551597714E-1,1.148426682E-1,-9.346238524E-2
2.036800100E-1,1.514945775E-1,1.197295859E-1,-9.224065393E-2
2.057145100E-1,1.429424733E-1,1.221730486E-1,-8.979719132E-2
2.078305100E-1,1.398881376E-1,1.233947799E-1,-9.407325089E-2
2.098212410E-1,1.307251602E-1,1.233947799E-1,-8.918632567E-2
2.118917020E-1,1.246165112E-1,1.215621829E-1,-8.857546002E-2
2.139273950E-1,1.178969890E-1,1.197295859E-1,-9.101892263E-2
2.159977790E-1,1.093448773E-1,1.160643995E-1,-8.857546002E-2
2.180803560E-1,9.834930301E-2,1.087340117E-1,-8.857546002E-2
