"t","x","y","z"
1.111619000E-2,9.562441826E0,3.567360640E-1,2.003946781E0
1.322057500E-2,9.552865028E0,3.974374831E-1,2.027888775E0
1.525588200E-2,9.543288231E0,4.309563041E-1,2.085349798E0
1.726415100E-2,9.540893555E0,4.309563041E-1,2.106897593E0
1.926484400E-2,9.531316757E0,4.094084799E-1,2.126051188E0
2.133384400E-2,9.569623947E0,3.830722570E-1,2.159569979E0
2.336930500E-2,9.588777542E0,3.663128614E-1,2.185906172E0
2.539349800E-2,9.619902611E0,3.375824392E-1,2.212242365E0
2.739319000E-2,9.615114212E0,3.160346150E-1,2.236184359E0
2.946242100E-2,9.603142738E0,3.088520169E-1,2.233790159E0
3.149792100E-2,9.624691010E0,2.896983922E-1,2.217030764E0
3.356811300E-2,9.631873131E0,3.040636182E-1,2.176329374E0
3.560376700E-2,9.617507935E0,2.992752194E-1,2.157175779E0
3.767399800E-2,9.574412346E0,3.160346150E-1,2.121262789E0
3.970942100E-2,9.564835548E0,3.064578176E-1,2.109291792E0
4.177953600E-2,9.588777542E0,2.896983922E-1,2.126051188E0
4.381484400E-2,9.619902611E0,2.513911724E-1,2.157175779E0
4.582434400E-2,9.636661530E0,2.059013397E-1,2.171540976E0
4.782534400E-2,9.655815125E0,1.915361285E-1,2.176329374E0
4.989503600E-2,9.643844604E0,1.628057212E-1,2.185906172E0
5.193057400E-2,9.612719536E0,1.771709323E-1,2.188300371E0
5.400042100E-2,9.612719536E0,1.795651317E-1,2.183511972E0
5.603619000E-2,9.588777542E0,1.699883193E-1,2.178723574E0
5.803688200E-2,9.600749016E0,1.604115069E-1,2.149993181E0
6.003757400E-2,9.600749016E0,1.460463107E-1,2.147598982E0
6.210772800E-2,9.598354340E0,1.484405100E-1,2.133233786E0
6.414342000E-2,9.610325813E0,1.292868853E-1,2.128445387E0
6.616769000E-2,9.593565941E0,1.316810995E-1,2.118868589E0
6.816811300E-2,9.586383820E0,1.364694983E-1,2.109291792E0
7.023730500E-2,9.574412346E0,1.388636976E-1,2.085349798E0
7.227192000E-2,9.576807022E0,1.460463107E-1,2.099714994E0
7.434076700E-2,9.574412346E0,1.484405100E-1,2.099714994E0
7.637599700E-2,9.574412346E0,1.675941199E-1,2.099714994E0
7.844545900E-2,9.579200745E0,1.795651317E-1,2.082955360E0
8.048034400E-2,9.576807022E0,1.771709323E-1,2.085349798E0
8.254953600E-2,9.564835548E0,1.819593310E-1,2.078166962E0
8.458476700E-2,9.569623947E0,1.651999205E-1,2.061407566E0
8.659307400E-2,9.583989143E0,1.604115069E-1,2.051830769E0
8.859319000E-2,9.591172218E0,1.604115069E-1,2.030282974E0
9.066272800E-2,9.583989143E0,1.699883193E-1,2.032677174E0
9.269807400E-2,9.583989143E0,1.795651317E-1,2.030282974E0
9.476780500E-2,9.588777542E0,1.987187415E-1,1.991975784E0
9.680288200E-2,9.586383820E0,2.226607651E-1,1.960851192E0
9.881207400E-2,9.593565941E0,2.178723514E-1,1.956062794E0
1.008131130E-1,9.598354340E0,2.346317619E-1,1.939303398E0
1.028832280E-1,9.622296333E0,2.489969730E-1,1.920149803E0
1.049186510E-1,9.641449928E0,2.489969730E-1,1.932120800E0
1.069422660E-1,9.667786598E0,2.442085743E-1,1.965639591E0
1.089427660E-1,9.660603523E0,2.561795712E-1,2.015917778E0
1.110114590E-1,9.660603523E0,2.681505978E-1,2.023100376E0
1.130466900E-1,9.667786598E0,2.633621991E-1,2.039859772E0
1.151155740E-1,9.648633003E0,2.561795712E-1,2.073378563E0
1.171508820E-1,9.651026726E0,2.561795712E-1,2.094926596E0
1.192205360E-1,9.643844604E0,2.681505978E-1,2.102109194E0
1.212552660E-1,9.643844604E0,2.705447972E-1,2.104503393E0
1.233251130E-1,9.634267807E0,2.849099934E-1,2.130839586E0
1.253605740E-1,9.631873131E0,2.777273953E-1,2.140416384E0
1.273703820E-1,9.629479408E0,2.825157940E-1,2.159569979E0
1.293708050E-1,9.603142738E0,2.992752194E-1,2.130839586E0
1.314406130E-1,9.569623947E0,2.968810201E-1,2.099714994E0
1.334766890E-1,9.533711433E0,2.968810201E-1,2.078166962E0
1.355021130E-1,9.562441826E0,2.944868207E-1,2.090138197E0
1.375024970E-1,9.564835548E0,2.968810201E-1,2.116474390E0
1.395123820E-1,9.588777542E0,2.753331959E-1,2.164358377E0
1.415129200E-1,9.665391922E0,2.346317619E-1,2.200271368E0
1.435826890E-1,9.682151794E0,2.178723514E-1,2.212242365E0
1.456179200E-1,9.665391922E0,1.915361285E-1,2.226607561E0
1.476423050E-1,9.648633003E0,1.723825186E-1,2.214636564E0
1.496428820E-1,9.636661530E0,1.747767180E-1,2.202665567E0
1.517126120E-1,9.619902611E0,1.819593310E-1,2.166752577E0
1.537483430E-1,9.624691010E0,2.011129409E-1,2.171540976E0
1.558173820E-1,9.627084732E0,2.035071403E-1,2.181117773E0
1.578524590E-1,9.672574997E0,1.867477298E-1,2.195482969E0
1.599215360E-1,9.698910713E0,1.723825186E-1,2.193088770E0
1.619565740E-1,9.698910713E0,1.580173075E-1,2.193088770E0
1.640259590E-1,9.667786598E0,1.675941199E-1,2.183511972E0
1.660611890E-1,9.627084732E0,1.675941199E-1,2.178723574E0
1.680704200E-1,9.579200745E0,1.747767180E-1,2.166752577E0
1.700704970E-1,9.586383820E0,1.675941199E-1,2.164358377E0
1.721396510E-1,9.603142738E0,1.843535304E-1,2.161964178E0
1.741744970E-1,9.612719536E0,1.891419291E-1,2.140416384E0
1.762430350E-1,9.605537415E0,1.843535304E-1,2.135627985E0
1.782779970E-1,9.607931137E0,1.604115069E-1,2.140416384E0
1.802871120E-1,9.610325813E0,1.604115069E-1,2.133233786E0
1.822866120E-1,9.610325813E0,1.580173075E-1,2.128445387E0
1.843556120E-1,9.624691010E0,1.508347094E-1,2.133233786E0
1.863908050E-1,9.634267807E0,1.364694983E-1,2.118868589E0
1.884145350E-1,9.624691010E0,1.364694983E-1,2.106897593E0
1.904141120E-1,9.610325813E0,1.268926859E-1,2.092532396E0
1.924830350E-1,9.588777542E0,1.436520964E-1,2.082955360E0
1.945183430E-1,9.583989143E0,1.580173075E-1,2.078166962E0
1.965870350E-1,9.576807022E0,1.532289088E-1,2.078166962E0
