"t","x","y","z"
1.128684400E-2,8.124507964E-2,1.038470957E-2,6.902777404E-2
1.339119000E-2,7.757988572E-2,8.552113548E-3,7.147123665E-2
1.542615100E-2,8.063421398E-2,6.719517522E-3,7.635815442E-2
1.743445900E-2,8.307767659E-2,6.719517522E-3,7.696902007E-2
1.943542100E-2,8.735372871E-2,7.330383174E-3,7.880161703E-2
2.150426700E-2,8.857546002E-2,8.552113548E-3,8.002334833E-2
2.353972800E-2,9.224065393E-2,9.162978269E-3,8.124507964E-2
2.556388200E-2,9.651670605E-2,9.162978269E-3,7.757988572E-2
2.756307400E-2,1.038470939E-1,7.941247895E-3,8.002334833E-2
2.967530500E-2,1.044579595E-1,9.773843922E-3,8.002334833E-2
3.166788200E-2,1.087340117E-1,9.162978269E-3,7.880161703E-2
3.373845900E-2,1.111774743E-1,9.162978269E-3,7.880161703E-2
3.577438200E-2,1.130100712E-1,8.552113548E-3,8.063421398E-2
3.784442100E-2,1.123992056E-1,9.773843922E-3,8.124507964E-2
3.987945900E-2,1.130100712E-1,1.160643995E-2,8.124507964E-2
4.194995900E-2,1.142318025E-1,1.221730467E-2,8.613199741E-2
4.403011300E-2,1.142318025E-1,1.282817032E-2,8.979719132E-2
4.599472800E-2,1.172861308E-1,1.588249579E-2,8.491026610E-2
4.799565100E-2,1.185078546E-1,1.466076635E-2,8.491026610E-2
5.010819000E-2,1.227839142E-1,1.954768784E-2,8.613199741E-2
5.210072800E-2,1.246165112E-1,1.954768784E-2,8.429940045E-2
5.417115100E-2,1.258382350E-1,2.015855350E-2,8.674286306E-2
5.620622800E-2,1.264491081E-1,1.893682219E-2,8.613199741E-2
5.820761300E-2,1.258382350E-1,2.015855350E-2,8.491026610E-2
6.020780500E-2,1.227839142E-1,2.015855350E-2,8.735372871E-2
6.227799700E-2,1.233947799E-1,1.832595654E-2,8.552113175E-2
6.431376700E-2,1.258382350E-1,1.771509275E-2,8.491026610E-2
6.633838200E-2,1.221730486E-1,1.527163107E-2,8.796459436E-2
6.833845900E-2,1.233947799E-1,1.893682219E-2,8.613199741E-2
7.045015100E-2,1.191187203E-1,1.527163107E-2,8.796459436E-2
7.244207400E-2,1.191187203E-1,1.649336144E-2,8.796459436E-2
7.451111300E-2,1.185078546E-1,1.282817032E-2,8.918632567E-2
7.654657400E-2,1.185078546E-1,1.221730467E-2,8.735372871E-2
7.861572800E-2,1.185078546E-1,1.221730467E-2,8.368854225E-2
8.065057400E-2,1.148426682E-1,1.099557430E-2,8.796459436E-2
8.272022800E-2,1.142318025E-1,9.773843922E-3,8.857546002E-2
8.480076700E-2,1.130100712E-1,1.160643995E-2,8.857546002E-2
8.676319000E-2,1.117883399E-1,1.038470957E-2,8.613199741E-2
8.876376700E-2,1.105666086E-1,9.162978269E-3,9.040805697E-2
9.087592000E-2,1.062905490E-1,1.099557430E-2,8.857546002E-2
9.286815100E-2,1.081231460E-1,1.466076635E-2,8.735372871E-2
9.493845900E-2,1.062905490E-1,1.466076635E-2,8.857546002E-2
9.697311300E-2,1.020144969E-1,2.015855350E-2,8.857546002E-2
9.898257400E-2,1.001819000E-1,2.565634064E-2,9.040805697E-2
1.009835360E-1,9.957103431E-2,2.504547499E-2,9.101892263E-2
1.030536510E-1,9.712757170E-2,3.420845419E-2,9.224065393E-2
1.050889590E-1,9.346238524E-2,3.848451003E-2,9.040805697E-2
1.071130360E-1,9.224065393E-2,4.153883830E-2,9.101892263E-2
1.091130360E-1,9.101892263E-2,4.581489414E-2,9.529497474E-2
1.112294970E-1,9.285151958E-2,4.948008433E-2,9.407325089E-2
1.132169970E-1,9.285151958E-2,5.131268129E-2,9.651670605E-2
1.152861510E-1,9.407325089E-2,5.253441259E-2,9.346238524E-2
1.173214200E-1,9.529497474E-2,5.009094998E-2,9.651670605E-2
1.193909590E-1,9.346238524E-2,5.253441259E-2,9.651670605E-2
1.214260360E-1,9.468411654E-2,4.764748737E-2,9.468411654E-2
1.234952660E-1,9.468411654E-2,4.703662544E-2,9.651670605E-2
1.255763050E-1,9.468411654E-2,4.520402849E-2,9.773843735E-2
1.275405360E-1,9.834930301E-2,4.214970022E-2,9.957103431E-2
1.295418050E-1,9.896016866E-2,3.420845419E-2,9.773843735E-2
1.316734200E-1,9.651670605E-2,3.115412779E-2,9.957103431E-2
1.336475360E-1,9.285151958E-2,2.748893574E-2,9.957103431E-2
1.356723050E-1,9.162978828E-2,2.260201424E-2,1.038470939E-1
1.376732660E-1,9.346238524E-2,2.076941915E-2,1.014036313E-1
1.396829970E-1,9.162978828E-2,1.954768784E-2,1.020144969E-1
1.416839970E-1,9.590584040E-2,1.649336144E-2,9.773843735E-2
1.437533820E-1,9.651670605E-2,1.404990070E-2,9.773843735E-2
1.457881510E-1,9.957103431E-2,1.343903504E-2,9.285151958E-2
1.478128820E-1,1.032362282E-1,1.343903504E-2,9.101892263E-2
1.498133430E-1,1.014036313E-1,9.162978269E-3,9.162978828E-2
1.519304970E-1,1.014036313E-1,1.343903504E-2,9.101892263E-2
1.539186890E-1,1.014036313E-1,1.466076635E-2,9.162978828E-2
1.559879200E-1,1.020144969E-1,1.160643995E-2,9.040805697E-2
1.580228050E-1,1.038470939E-1,1.221730467E-2,8.857546002E-2
1.600920360E-1,1.020144969E-1,1.099557430E-2,8.735372871E-2
1.621268430E-1,1.038470939E-1,1.099557430E-2,8.552113175E-2
1.641967660E-1,1.038470939E-1,1.038470957E-2,8.368854225E-2
1.662769200E-1,1.020144969E-1,1.160643995E-2,8.368854225E-2
1.682408430E-1,1.001819000E-1,1.099557430E-2,8.674286306E-2
1.702406890E-1,1.020144969E-1,1.038470957E-2,8.613199741E-2
1.723573050E-1,1.001819000E-1,1.343903504E-2,8.552113175E-2
1.743446890E-1,9.773843735E-2,9.162978269E-3,8.857546002E-2
1.764134590E-1,9.957103431E-2,1.221730467E-2,8.735372871E-2
1.784484970E-1,9.529497474E-2,1.038470957E-2,8.613199741E-2
1.804573430E-1,9.529497474E-2,7.330383174E-3,8.491026610E-2
1.824569580E-1,9.224065393E-2,9.162978269E-3,8.491026610E-2
1.845259970E-1,8.979719132E-2,9.162978269E-3,8.491026610E-2
1.865609970E-1,8.796459436E-2,8.552113548E-3,8.307767659E-2
1.885848430E-1,8.857546002E-2,7.330383174E-3,8.185594529E-2
1.905843050E-1,8.307767659E-2,6.719517522E-3,8.429940045E-2
1.927011890E-1,8.307767659E-2,7.330383174E-3,8.246681094E-2
1.946883820E-1,8.307767659E-2,7.941247895E-3,7.941248268E-2
1.967573050E-1,7.819075137E-2,6.719517522E-3,8.124507964E-2
1.987931120E-1,7.513642311E-2,7.330383174E-3,8.002334833E-2
2.008621120E-1,7.757988572E-2,7.330383174E-3,8.002334833E-2
2.028975350E-1,7.391469181E-2,1.832595794E-3,8.002334833E-2
2.049662280E-1,7.024950534E-2,1.832595794E-3,7.635815442E-2
2.070458430E-1,6.902777404E-2,-1.832595794E-3,7.941248268E-2
2.090106120E-1,6.658431143E-2,-1.221730490E-3,7.513642311E-2
2.110099970E-1,6.597344577E-2,-3.665191587E-3,7.574728876E-2
2.131268810E-1,6.230825558E-2,-7.941247895E-3,7.452555746E-2
2.151138430E-1,6.108652428E-2,-7.941247895E-3,7.635815442E-2
2.171833430E-1,6.047565863E-2,-1.160643995E-2,7.147123665E-2
2.192186120E-1,5.681046844E-2,-1.221730467E-2,6.902777404E-2
2.212188430E-1,5.436700583E-2,-1.221730467E-2,6.841690838E-2
2.232186510E-1,5.375614017E-2,-1.282817032E-2,6.719517708E-2
2.252877660E-1,4.886921868E-2,-1.404990070E-2,6.475171447E-2
2.273218810E-1,4.825835302E-2,-1.282817032E-2,6.414084882E-2
2.293452280E-1,4.825835302E-2,-1.099557430E-2,6.169738993E-2
2.313456120E-1,4.337143153E-2,-1.466076635E-2,6.169738993E-2
2.334618810E-1,4.337143153E-2,-1.282817032E-2,5.864306539E-2
2.354496120E-1,3.726277873E-2,-1.527163107E-2,5.986479297E-2
2.375184580E-1,3.420845419E-2,-1.649336144E-2,5.864306539E-2
2.395541120E-1,3.604105115E-2,-1.954768784E-2,5.681046844E-2
2.416232660E-1,3.054326214E-2,-2.199114859E-2,5.864306539E-2
2.436596120E-1,2.748893574E-2,-2.382374369E-2,5.742133409E-2
2.457298040E-1,2.382374369E-2,-2.809980139E-2,5.864306539E-2
2.478102270E-1,2.321287990E-2,-2.871066704E-2,5.742133409E-2
2.497736510E-1,2.015855350E-2,-3.359758854E-2,5.742133409E-2
2.517741890E-1,2.015855350E-2,-3.237585723E-2,5.558873713E-2
2.538917270E-1,1.954768784E-2,-3.298672289E-2,5.192354694E-2
2.558802270E-1,1.893682219E-2,-3.237585723E-2,4.948008433E-2
2.579499580E-1,2.076941915E-2,-3.176499158E-2,4.459316283E-2
2.599850740E-1,2.138028294E-2,-3.054326214E-2,4.703662544E-2
2.619944580E-1,1.893682219E-2,-2.871066704E-2,3.848451003E-2
2.639943430E-1,2.076941915E-2,-2.809980139E-2,3.787364438E-2
2.660640740E-1,1.893682219E-2,-3.054326214E-2,3.176499158E-2
2.680991120E-1,2.015855350E-2,-2.993239649E-2,2.809980139E-2
2.701232660E-1,1.832595654E-2,-3.115412779E-2,2.748893574E-2
2.721237660E-1,1.588249579E-2,-3.298672289E-2,2.809980139E-2
2.742401500E-1,1.221730467E-2,-4.092797264E-2,2.687807009E-2
2.762288810E-1,1.099557430E-2,-4.764748737E-2,2.382374369E-2
2.782971120E-1,4.276056774E-3,-5.253441259E-2,3.115412779E-2
2.803318040E-1,6.108652451E-4,-6.047565863E-2,3.481931984E-2
2.824013040E-1,-4.276056774E-3,-6.536258012E-2,3.848451003E-2
2.844362660E-1,-5.497787148E-3,-6.963863969E-2,3.909537569E-2
2.865056120E-1,-1.099557430E-2,-7.513642311E-2,4.337143153E-2
2.885851890E-1,-1.404990070E-2,-7.696902007E-2,4.581489414E-2
2.905495350E-1,-1.527163107E-2,-7.819075137E-2,4.703662544E-2
2.925498810E-1,-1.710422710E-2,-7.819075137E-2,4.581489414E-2
2.946664580E-1,-1.588249579E-2,-7.757988572E-2,5.009094998E-2
2.966539970E-1,-1.893682219E-2,-7.757988572E-2,5.497787148E-2
2.987237270E-1,-1.954768784E-2,-7.452555746E-2,5.742133409E-2
3.007583430E-1,-1.893682219E-2,-7.635815442E-2,6.108652428E-2
3.027661120E-1,-2.138028294E-2,-7.819075137E-2,6.536258012E-2
3.047664960E-1,-2.138028294E-2,-8.063421398E-2,6.352998316E-2
3.068363810E-1,-2.626720630E-2,-8.246681094E-2,6.230825558E-2
3.088711120E-1,-2.993239649E-2,-8.552113175E-2,5.864306539E-2
3.108954200E-1,-3.237585723E-2,-8.857546002E-2,5.925392732E-2
3.128951500E-1,-3.543018550E-2,-8.674286306E-2,4.886921868E-2
3.150118040E-1,-4.031710699E-2,-8.613199741E-2,4.520402849E-2
3.169997660E-1,-3.848451003E-2,-8.429940045E-2,3.481931984E-2
3.190691890E-1,-4.398229718E-2,-8.124507964E-2,2.748893574E-2
3.211036500E-1,-4.886921868E-2,-8.002334833E-2,2.443460934E-2
3.231729960E-1,-4.825835302E-2,-7.819075137E-2,1.954768784E-2
3.252080350E-1,-5.131268129E-2,-7.269296050E-2,1.649336144E-2
3.272781890E-1,-5.497787148E-2,-7.269296050E-2,2.382374369E-2
3.293577270E-1,-6.291911751E-2,-7.574728876E-2,2.321287990E-2
3.313219580E-1,-6.780604273E-2,-7.757988572E-2,3.237585723E-2
3.333226120E-1,-7.024950534E-2,-7.819075137E-2,3.237585723E-2
3.354387660E-1,-7.024950534E-2,-7.696902007E-2,3.115412779E-2
3.374264190E-1,-7.208210230E-2,-7.941248268E-2,2.932153270E-2
3.394958040E-1,-7.941248268E-2,-8.246681094E-2,3.665191308E-2
3.415303430E-1,-7.819075137E-2,-8.124507964E-2,3.481931984E-2
3.435396120E-1,-8.246681094E-2,-8.429940045E-2,3.359758854E-2
3.455398810E-1,-8.246681094E-2,-8.674286306E-2,3.420845419E-2
3.476095350E-1,-8.491026610E-2,-8.613199741E-2,3.359758854E-2
3.496446500E-1,-8.368854225E-2,-8.735372871E-2,2.626720630E-2
3.516683040E-1,-8.674286306E-2,-9.224065393E-2,2.443460934E-2
3.536689580E-1,-8.796459436E-2,-9.468411654E-2,2.199114859E-2
3.557856890E-1,-9.162978828E-2,-9.651670605E-2,1.710422710E-2
3.577728420E-1,-9.224065393E-2,-9.834930301E-2,1.588249579E-2
3.598420730E-1,-9.590584040E-2,-9.712757170E-2,1.588249579E-2
3.618772270E-1,-9.651670605E-2,-9.773843735E-2,1.832595654E-2
3.639461500E-1,-9.834930301E-2,-9.407325089E-2,2.260201424E-2
3.659805350E-1,-9.590584040E-2,-9.529497474E-2,1.893682219E-2
3.680498040E-1,-9.529497474E-2,-9.529497474E-2,1.893682219E-2
3.701294190E-1,-9.468411654E-2,-9.773843735E-2,2.382374369E-2
3.720933040E-1,-9.407325089E-2,-9.712757170E-2,2.199114859E-2
3.740936120E-1,-9.162978828E-2,-9.346238524E-2,2.199114859E-2
3.762101500E-1,-9.162978828E-2,-9.285151958E-2,2.748893574E-2
3.781973420E-1,-9.162978828E-2,-9.101892263E-2,2.443460934E-2
3.802219960E-1,-8.674286306E-2,-8.918632567E-2,2.687807009E-2
3.822221120E-1,-8.552113175E-2,-8.979719132E-2,2.871066704E-2
3.842557270E-1,-8.307767659E-2,-8.735372871E-2,2.199114859E-2
3.862555730E-1,-8.063421398E-2,-9.040805697E-2,2.076941915E-2
3.883253420E-1,-7.819075137E-2,-8.918632567E-2,2.138028294E-2
3.903600350E-1,-7.757988572E-2,-8.857546002E-2,2.015855350E-2
3.923832650E-1,-8.063421398E-2,-8.857546002E-2,2.076941915E-2
3.943837270E-1,-7.574728876E-2,-8.735372871E-2,1.832595654E-2
3.965001880E-1,-7.635815442E-2,-8.796459436E-2,1.771509275E-2
3.984876500E-1,-7.574728876E-2,-9.101892263E-2,1.832595654E-2
4.005566500E-1,-7.757988572E-2,-9.224065393E-2,2.260201424E-2
4.025913810E-1,-7.819075137E-2,-9.346238524E-2,1.832595654E-2
4.046603420E-1,-7.696902007E-2,-9.285151958E-2,1.954768784E-2
4.066957650E-1,-7.513642311E-2,-9.285151958E-2,2.260201424E-2
4.087654960E-1,-7.574728876E-2,-9.407325089E-2,2.321287990E-2
4.108456500E-1,-7.269296050E-2,-9.285151958E-2,2.504547499E-2
4.128081500E-1,-7.208210230E-2,-9.468411654E-2,2.504547499E-2
4.148093040E-1,-7.086037099E-2,-9.651670605E-2,2.076941915E-2
