"t","x","y","z"
8.319136000E-3,-9.267954826E0,-1.604115069E-1,1.321599364E0
9.608885000E-3,-9.363722801E0,-2.298433632E-1,1.757344007E0
1.271386600E-2,-9.430760384E0,-2.657563984E-1,2.073378563E0
1.385534600E-2,-9.466673851E0,-2.968810201E-1,2.288856745E0
1.652259700E-2,-9.481039047E0,-3.016694188E-1,2.360682964E0
1.791842300E-2,-9.481039047E0,-3.088520169E-1,2.439691544E0
2.062536600E-2,-9.471462250E0,-2.968810201E-1,2.456450939E0
2.198692300E-2,-9.457097054E0,-2.920926213E-1,2.446874142E0
2.451126900E-2,-9.402029991E0,-2.849099934E-1,2.396595955E0
2.620726900E-2,-9.414001465E0,-2.896983922E-1,2.348711967E0
2.867573100E-2,-9.409213066E0,-2.873041928E-1,2.322375536E0
3.028061500E-2,-9.406818390E0,-2.896983922E-1,2.267308950E0
3.277500000E-2,-9.416395187E0,-2.968810201E-1,2.207453966E0
3.428765400E-2,-9.423578262E0,-3.040636182E-1,2.173935175E0
3.678423100E-2,-9.471462250E0,-3.160346150E-1,2.123656988E0
3.840300000E-2,-9.507374763E0,-3.280056417E-1,2.051830769E0
4.114255900E-2,-9.519346237E0,-3.232172430E-1,1.910573006E0
4.253480800E-2,-9.524134636E0,-3.112462163E-1,1.833958507E0
4.524852000E-2,-9.488221169E0,-3.112462163E-1,1.726219416E0
4.664688400E-2,-9.471462250E0,-3.208230138E-1,1.661576033E0
4.935136600E-2,-9.473855972E0,-3.088520169E-1,1.635239720E0
5.080003800E-2,-9.481039047E0,-3.064578176E-1,1.551442742E0
5.345467400E-2,-9.476250648E0,-3.184288144E-1,1.410184860E0
5.481546100E-2,-9.485827446E0,-3.208230138E-1,1.338358760E0
5.755805800E-2,-9.488221169E0,-3.280056417E-1,1.221042871E0
5.892530800E-2,-9.466673851E0,-3.303998411E-1,1.216254473E0
6.166159700E-2,-9.461885452E0,-3.495534360E-1,1.264138460E0
6.312123100E-2,-9.449913979E0,-3.854664862E-1,1.345541358E0
6.578248100E-2,-9.473855972E0,-4.213795066E-1,1.343147159E0
6.713353800E-2,-9.497797966E0,-4.213795066E-1,1.247379065E0
6.988602000E-2,-9.507374763E0,-3.734954596E-1,1.182735682E0
7.132100000E-2,-9.490615845E0,-3.639186621E-1,1.137245774E0
7.398848100E-2,-9.483432770E0,-3.591302633E-1,1.113303781E0
7.536246100E-2,-9.481039047E0,-3.687070608E-1,1.108515382E0
7.809082800E-2,-9.478644371E0,-3.639186621E-1,1.079784989E0
7.947200000E-2,-9.464279175E0,-3.711012602E-1,1.029506683E0
8.219263500E-2,-9.452308655E0,-3.782838583E-1,1.029506683E0
