"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.288409700E-2,-1.258382350E-1,2.321287990E-1,7.941247895E-3
1.389300000E-2,-1.178969890E-1,2.455678284E-1,1.466076635E-2
1.669267400E-2,-1.105666086E-1,2.516764700E-1,1.832595654E-2
1.792676900E-2,-9.407325089E-2,2.700024247E-1,1.160643995E-2
2.083328900E-2,-8.307767659E-2,2.834414840E-1,2.382374369E-2
2.200846100E-2,-7.513642311E-2,2.913827300E-1,2.321287990E-2
2.454615400E-2,-5.803219974E-2,3.115412891E-1,1.588249579E-2
2.622973100E-2,-5.070181563E-2,3.280346394E-1,2.626720630E-2
2.870111500E-2,-4.398229718E-2,3.414736688E-1,2.076941915E-2
3.030592300E-2,-3.787364438E-2,3.524692357E-1,2.321287990E-2
3.280361500E-2,-3.115412779E-2,3.683517575E-1,2.871066704E-2
3.430953800E-2,-2.504547499E-2,3.836233616E-1,2.687807009E-2
3.680976900E-2,-2.382374369E-2,3.927863538E-1,2.076941915E-2
3.843365400E-2,-1.832595654E-2,4.098905921E-1,3.298672289E-2
4.131282800E-2,-1.832595654E-2,4.257730842E-1,2.932153270E-2
4.255650000E-2,-1.893682219E-2,4.318817258E-1,2.626720630E-2
4.536557700E-2,-2.199114859E-2,4.508185387E-1,2.871066704E-2
4.666650000E-2,-2.748893574E-2,4.624249935E-1,2.871066704E-2
4.952186600E-2,-2.871066704E-2,4.703662395E-1,2.260201424E-2
5.082484600E-2,-3.726277873E-2,4.819726646E-1,2.748893574E-2
5.362490500E-2,-4.337143153E-2,4.966334403E-1,2.076941915E-2
5.483834600E-2,-4.948008433E-2,5.076290369E-1,1.649336144E-2
5.772844300E-2,-5.925392732E-2,5.308418870E-1,1.954768784E-2
5.895826900E-2,-6.963863969E-2,5.540547967E-1,1.282817032E-2
6.187028900E-2,-7.391469181E-2,5.681046844E-1,6.719517522E-3
6.314600000E-2,-7.574728876E-2,5.742133260E-1,7.330383174E-3
6.595309700E-2,-8.124507964E-2,5.833762884E-1,6.108652451E-4
6.715196100E-2,-8.796459436E-2,5.907067060E-1,-3.665191587E-3
7.005617400E-2,-8.918632567E-2,5.974262357E-1,-2.443460980E-3
7.134315400E-2,-9.651670605E-2,6.084218025E-1,-1.038470957E-2
7.415886600E-2,-1.044579595E-1,6.200281978E-1,-1.160643995E-2
7.539446100E-2,-1.056796908E-1,6.279694438E-1,-1.343903504E-2
7.826109700E-2,-1.123992056E-1,6.426302195E-1,-1.771509275E-2
7.950776900E-2,-1.185078546E-1,6.591235995E-1,-2.138028294E-2
8.236305800E-2,-1.227839142E-1,6.707300544E-1,-2.382374369E-2
8.379334600E-2,-1.282816976E-1,6.872233748E-1,-2.687807009E-2
8.641223100E-2,-1.398881376E-1,7.110471725E-1,-3.420845419E-2
8.776184600E-2,-1.514945775E-1,7.409795523E-1,-4.031710699E-2
9.022742300E-2,-1.502728462E-1,7.556403279E-1,-4.398229718E-2
9.195826900E-2,-1.637118906E-1,7.898487449E-1,-5.009094998E-2
9.443326900E-2,-1.716531366E-1,8.179485798E-1,-5.681046844E-2
9.592200000E-2,-1.771509200E-1,8.295549750E-1,-6.169738993E-2
9.849261500E-2,-1.905899495E-1,8.503243923E-1,-6.536258012E-2
1.000539230E-1,-1.991420686E-1,8.784242272E-1,-7.574728876E-2
1.029167890E-1,-2.064724565E-1,8.930850029E-1,-7.819075137E-2
1.042887690E-1,-2.211332172E-1,9.236282706E-1,-8.613199741E-2
1.067430000E-1,-2.339613885E-1,9.596692920E-1,-9.590584040E-2
1.082517310E-1,-2.437352389E-1,9.798278809E-1,-9.712757170E-2
1.108038080E-1,-2.541199327E-1,1.010982037E0,-1.111774743E-1
1.124316920E-1,-2.632829249E-1,1.036638379E0,-1.252273768E-1
1.149362690E-1,-2.761110961E-1,1.058018565E0,-1.386664063E-1
1.164394230E-1,-2.791654170E-1,1.068403363E0,-1.447750628E-1
1.189685770E-1,-2.871066630E-1,1.094059706E0,-1.606575549E-1
1.205791150E-1,-2.895501256E-1,1.106276989E0,-1.710422635E-1
1.233985200E-1,-2.901609838E-1,1.111163855E0,-1.783726513E-1
1.247256540E-1,-2.901609838E-1,1.115439892E0,-1.899790913E-1
1.275126350E-1,-2.901609838E-1,1.124602914E0,-1.954768747E-1
1.287759610E-1,-2.901609838E-1,1.132544160E0,-1.979203373E-1
1.316138270E-1,-2.816088796E-1,1.166752577E0,-2.009746730E-1
1.329776150E-1,-2.791654170E-1,1.220508814E0,-1.942551434E-1
1.357160970E-1,-2.773328125E-1,1.249830246E0,-1.924225539E-1
1.369765000E-1,-2.712241709E-1,1.291980028E0,-1.857030392E-1
1.398185200E-1,-2.626720667E-1,1.324966669E0,-1.789835095E-1
1.410751150E-1,-2.565633953E-1,1.328631878E0,-1.753183305E-1
1.439585200E-1,-2.553416789E-1,1.324355841E0,-1.722639948E-1
1.453505000E-1,-2.461786866E-1,1.291980028E0,-1.728748679E-1
1.480496350E-1,-2.351831198E-1,1.229671717E0,-1.722639948E-1
1.493230380E-1,-2.266310006E-1,1.191187263E0,-1.734857261E-1
1.521510970E-1,-2.101376504E-1,1.108109593E0,-1.710422635E-1
1.535041540E-1,-1.905899495E-1,1.014036298E0,-1.679879427E-1
1.562534810E-1,-1.789835095E-1,9.627236128E-1,-1.679879427E-1
1.575175380E-1,-1.588249654E-1,8.643743396E-1,-1.655444801E-1
1.603552890E-1,-1.380555481E-1,7.935139537E-1,-1.576032341E-1
1.616159610E-1,-1.276708394E-1,7.733554244E-1,-1.539380401E-1
1.644590580E-1,-1.117883399E-1,7.415903807E-1,-1.398881376E-1
1.657863840E-1,-1.014036313E-1,7.709119320E-1,-1.191187203E-1
1.685441150E-1,-1.007927656E-1,8.747590184E-1,-9.651670605E-2
1.698460000E-1,-9.651670605E-2,9.425650835E-1,-8.491026610E-2
1.722964230E-1,-1.020144969E-1,1.110553026E0,-6.169738993E-2
1.739685000E-1,-1.160643995E-1,1.274875760E0,-5.131268129E-2
1.765121920E-1,-1.270599663E-1,1.345736146E0,-5.070181563E-2
1.780251150E-1,-1.441642046E-1,1.468520045E0,-5.131268129E-2
