"t","x","y","z"
1.236480700E-2,-9.337387085E0,-2.011129409E-1,-1.074996591E0
1.495261500E-2,-9.311050415E0,-2.394201756E-1,-8.379706144E-1
1.657607700E-2,-9.232041359E0,-2.370259613E-1,-6.129156351E-1
1.922743300E-2,-9.200917244E0,-2.585737705E-1,-4.788403511E-1
2.071903800E-2,-9.085995674E0,-3.232172430E-1,-2.226607651E-1
2.332939400E-2,-8.951920509E0,-3.830722570E-1,0.000000000E0
2.524011500E-2,-8.789113998E0,-4.141969085E-1,1.532289088E-1
2.724550000E-2,-8.695740700E0,-4.716577232E-1,2.130839527E-1
2.879811500E-2,-8.477868080E0,-5.506663918E-1,3.136404157E-1
3.132073000E-2,-8.276755333E0,-6.057330370E-1,3.902548850E-1
3.281950000E-2,-8.195352554E0,-6.296750307E-1,4.213795066E-1
3.540553800E-2,-8.054094315E0,-6.296750307E-1,5.219359994E-1
3.692965400E-2,-7.970297337E0,-6.081272364E-1,6.560112834E-1
3.949565400E-2,-7.982268333E0,-5.937620401E-1,7.062895298E-1
4.105296100E-2,-8.051700592E0,-5.626373887E-1,8.020575643E-1
4.363250000E-2,-8.180987358E0,-5.674257874E-1,9.552865028E-1
4.547276900E-2,-8.264783859E0,-5.698199868E-1,9.528923035E-1
4.765007700E-2,-8.477868080E0,-5.363011956E-1,8.068459630E-1
4.913057700E-2,-8.623914719E0,-5.051765442E-1,4.884171486E-1
5.185385600E-2,-8.626308441E0,-5.027823448E-1,1.101332754E-1
5.322965400E-2,-8.547300339E0,-5.985504389E-1,-9.696516991E-1
5.595666300E-2,-8.532935143E0,-8.188169599E-1,-1.616086125E0
5.733046100E-2,-8.597578049E0,-9.241618514E-1,-1.740584612E0
6.005977900E-2,-8.722076416E0,-1.067813993E0,-1.783680320E0
6.150557700E-2,-8.803479195E0,-1.070208192E0,-1.556231141E0
6.416320200E-2,-8.887276649E0,-1.077390790E0,-1.388636947E0
6.596473000E-2,-8.944737434E0,-1.027112484E0,-1.010353088E0
6.820158600E-2,-9.011775017E0,-9.361328483E-1,-7.805097699E-1
6.959796100E-2,-8.997409821E0,-8.738836050E-1,-7.015010715E-1
7.227027900E-2,-8.904036522E0,-7.206547260E-1,-6.847416759E-1
7.367823000E-2,-8.741230011E0,-5.770025849E-1,-6.272808313E-1
7.637347100E-2,-8.621520042E0,-4.309563041E-1,-3.399766386E-1
7.775946100E-2,-8.564059258E0,-3.806780577E-1,-2.035071403E-1
8.047600900E-2,-8.477868080E0,-2.466027737E-1,-4.788403213E-2
8.191484600E-2,-8.339004517E0,-1.675941199E-1,-1.197100803E-2
8.457897100E-2,-8.250418663E0,-1.532289088E-1,-5.027823523E-2
8.643838400E-2,-8.157045364E0,-1.580173075E-1,-4.309562966E-2
8.862281700E-2,-8.075642586E0,-2.154781520E-1,2.394201607E-2
9.000669200E-2,-8.051700592E0,-2.561795712E-1,5.027823523E-2
9.269085600E-2,-8.020575523E0,-3.567360640E-1,2.873042040E-2
9.411953800E-2,-8.051700592E0,-4.453215301E-1,9.576806799E-3
9.670780700E-2,-8.176198959E0,-4.860229492E-1,1.556231081E-1
9.822300000E-2,-8.619126320E0,-5.219359994E-1,5.722141862E-1
1.008062300E-1,-9.093177795E0,-4.955997467E-1,9.552865028E-1
1.023499610E-1,-9.363722801E0,-4.620809257E-1,1.118092179E0
1.048295770E-1,-9.979032516E0,-4.189853072E-1,1.352723956E0
1.068105770E-1,-1.057997704E1,-3.591302633E-1,1.429338455E0
1.089687300E-1,-1.112106705E1,-3.184288144E-1,1.340752959E0
1.104544230E-1,-1.134851646E1,-2.729389966E-1,1.233013868E0
1.130537300E-1,-1.176989555E1,-2.681505978E-1,9.241618514E-1
1.145523460E-1,-1.210029507E1,-2.801215947E-1,6.057330370E-1
1.172334320E-1,-1.223676491E1,-2.896983922E-1,4.357447028E-1
1.186583070E-1,-1.246181965E1,-3.280056417E-1,1.244984865E-1
1.213101150E-1,-1.267969227E1,-3.423708379E-1,-7.900865376E-2
1.228668070E-1,-1.278024864E1,-3.495534360E-1,-1.867477298E-1
1.252491540E-1,-1.293826580E1,-3.351882398E-1,-3.687070608E-1
1.272693070E-1,-1.308191776E1,-3.064578176E-1,-5.075707436E-1
1.294001150E-1,-1.318247414E1,-2.825157940E-1,-5.698199868E-1
1.308730770E-1,-1.336922264E1,-2.250549644E-1,-6.895300746E-1
1.335415480E-1,-1.342907715E1,-1.939303428E-1,-8.116343617E-1
1.349654610E-1,-1.347696114E1,-1.580173075E-1,-8.547300100E-1
1.376437780E-1,-1.352005672E1,-6.703764945E-2,-9.097966552E-1
1.390804230E-1,-1.357751751E1,1.915361360E-2,-9.720458984E-1
1.417464710E-1,-1.359427738E1,5.267243832E-2,-1.015141487E0
1.432143070E-1,-1.356554699E1,1.149216816E-1,-1.077390790E0
1.458490860E-1,-1.343626022E1,1.651999205E-1,-1.115697980E0
1.476662300E-1,-1.324951267E1,1.867477298E-1,-1.175553083E0
1.499158940E-1,-1.312980175E1,1.963245422E-1,-1.230619669E0
1.513289230E-1,-1.284489250E1,1.963245422E-1,-1.386242747E0
1.539836250E-1,-1.249533844E1,1.173158810E-1,-1.558625340E0
1.554164610E-1,-1.230859089E1,7.422025502E-2,-1.659181833E0
1.580855480E-1,-1.197819138E1,-9.576806799E-3,-1.877054095E0
1.595656920E-1,-1.170046329E1,-8.858546615E-2,-2.054224968E0
1.621874710E-1,-1.158314800E1,-1.244984865E-1,-2.128445387E0
1.636553840E-1,-1.138203526E1,-1.795651317E-1,-2.233790159E0
1.662903170E-1,-1.119768143E1,-2.274491638E-1,-2.288856745E0
1.682938460E-1,-1.111627865E1,-2.681505978E-1,-2.308010340E0
1.703264710E-1,-1.096544361E1,-3.160346150E-1,-2.298433542E0
1.719413070E-1,-1.080024433E1,-3.639186621E-1,-2.272097349E0
1.743945860E-1,-1.071165848E1,-3.830722570E-1,-2.245761156E0
1.760534610E-1,-1.054885292E1,-4.022258818E-1,-2.195482969E0
1.784124230E-1,-1.039083576E1,-4.022258818E-1,-2.145204782E0
1.801396530E-1,-1.030703831E1,-3.974374831E-1,-2.126051188E0
1.825049230E-1,-1.015141487E1,-3.878606856E-1,-2.080561161E0
1.843429230E-1,-1.000058079E1,-3.519476354E-1,-2.030282974E0
1.867015090E-1,-9.821015358E0,-3.327940404E-1,-1.965639591E0
1.887349710E-1,-9.730035782E0,-3.016694188E-1,-1.932120800E0
1.907402400E-1,-9.536105156E0,-2.609679997E-1,-1.857900500E0
1.923612300E-1,-9.442731857E0,-2.394201756E-1,-1.819593310E0
1.948082010E-1,-9.232041359E0,-2.250549644E-1,-1.735796213E0
1.962996150E-1,-9.050082207E0,-1.891419291E-1,-1.656787634E0
1.989104710E-1,-8.856152534E0,-1.436520964E-1,-1.541865945E0
2.005703840E-1,-8.757989883E0,-1.173158810E-1,-1.491587639E0
2.030124320E-1,-8.592789650E0,-8.379705995E-2,-1.391031146E0
2.047388070E-1,-8.494627953E0,-4.070143029E-2,-1.312022567E0
2.069404610E-1,-8.461109161E0,-2.873042040E-2,-1.283292055E0
2.088991150E-1,-8.379706383E0,4.788403399E-3,-1.233013868E0
2.111565860E-1,-8.367734909E0,9.576806799E-3,-1.173158884E0
2.125618840E-1,-8.360552788E0,1.675941236E-2,-1.151610970E0
2.152231630E-1,-8.374917984E0,2.154781483E-2,-1.110909581E0
2.166508070E-1,-8.422801971E0,4.070143029E-2,-1.070208192E0
2.193245860E-1,-8.453926086E0,4.070143029E-2,-1.063025594E0
2.207586920E-1,-8.554482460E0,3.112462163E-2,-1.065419793E0
2.234261630E-1,-8.647856712E0,2.154781483E-2,-1.079784989E0
2.249120380E-1,-8.710105896E0,0.000000000E0,-1.077390790E0
2.275291630E-1,-8.844181061E0,-3.591302410E-2,-1.074996591E0
2.293352300E-1,-8.973467827E0,-6.703764945E-2,-1.089361787E0
