"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.661265400E-2,-2.272418737E-1,7.403686643E-1,2.015855350E-2
1.935946100E-2,-2.565633953E-1,7.977899909E-1,2.076941915E-2
2.077707700E-2,-2.755002379E-1,8.252789378E-1,2.321287990E-2
2.343573100E-2,-2.987131178E-1,8.863654733E-1,2.565634064E-2
2.526438400E-2,-3.164281845E-1,9.498954415E-1,2.504547499E-2
2.727676900E-2,-3.286454976E-1,9.853256345E-1,2.138028294E-2
2.882207700E-2,-3.433062732E-1,1.059240341E0,1.710422710E-2
3.134915400E-2,-3.567453027E-1,1.145983219E0,3.665191587E-3
3.283730700E-2,-3.628539443E-1,1.193019867E0,1.832595794E-3
3.543407700E-2,-3.683517575E-1,1.287093043E0,-9.773843922E-3
3.695469200E-2,-3.720169365E-1,1.374446750E0,-2.565634064E-2
3.951626900E-2,-3.769038618E-1,1.415374756E0,-3.176499158E-2
4.107088400E-2,-3.787364662E-1,1.497841597E0,-3.909537569E-2
4.365615400E-2,-3.811798990E-1,1.564425945E0,-5.070181563E-2
4.549438400E-2,-3.860668242E-1,1.588860512E0,-5.253441259E-2
4.766761500E-2,-3.933972120E-1,1.648114443E0,-6.597344577E-2
4.914900000E-2,-4.123340547E-1,1.714698792E0,-6.719517708E-2
5.196553800E-2,-4.245513380E-1,1.766622305E0,-7.086037099E-2
5.324703800E-2,-4.612032473E-1,1.957212210E0,-8.185594529E-2
5.616977900E-2,-5.033529401E-1,2.211943150E0,-9.224065393E-2
5.734984600E-2,-5.418374538E-1,2.482556343E0,-9.529497474E-2
6.023024000E-2,-5.619960427E-1,2.607783794E0,-9.529497474E-2
6.156415400E-2,-5.998696685E-1,2.824029922E0,-8.735372871E-2
6.433339400E-2,-6.328563690E-1,2.995072365E0,-8.002334833E-2
6.600753800E-2,-6.444628239E-1,3.062878370E0,-7.635815442E-2
6.837158600E-2,-6.597344875E-1,3.202155590E0,-5.192354694E-2
6.962357700E-2,-6.652322412E-1,3.334102392E0,-3.115412779E-2
7.244062500E-2,-6.603453159E-1,3.409849882E0,-1.954768784E-2
7.370226900E-2,-6.407976151E-1,3.561955214E0,1.282817032E-2
7.658627900E-2,-6.096435189E-1,3.686571836E0,4.092797264E-2
7.778411500E-2,-5.882632136E-1,3.740938663E0,5.742133409E-2
8.064631700E-2,-5.424483418E-1,3.844785929E0,9.407325089E-2
8.194726900E-2,-4.880813360E-1,3.941913366E0,1.252273768E-1
8.476427900E-2,-4.575380683E-1,3.988339186E0,1.447750628E-1
