"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.725988400E-2,-9.337387085E0,2.825157940E-1,6.536170840E-1
1.990263900E-2,-9.320627213E0,2.825157940E-1,6.248866320E-1
2.130000000E-2,-9.291896820E0,2.825157940E-1,5.386953950E-1
2.388426900E-2,-9.291896820E0,2.753331959E-1,4.022258818E-1
2.541953800E-2,-9.311050415E0,2.801215947E-1,3.543418646E-1
2.795946100E-2,-9.361329079E0,2.992752194E-1,2.609679997E-1
2.959969200E-2,-9.414001465E0,3.088520169E-1,2.346317619E-1
3.200400000E-2,-9.478644371E0,3.040636182E-1,2.418143749E-1
3.360030700E-2,-9.507374763E0,2.896983922E-1,2.920926213E-1
3.622284600E-2,-9.562441826E0,2.896983922E-1,3.040636182E-1
3.771003800E-2,-9.598354340E0,2.992752194E-1,2.968810201E-1
4.042910100E-2,-9.619902611E0,2.968810201E-1,3.160346150E-1
4.182223000E-2,-9.617507935E0,2.920926213E-1,3.878606856E-1
4.441673000E-2,-9.591172218E0,2.537853718E-1,4.501099288E-1
4.595146100E-2,-9.564835548E0,2.346317619E-1,4.788403511E-1
4.846207700E-2,-9.540893555E0,1.891419291E-1,4.692635238E-1
5.007265300E-2,-9.516951561E0,1.532289088E-1,4.405331016E-1
5.253865300E-2,-9.524134636E0,1.508347094E-1,4.237737060E-1
5.411819200E-2,-9.526528358E0,1.675941199E-1,3.711012602E-1
5.685648500E-2,-9.550470352E0,2.059013397E-1,3.232172430E-1
5.822988400E-2,-9.576807022E0,2.226607651E-1,3.208230138E-1
6.095883100E-2,-9.622296333E0,2.561795712E-1,3.327940404E-1
6.253700000E-2,-9.629479408E0,2.561795712E-1,3.543418646E-1
6.503756200E-2,-9.674968719E0,2.442085743E-1,3.256114423E-1
6.639696100E-2,-9.682151794E0,2.394201756E-1,2.968810201E-1
6.910471600E-2,-9.706093788E0,2.370259613E-1,2.873041928E-1
7.058180700E-2,-9.694122314E0,1.915361285E-1,2.513911724E-1
7.320663900E-2,-9.706093788E0,1.795651317E-1,2.442085743E-1
7.461388400E-2,-9.742006302E0,1.771709323E-1,2.178723514E-1
7.730806200E-2,-9.749189377E0,1.412578970E-1,1.867477298E-1
7.872603800E-2,-9.732429504E0,1.268926859E-1,1.843535304E-1
8.140940800E-2,-9.718064308E0,1.053448766E-1,2.154781520E-1
8.293007700E-2,-9.715670586E0,5.027823523E-2,2.346317619E-1
8.553737000E-2,-9.689333916E0,2.154781483E-2,2.011129409E-1
8.695084600E-2,-9.686940193E0,-9.576806799E-3,9.576806426E-2
8.963913900E-2,-9.679757118E0,-3.591302410E-2,-2.394201700E-3
9.109303800E-2,-9.612719536E0,-4.309562966E-2,-6.224924326E-2
9.373384600E-2,-9.572018623E0,-5.985504389E-2,-1.771709323E-1
9.514280700E-2,-9.452308655E0,-8.140286058E-2,-3.327940404E-1
9.784440800E-2,-9.342175484E0,-8.140286058E-2,-4.525041282E-1
9.927484600E-2,-9.265560150E0,-7.900865376E-2,-5.075707436E-1
1.019468310E-1,-9.076418877E0,-8.619125932E-2,-5.698199868E-1
1.033788070E-1,-8.678980827E0,-2.705447972E-1,-5.171475410E-1
1.058736530E-1,-8.377311707E0,-4.285621047E-1,-4.453215301E-1
1.074875000E-1,-8.142680168E0,-5.578489900E-1,-3.184288144E-1
1.099904230E-1,-8.169015884E0,-5.315127969E-1,-1.771709323E-1
1.116224610E-1,-8.226476669E0,-4.860229492E-1,-7.422025502E-2
1.142680240E-1,-8.386888504E0,-4.740519226E-1,1.364694983E-1
1.157287690E-1,-8.566453934E0,-4.955997467E-1,1.771709323E-1
1.183082300E-1,-8.916007042E0,-4.908113480E-1,3.280056417E-1
1.198133070E-1,-9.109937668E0,-4.477157295E-1,4.118026793E-1
1.224989850E-1,-9.500192642E0,-3.591302633E-1,5.650315881E-1
1.240068460E-1,-9.964667320E0,-2.322375625E-1,8.403648138E-1
1.264372300E-1,-1.023281765E1,-1.532289088E-1,9.935936928E-1
1.280619230E-1,-1.073799419E1,-7.182605099E-3,1.268926859E0
1.305495000E-1,-1.113303757E1,5.746084079E-2,1.405396342E0
1.322002300E-1,-1.128866100E1,8.619125932E-2,1.414973259E0
1.346497690E-1,-1.152089882E1,1.388636976E-1,1.333570361E0
1.362443840E-1,-1.168849277E1,1.556231081E-1,1.110909581E0
1.389314470E-1,-1.174834728E1,1.819593310E-1,9.864110947E-1
1.403604610E-1,-1.174355888E1,2.082955539E-1,7.302315235E-1
1.430339080E-1,-1.168849277E1,2.106897533E-1,4.070142806E-1
1.446640000E-1,-1.159272480E1,2.442085743E-1,8.858546615E-2
1.471653310E-1,-1.153286934E1,2.633621991E-1,-6.464344263E-2
1.485943070E-1,-1.141794777E1,3.088520169E-1,-3.639186621E-1
1.512672930E-1,-1.128866100E1,3.639186621E-1,-5.793967843E-1
1.527316530E-1,-1.122162342E1,3.926490843E-1,-6.536170840E-1
1.553692930E-1,-1.115697956E1,4.285621047E-1,-7.972691655E-1
1.568638460E-1,-1.108754826E1,5.051765442E-1,-8.978256583E-1
1.594709080E-1,-1.105881786E1,5.386953950E-1,-9.289502501E-1
1.609014610E-1,-1.103008747E1,6.105214357E-1,-9.720458984E-1
1.635728700E-1,-1.098220348E1,6.679822803E-1,-9.983820915E-1
1.650943840E-1,-1.093431950E1,7.015010715E-1,-1.012747288E0
1.676922540E-1,-1.090319443E1,7.493851185E-1,-1.017535686E0
1.691223840E-1,-1.084333992E1,7.589619160E-1,-9.983820915E-1
