"t","x","y","z"
1.730846100E-2,1.991420686E-1,2.608394623E-1,1.466076635E-2
2.010903800E-2,1.942551434E-1,2.681698501E-1,1.160643995E-2
2.132300000E-2,1.881465018E-1,2.816088796E-1,1.221730490E-3
2.391757700E-2,1.802052408E-1,2.987131178E-1,-1.221730490E-3
2.544930700E-2,1.685988009E-1,3.182607889E-1,-3.665191587E-3
2.798907700E-2,1.643227488E-1,3.274237812E-1,-8.552113548E-3
2.962984600E-2,1.521054506E-1,3.481931984E-1,-8.552113548E-3
3.202630700E-2,1.386664063E-1,3.677408695E-1,-6.719517522E-3
3.361826900E-2,1.343903542E-1,3.781255782E-1,-6.108652335E-3
3.624638400E-2,1.258382350E-1,4.031710625E-1,-4.886921961E-3
3.773280700E-2,1.191187203E-1,4.294382632E-1,-4.276056774E-3
4.059952400E-2,1.178969890E-1,4.477642179E-1,-4.276056774E-3
4.184392300E-2,1.160643995E-1,4.758640230E-1,-6.108652451E-4
4.444523000E-2,1.105666086E-1,4.984660447E-1,1.832595794E-3
4.597076900E-2,1.099557430E-1,5.119050741E-1,1.221730490E-3
4.848434600E-2,1.136209369E-1,5.363397002E-1,6.108652451E-4
5.009676900E-2,1.111774743E-1,5.632177591E-1,-6.108652451E-4
5.269407700E-2,1.081231460E-1,5.864306092E-1,-6.108652451E-4
5.413246100E-2,1.075122803E-1,6.029239893E-1,0.000000000E0
5.706944700E-2,1.044579595E-1,6.285803318E-1,-2.443460980E-3
5.824807700E-2,9.773843735E-2,6.524040699E-1,-1.221730490E-3
6.116798500E-2,9.773843735E-2,6.664539576E-1,1.832595794E-3
6.255719200E-2,9.285151958E-2,6.884451509E-1,0.000000000E0
6.520794700E-2,8.918632567E-2,7.067710757E-1,1.221730490E-3
6.641565300E-2,8.552113175E-2,7.177666426E-1,4.886921961E-3
6.927556200E-2,8.063421398E-2,7.354817390E-1,4.886921961E-3
7.061342300E-2,7.269296050E-2,7.531968355E-1,5.497787148E-3
7.337698500E-2,7.147123665E-2,7.599163651E-1,1.832595794E-3
7.464507700E-2,6.658431143E-2,7.696902156E-1,3.054326167E-3
7.752071600E-2,6.108652428E-2,7.806857824E-1,2.443460980E-3
7.876134600E-2,5.803219974E-2,7.904596329E-1,3.054326167E-3
8.157929300E-2,5.192354694E-2,8.026769161E-1,-1.832595794E-3
8.296657700E-2,4.276056588E-2,8.124507666E-1,-6.108652451E-4
8.570798500E-2,4.031710699E-2,8.289441466E-1,-9.773843922E-3
8.699353800E-2,3.787364438E-2,8.350527883E-1,-1.099557430E-2
8.980983100E-2,3.237585723E-2,8.594874144E-1,-1.527163107E-2
9.113338400E-2,2.076941915E-2,8.918632865E-1,-2.138028294E-2
9.377419200E-2,1.771509275E-2,9.120218158E-1,-2.687807009E-2
9.523515300E-2,5.497787148E-3,9.602801800E-1,-3.359758854E-2
9.805748500E-2,-7.941247895E-3,1.018312335E0,-3.909537569E-2
9.931234600E-2,-1.466076635E-2,1.052520871E0,-4.153883830E-2
1.021095000E-1,-2.932153270E-2,1.121548533E0,-5.009094998E-2
1.034241150E-1,-4.337143153E-2,1.192408919E0,-5.925392732E-2
1.059151530E-1,-4.948008433E-2,1.221119642E0,-7.391469181E-2
1.076620380E-1,-5.497787148E-2,1.285260439E0,-1.044579595E-1
1.100337300E-1,-6.475171447E-2,1.334740520E0,-1.203404516E-1
1.116603460E-1,-6.963863969E-2,1.383609772E0,-1.331686229E-1
1.144385620E-1,-6.963863969E-2,1.409876943E0,-1.398881376E-1
1.157715000E-1,-6.658431143E-2,1.469130874E0,-1.453859210E-1
1.183467690E-1,-5.619960278E-2,1.542434692E0,-1.441642046E-1
1.198497690E-1,-4.581489414E-2,1.579086661E0,-1.429424733E-1
1.226693700E-1,-2.993239649E-2,1.642616630E0,-1.264491081E-1
1.240420000E-1,-9.773843922E-3,1.678657651E0,-1.075122803E-1
1.264857690E-1,6.108652451E-4,1.680490255E0,-9.224065393E-2
1.281095760E-1,2.382374369E-2,1.654833913E0,-6.047565863E-2
1.306526920E-1,4.703662544E-2,1.594358325E0,-2.626720630E-2
1.322463840E-1,5.681046844E-2,1.560760736E0,-8.552113548E-3
1.346973070E-1,8.124507964E-2,1.487456918E0,2.199114859E-2
1.362808460E-1,9.773843735E-2,1.406822681E0,4.581489414E-2
1.391489470E-1,1.117883399E-1,1.301753879E0,6.536258012E-2
1.404051530E-1,1.178969890E-1,1.243721604E0,7.147123665E-2
1.432427930E-1,1.319468915E-1,1.124602914E0,7.635815442E-2
1.446951150E-1,1.368338168E-1,1.003040791E0,8.429940045E-2
1.473355620E-1,1.398881376E-1,9.450085163E-1,8.002334833E-2
1.486333070E-1,1.380555481E-1,8.295549750E-1,7.696902007E-2
1.514379080E-1,1.392772794E-1,7.110471725E-1,6.536258012E-2
1.527752300E-1,1.337794960E-1,6.530149579E-1,5.803219974E-2
1.555394850E-1,1.288925707E-1,5.308418870E-1,4.520402849E-2
1.569115000E-1,1.246165112E-1,4.117231667E-1,2.626720630E-2
1.596886390E-1,1.160643995E-1,2.932153046E-1,1.038470957E-2
1.609444230E-1,1.142318025E-1,2.351831198E-1,6.108652451E-4
1.637434460E-1,1.081231460E-1,1.215621829E-1,-2.015855350E-2
1.651368840E-1,1.026253626E-1,1.160643995E-2,-3.420845419E-2
1.678626390E-1,1.014036313E-1,-3.909537569E-2,-4.276056588E-2
1.691703460E-1,9.834930301E-2,-1.343903542E-1,-6.169738993E-2
1.719646770E-1,9.651670605E-2,-2.199114859E-1,-7.330382615E-2
1.733128070E-1,9.468411654E-2,-2.608394623E-1,-7.696902007E-2
1.759918840E-1,9.040805697E-2,-3.255911767E-1,-8.674286306E-2
1.773716150E-1,8.735372871E-2,-3.762930036E-1,-9.346238524E-2
1.802156390E-1,8.429940045E-2,-3.982841372E-1,-9.285151958E-2
1.814727300E-1,7.941248268E-2,-4.257730842E-1,-9.651670605E-2
1.843087920E-1,7.330382615E-2,-4.379903674E-1,-9.407325089E-2
1.855665380E-1,7.086037099E-2,-4.386012554E-1,-9.651670605E-2
1.880895760E-1,6.291911751E-2,-4.312708676E-1,-9.590584040E-2
1.897011920E-1,5.986479297E-2,-4.111123085E-1,-9.407325089E-2
1.921802690E-1,5.375614017E-2,-3.781255782E-1,-9.529497474E-2
1.938141150E-1,5.009094998E-2,-3.616322279E-1,-9.101892263E-2
1.964148460E-1,4.581489414E-2,-3.188716471E-1,-8.857546002E-2
1.981205380E-1,4.276056588E-2,-2.700024247E-1,-8.674286306E-2
2.004865000E-1,4.092797264E-2,-2.443460971E-1,-8.185594529E-2
2.020323070E-1,4.031710699E-2,-1.887573600E-1,-8.063421398E-2
2.047885230E-1,3.237585723E-2,-1.313360333E-1,-7.757988572E-2
2.061120380E-1,3.420845419E-2,-1.044579595E-1,-7.513642311E-2
2.086254610E-1,2.993239649E-2,-5.131268129E-2,-7.147123665E-2
2.102597300E-1,2.382374369E-2,0.000000000E0,-6.475171447E-2
2.127173840E-1,2.443460934E-2,2.687807009E-2,-6.658431143E-2
2.143439990E-1,1.832595654E-2,6.841690838E-2,-6.108652428E-2
2.168522300E-1,1.588249579E-2,1.075122803E-1,-5.558873713E-2
2.184020380E-1,1.221730467E-2,1.404990107E-1,-5.192354694E-2
2.212560230E-1,1.038470957E-2,1.539380401E-1,-5.070181563E-2
2.225991150E-1,7.330383174E-3,1.759291887E-1,-4.764748737E-2
2.253499850E-1,6.719517522E-3,1.936442852E-1,-4.581489414E-2
2.267809610E-1,1.221730490E-3,1.991420686E-1,-4.459316283E-2
2.293942920E-1,6.108652451E-4,2.052507252E-1,-4.276056588E-2
2.306662300E-1,-3.665191587E-3,2.076941878E-1,-4.031710699E-2
2.334617540E-1,-4.276056774E-3,2.070833147E-1,-4.092797264E-2
2.348598460E-1,-8.552113548E-3,2.028072625E-1,-4.337143153E-2
2.375636000E-1,-1.221730467E-2,1.966986060E-1,-4.092797264E-2
2.388826530E-1,-1.404990070E-2,1.912008226E-1,-3.848451003E-2
2.417147920E-1,-1.588249579E-2,1.814269722E-1,-4.276056588E-2
2.430748460E-1,-1.710422710E-2,1.685988009E-1,-4.276056588E-2
2.457699080E-1,-2.076941915E-2,1.600466967E-1,-3.970624134E-2
2.471561150E-1,-1.954768784E-2,1.490511149E-1,-4.398229718E-2
2.498979460E-1,-2.382374369E-2,1.350012124E-1,-4.642575979E-2
2.512565380E-1,-2.260201424E-2,1.221730486E-1,-4.398229718E-2
2.540000230E-1,-2.687807009E-2,1.166752651E-1,-4.520402849E-2
2.553323070E-1,-2.748893574E-2,1.062905490E-1,-4.703662544E-2
2.579762690E-1,-2.871066704E-2,9.651670605E-2,-4.398229718E-2
2.594044990E-1,-2.748893574E-2,9.407325089E-2,-4.703662544E-2
2.622500610E-1,-3.054326214E-2,8.674286306E-2,-4.581489414E-2
2.636159990E-1,-2.932153270E-2,8.307767659E-2,-4.642575979E-2
2.663010760E-1,-2.993239649E-2,8.185594529E-2,-4.703662544E-2
2.678622300E-1,-2.993239649E-2,7.941248268E-2,-4.825835302E-2
2.701207300E-1,-2.932153270E-2,8.002334833E-2,-4.581489414E-2
2.718053070E-1,-2.871066704E-2,8.002334833E-2,-4.825835302E-2
2.743438070E-1,-2.748893574E-2,8.307767659E-2,-4.825835302E-2
2.764785760E-1,-2.504547499E-2,8.796459436E-2,-4.520402849E-2
2.785270380E-1,-2.321287990E-2,9.285151958E-2,-4.398229718E-2
2.799150760E-1,-2.382374369E-2,9.651670605E-2,-4.214970022E-2
2.826701920E-1,-1.954768784E-2,1.044579595E-1,-3.909537569E-2
2.840440380E-1,-1.893682219E-2,1.105666086E-1,-3.909537569E-2
2.868261000E-1,-1.588249579E-2,1.154535338E-1,-3.970624134E-2
2.881696530E-1,-1.649336144E-2,1.215621829E-1,-3.298672289E-2
2.906521530E-1,-1.343903504E-2,1.288925707E-1,-3.237585723E-2
2.922673460E-1,-1.221730467E-2,1.319468915E-1,-3.054326214E-2
2.947473840E-1,-1.038470957E-2,1.392772794E-1,-2.626720630E-2
