"t","x","y","z"
7.116115000E-3,-9.141061783E0,-7.900865376E-2,3.038241863E0
9.858175000E-3,-9.153033257E0,-6.943184882E-2,3.148375273E0
1.122726900E-2,-9.148244858E0,-1.675941236E-2,3.325546265E0
1.389182900E-2,-9.165003777E0,2.633621916E-2,3.435679436E0
1.525865300E-2,-9.179368973E0,2.873042040E-2,3.478775024E0
1.795886800E-2,-9.210494041E0,8.140286058E-2,3.562572241E0
1.943961500E-2,-9.248801231E0,1.388636976E-1,3.636792421E0
2.207863700E-2,-9.253589630E0,1.508347094E-1,3.667917013E0
2.347296100E-2,-9.279925346E0,1.843535304E-1,3.713406801E0
2.618094400E-2,-9.346963882E0,2.274491638E-1,3.770867586E0
2.770523000E-2,-9.375694275E0,2.442085743E-1,3.787626982E0
3.028298300E-2,-9.425971985E0,2.585737705E-1,3.825934410E0
3.206500000E-2,-9.459490776E0,2.609679997E-1,3.864241600E0
3.434525200E-2,-9.471462250E0,2.322375625E-1,3.890577793E0
3.567515300E-2,-9.464279175E0,2.154781520E-1,3.890577793E0
3.841275200E-2,-9.457097054E0,1.771709323E-1,3.866635799E0
4.004261500E-2,-9.449913979E0,1.508347094E-1,3.811569214E0
4.242134600E-2,-9.461885452E0,1.412578970E-1,3.792415380E0
4.388623000E-2,-9.500192642E0,1.316810995E-1,3.746925592E0
4.651442300E-2,-9.524134636E0,1.388636976E-1,3.706224203E0
4.795950000E-2,-9.543288231E0,1.508347094E-1,3.682282209E0
5.032738400E-2,-9.572018623E0,1.340752989E-1,3.660734415E0
5.208503800E-2,-9.591172218E0,1.053448766E-1,3.653551817E0
5.451546100E-2,-9.595960617E0,9.816227108E-2,3.648763418E0
5.612138400E-2,-9.610325813E0,6.703764945E-2,3.629609823E0
5.884948300E-2,-9.610325813E0,4.309562966E-2,3.598485231E0
6.022796100E-2,-9.605537415E0,2.633621916E-2,3.586514235E0
6.274953800E-2,-9.619902611E0,-9.576806799E-3,3.548206806E0
6.435200000E-2,-9.612719536E0,-4.070143029E-2,3.514688015E0
6.685334600E-2,-9.603142738E0,-5.027823523E-2,3.500322819E0
6.843984600E-2,-9.593565941E0,-6.703764945E-2,3.450044632E0
7.100419200E-2,-9.545681953E0,-9.576806426E-2,3.414131641E0
7.259965300E-2,-9.538499832E0,-9.097966552E-2,3.385401249E0
7.506207600E-2,-9.521739960E0,-8.619125932E-2,3.366247654E0
7.671169200E-2,-9.500192642E0,-9.337386489E-2,3.347094059E0
7.936606000E-2,-9.464279175E0,-1.077390760E-1,3.320757866E0
8.076542300E-2,-9.440337181E0,-1.197100878E-1,3.320757866E0
8.328107600E-2,-9.402029991E0,-1.221042871E-1,3.306392431E0
8.489292300E-2,-9.363722801E0,-1.173158810E-1,3.294421434E0
8.758236700E-2,-9.349357605E0,-1.268926859E-1,3.289633036E0
8.901703800E-2,-9.306262016E0,-1.484405100E-1,3.268085241E0
9.168467500E-2,-9.258378029E0,-1.699883193E-1,3.239354849E0
9.312719200E-2,-9.244012833E0,-1.675941199E-1,3.232172251E0
9.578698300E-2,-9.203310966E0,-1.819593310E-1,3.220201254E0
9.718388400E-2,-9.160215378E0,-1.699883193E-1,3.210624456E0
9.988952100E-2,-9.124302864E0,-1.580173075E-1,3.198653460E0
1.013905380E-1,-9.107542992E0,-1.556231081E-1,3.193865061E0
1.040164060E-1,-9.090784073E0,-1.532289088E-1,3.184288263E0
1.054161920E-1,-9.076418877E0,-1.699883193E-1,3.193865061E0
1.081188290E-1,-9.071630478E0,-1.628057212E-1,3.210624456E0
1.095797300E-1,-9.059659004E0,-1.388636976E-1,3.222595453E0
1.122211360E-1,-9.066842079E0,-1.460463107E-1,3.244143248E0
1.136768460E-1,-9.066842079E0,-1.556231081E-1,3.260902643E0
1.163239440E-1,-9.095572472E0,-1.484405100E-1,3.287238836E0
1.177891150E-1,-9.100360870E0,-1.460463107E-1,3.301604033E0
1.204260590E-1,-9.097966194E0,-1.388636976E-1,3.320757866E0
1.219023070E-1,-9.114726067E0,-1.221042871E-1,3.349488258E0
1.245342690E-1,-9.155426979E0,-9.097966552E-2,3.378218651E0
1.259602690E-1,-9.198522568E0,-9.097966552E-2,3.375824451E0
1.286520210E-1,-9.224859238E0,-8.379705995E-2,3.383007050E0
1.300877690E-1,-9.258378029E0,-6.464344263E-2,3.399766445E0
1.324857300E-1,-9.294290543E0,-6.224924326E-2,3.387795448E0
1.342191530E-1,-9.311050415E0,-4.788403213E-2,3.378218651E0
1.366726150E-1,-9.327810287E0,-3.830722719E-2,3.356670856E0
1.382706920E-1,-9.349357605E0,-3.112462163E-2,3.349488258E0
1.409579820E-1,-9.366117477E0,-2.873042040E-2,3.344699860E0
1.424140760E-1,-9.399636269E0,-9.576806799E-3,3.339911461E0
1.448814610E-1,-9.435548782E0,9.576806799E-3,3.327940464E0
1.464890760E-1,-9.440337181E0,9.576806799E-3,3.320757866E0
1.489369230E-1,-9.461885452E0,4.788403399E-3,3.320757866E0
1.506196150E-1,-9.459490776E0,2.154781483E-2,3.289633036E0
