"t","x","y","z"
1.406282900E-2,4.886921961E-3,3.286454976E-1,-9.773843922E-3
1.527034600E-2,8.552113548E-3,3.323107064E-1,-9.162978269E-3
1.816763700E-2,1.527163107E-2,3.341432810E-1,-7.330383174E-3
1.944746100E-2,2.138028294E-2,3.335324228E-1,-4.886921961E-3
2.224909800E-2,2.871066704E-2,3.280346394E-1,-1.221730490E-3
2.350457600E-2,3.420845419E-2,3.268128932E-1,6.108652451E-4
2.635148300E-2,4.337143153E-2,3.176499307E-1,2.443460980E-3
2.773684600E-2,5.253441259E-2,3.084869385E-1,6.108652335E-3
3.045309800E-2,5.681046844E-2,3.011565804E-1,6.108652335E-3
3.208688400E-2,7.024950534E-2,2.889392674E-1,9.162978269E-3
3.451648300E-2,7.757988572E-2,2.736676335E-1,1.404990070E-2
3.569473000E-2,8.368854225E-2,2.638937831E-1,1.221730467E-2
3.858279100E-2,9.285151958E-2,2.474004179E-1,1.404990070E-2
4.006173000E-2,1.020144969E-1,2.302961946E-1,9.162978269E-3
4.245265300E-2,1.038470939E-1,2.223549485E-1,7.941247895E-3
4.394669200E-2,1.123992056E-1,2.046398520E-1,7.330383174E-3
4.654615300E-2,1.185078546E-1,1.875356287E-1,6.719517522E-3
4.801819200E-2,1.197295859E-1,1.771509200E-1,4.886921961E-3
5.035423000E-2,1.246165112E-1,1.594358236E-1,6.719517522E-3
5.210976900E-2,1.288925707E-1,1.411098689E-1,2.443460980E-3
5.454634600E-2,1.301143020E-1,1.282816976E-1,7.330383174E-3
5.615084600E-2,1.319468915E-1,1.081231460E-1,5.497787148E-3
5.903807600E-2,1.325577646E-1,8.979719132E-2,4.886921961E-3
6.024984600E-2,1.337794960E-1,6.902777404E-2,3.665191587E-3
6.279123000E-2,1.319468915E-1,6.047565863E-2,4.276056774E-3
6.438850000E-2,1.319468915E-1,4.703662544E-2,3.665191587E-3
6.688669200E-2,1.307251602E-1,3.359758854E-2,1.832595794E-3
6.845503800E-2,1.252273768E-1,2.809980139E-2,5.497787148E-3
7.104742300E-2,1.258382350E-1,2.138028294E-2,3.665191587E-3
7.262811500E-2,1.197295859E-1,1.404990070E-2,4.886921961E-3
7.510084600E-2,1.154535338E-1,1.282817032E-2,3.054326167E-3
7.674230700E-2,1.111774743E-1,1.038470957E-2,3.054326167E-3
7.953625200E-2,1.069014147E-1,1.038470957E-2,1.832595794E-3
8.077203800E-2,1.069014147E-1,9.162978269E-3,0.000000000E0
8.332080700E-2,1.032362282E-1,1.160643995E-2,1.221730490E-3
8.492592300E-2,9.712757170E-2,1.343903504E-2,-1.221730490E-3
8.765757600E-2,9.346238524E-2,2.015855350E-2,-4.886921961E-3
8.905038400E-2,8.857546002E-2,2.260201424E-2,-2.443460980E-3
9.185513700E-2,8.491026610E-2,2.871066704E-2,-8.552113548E-3
9.316161500E-2,7.941248268E-2,3.604105115E-2,-5.497787148E-3
9.595767500E-2,7.819075137E-2,3.970624134E-2,-9.162978269E-3
