time,x,y
0.306,6.41,28.53
0.556,6.41,28.53
0.806,6.48,28.59
1.055,6.48,28.59
1.305,6.48,28.46
1.556,7.11,28.34
1.805,7.67,28.21
2.055,8.11,28.21
2.305,8.74,28.15
2.556,9.37,28.09
2.806,10.12,28.02
3.056,11.13,28.02
3.305,11.7,28.02
3.556,12.2,28.02
3.805,13.08,27.96
4.056,13.33,27.96
4.305,13.39,27.96
4.555,13.46,27.96
4.805,13.77,27.96
5.056,14.15,27.96
5.306,14.65,27.96
5.556,14.84,27.96
5.806,15.03,27.96
6.056,15.34,27.96
6.306,15.47,27.96
6.555,15.47,27.96
6.806,15.47,27.96
7.055,15.85,27.96
7.305,16.04,27.96
7.555,16.98,28.02
7.806,17.86,28.09
8.055,18.17,28.15
8.305,18.61,28.21
8.555,18.99,28.21
8.806,19.18,28.28
9.056,19.37,28.4
9.306,19.62,28.59
9.555,19.68,28.65
9.805,19.87,28.91
10.055,20.12,29.22
10.305,20.25,29.47
10.556,20.25,29.66
10.805,20.25,29.97
11.055,20.25,30.16
11.305,20.25,30.23
11.555,20.25,31.42
11.805,20.25,31.42
12.056,20.25,31.92
12.305,20.25,31.99
12.555,20.25,32.3
12.805,20.31,32.62
13.054,20.31,32.87
13.306,20.31,32.99
13.556,20.31,33.31
13.805,20.31,33.37
14.056,20.31,33.37
14.306,20.31,33.37
14.556,20.31,33.37
14.805,20.25,33.37
15.056,20.25,33.37
15.305,20.31,33.37
15.556,20.31,33.37
15.806,20.31,33.37
16.056,20.31,33.37
16.306,20.31,33.37
16.555,20.31,33.37
16.805,20.31,33.37
17.056,20.31,33.37
17.306,20.31,33.37
17.556,20.31,33.37
17.806,20.31,33.37
18.055,20.31,33.37
18.305,20.31,33.37
18.556,20.31,33.37
18.804,20.44,32.8
19.055,20.5,32.43
19.305,20.56,31.92
19.555,20.56,30.73
19.804,20.63,30.04
20.055,20.69,29.47
20.304,20.69,28.59
20.556,20.69,28.46
20.805,20.5,28.28
21.055,20.5,28.28
21.305,20.19,28.28
21.555,19.49,28.21
21.804,18.74,28.15
22.054,18.43,28.09
22.305,18.17,28.02
22.556,17.99,28.02
22.805,17.73,28.02
23.055,17.48,28.02
23.305,17.11,27.96
23.554,16.54,27.96
23.805,16.04,27.96
24.055,15.78,27.96
24.305,15.6,27.9
24.556,15.28,27.84
24.806,14.9,27.84
25.055,14.53,27.77
25.305,14.21,27.71
25.555,13.84,27.71
25.805,13.39,27.71
26.055,13.27,27.71
26.305,12.01,27.71
26.555,11.89,27.71
26.805,11.57,27.71
27.054,11.26,27.84
27.306,11.26,27.84
27.556,11.26,27.84
27.805,10.88,27.84
28.055,10.44,27.84
28.305,10.12,27.84
28.556,9.87,27.84
28.806,9.87,27.84
29.054,9.81,27.84
29.305,9.5,27.84
29.556,9.12,27.84
29.805,8.8,27.9
30.056,8.55,27.96
30.304,8.36,27.96
30.555,8.24,28.02
30.805,7.99,28.09
31.055,7.48,28.09
31.306,6.98,28.15
31.556,6.67,28.34
31.806,6.48,28.46
32.055,6.48,28.53
32.305,6.48,28.59
32.555,6.48,28.72
32.806,6.48,28.72
