time,x,y
0.311,6.56,29.24
0.561,6.56,28.82
0.811,6.73,28.58
1.061,6.89,28.49
1.311,7.22,28.41
1.561,7.64,28.41
1.812,8.06,28.41
2.061,8.8,28.41
2.311,8.89,28.41
2.561,8.89,28.41
2.811,9.13,28.41
3.06,9.63,28.41
3.31,9.8,28.41
3.561,10.05,28.41
3.811,10.38,28.41
4.062,10.88,28.41
4.311,10.96,28.41
4.56,11.46,28.33
4.811,11.63,28.33
5.061,12.04,28.33
5.311,12.71,28.33
5.561,12.95,28.33
5.811,13.2,28.33
6.06,13.79,28.33
6.31,14.12,28.33
6.561,14.37,28.33
6.811,14.78,28.24
7.061,15.28,28.24
7.312,15.61,28.24
7.561,15.7,28.24
7.811,16.36,28.24
8.061,16.78,28.24
8.311,17.11,28.16
8.561,17.69,28.16
8.811,18.19,28.08
9.061,18.6,28.08
9.311,19.1,28.08
9.561,19.43,27.91
9.811,19.68,27.74
10.061,19.76,27.5
10.311,19.93,27.25
10.56,20.01,26.91
10.81,20.18,26.5
11.061,20.26,25.92
11.311,20.35,25.25
11.561,20.35,24.34
11.812,20.35,23.76
12.061,20.35,23.18
12.31,20.35,22.51
12.561,20.35,21.68
12.812,20.35,21.1
13.061,20.43,20.85
13.311,20.43,20.69
13.56,20.43,19.94
13.811,20.51,19.77
14.062,20.51,19.77
14.31,20.51,19.27
14.562,20.51,19.27
14.811,20.51,19.27
15.061,20.51,19.27
15.311,20.35,19.27
15.561,20.18,19.19
15.811,20.01,19.03
16.061,19.93,19.03
16.311,19.68,18.94
16.561,19.27,18.78
16.811,18.85,18.78
17.061,18.6,18.69
17.311,18.19,18.53
17.56,17.61,18.53
17.811,16.86,18.28
18.061,16.36,18.28
18.31,16.03,18.28
18.561,15.61,18.28
18.811,15.2,18.28
19.061,15.03,18.36
19.311,14.7,18.61
19.561,14.37,18.69
19.811,14.12,18.78
20.061,13.95,18.86
20.31,13.87,18.86
20.56,13.87,18.86
20.811,13.87,18.86
21.062,13.87,18.86
21.311,13.87,18.86
21.562,13.87,18.86
21.811,13.87,18.86
22.062,13.87,18.86
22.311,13.87,18.86
22.561,13.87,18.78
22.811,13.87,18.69
23.061,13.87,18.53
23.311,13.95,18.28
23.561,13.95,18.03
23.811,13.95,17.45
24.061,13.95,17.28
24.31,13.95,17.12
24.561,13.95,17.12
24.811,13.95,16.95
25.061,13.95,16.87
25.311,13.95,16.7
25.561,13.95,16.62
25.811,13.95,16.45
26.061,13.95,16.28
26.31,13.95,16.04
26.561,13.95,15.95
26.811,14.12,15.79
27.061,14.2,15.62
27.311,14.53,15.29
27.561,14.95,15.04
27.811,15.2,14.96
28.061,15.53,14.96
28.311,15.94,15.12
28.561,16.44,15.37
28.811,16.69,15.37
29.061,16.86,15.54
29.311,16.86,15.62
29.562,16.86,15.7
