time,x,y
0.278,6.71,28.61
0.529,6.71,28.61
0.778,6.71,28.61
1.028,6.71,28.52
1.278,6.71,28.34
1.528,7.07,28.34
1.778,7.07,28.34
2.028,7.07,28.34
2.278,7.07,28.34
2.527,7.79,28.34
2.778,8.32,28.07
3.028,8.5,27.98
3.278,8.68,27.71
3.527,8.95,27.27
3.779,9.22,26.73
4.028,9.22,25.83
4.277,9.22,25.03
4.528,9.22,24.67
4.778,9.13,24.22
5.028,9.13,24.04
5.278,9.13,23.6
5.528,9.13,22.7
5.778,9.04,22.34
6.028,9.04,22.16
6.277,9.04,21.63
6.528,9.04,21.63
6.778,9.04,21.63
7.029,9.04,21.63
7.277,9.04,21.45
7.527,9.04,20.64
7.778,8.95,19.84
8.028,8.95,18.67
8.278,8.86,18.32
8.528,8.86,18.32
8.779,8.86,18.32
9.028,8.86,18.23
9.277,8.86,17.87
9.528,8.86,17.87
9.778,8.86,17.51
10.028,8.86,16.88
10.278,8.95,16.26
10.528,9.22,15.81
10.779,9.22,15.81
11.028,9.31,15.54
11.277,9.4,15.54
11.528,9.76,15.45
11.777,9.85,15.36
12.028,10.11,15.36
12.278,10.47,15.18
12.528,10.83,15.18
12.778,11.01,15.18
13.028,11.37,15.09
13.277,11.64,15.09
13.527,11.81,15.09
13.778,11.9,15.09
14.028,11.99,15.09
14.278,11.99,15.09
14.528,11.99,15.09
14.778,11.99,15.18
15.028,12.17,15.36
15.278,12.17,15.45
15.528,12.26,15.54
15.777,12.35,15.81
16.028,12.44,16.17
16.277,12.53,16.35
16.527,12.62,16.62
16.778,12.62,16.88
17.028,12.62,17.15
17.278,12.62,17.42
17.528,12.62,17.78
17.777,12.35,18.23
18.027,12.08,18.41
18.278,11.81,18.41
18.528,11.55,18.67
18.778,11.46,18.76
19.028,11.28,18.94
19.278,11.28,19.12
19.527,11.19,19.3
19.778,11.1,19.48
20.028,11.01,19.57
20.278,11.01,19.75
20.528,10.92,19.84
20.778,10.92,19.93
21.028,10.38,19.57
21.277,10.38,19.57
21.528,10.38,19.57
21.778,10.38,19.57
22.028,10.83,20.28
22.279,10.92,20.28
22.528,10.92,20.28
22.778,10.92,20.28
23.028,10.92,20.37
23.278,10.92,20.55
23.528,10.92,20.64
23.778,10.92,20.64
24.028,10.92,20.64
24.278,10.92,20.64
24.528,10.92,20.82
24.778,10.92,20.91
25.027,10.74,21.09
25.277,10.29,21.72
25.528,10.02,22.07
25.779,9.85,22.34
26.028,9.58,22.79
26.278,9.49,23.15
26.528,9.4,23.42
26.779,9.4,23.78
27.028,9.4,24.04
27.278,9.4,24.31
27.528,9.4,24.67
27.778,9.4,25.57
28.028,9.22,26.37
28.278,9.04,27
28.529,8.86,27.27
28.777,8.86,27.27
29.027,8.86,27.45
29.278,8.68,27.8
29.527,8.5,27.98
29.778,8.32,28.07
30.028,7.97,28.07
30.277,7.61,28.16
30.527,7.07,28.25
30.778,6.62,28.43
31.028,6.44,28.61
31.278,6.44,28.61
