time,x,y
0.305,7.39,28.91
0.555,7.39,28.74
0.805,7.39,28.66
1.054,7.39,28.66
1.304,7.39,28.58
1.554,7.64,28.58
1.805,7.72,28.49
2.055,7.81,28.49
2.304,7.89,28.49
2.554,8.06,28.49
2.804,8.14,28.49
3.054,8.22,28.41
3.305,8.3,28.08
3.554,8.3,27.99
3.804,8.39,27.66
4.054,8.39,27.58
4.304,8.39,26.91
4.554,8.39,26.33
4.804,8.39,25.83
5.054,8.39,25.59
5.304,8.47,25.42
5.554,8.47,25.17
5.803,8.55,24.92
6.053,8.64,24.51
6.304,8.64,24.01
6.554,8.64,23.51
6.804,8.72,22.68
7.054,8.72,22.1
7.304,8.72,21.85
7.554,8.72,21.85
7.804,8.8,21.85
8.054,9.3,21.68
8.305,9.8,21.68
8.554,10.05,21.68
8.804,10.38,21.68
9.054,10.63,21.68
9.304,11.13,21.68
9.554,11.54,21.77
9.805,11.79,21.93
10.054,12.21,21.93
10.304,12.46,21.93
10.553,12.87,21.93
10.804,13.37,22.01
11.054,13.54,22.01
11.304,13.87,21.93
11.554,14.03,21.68
11.805,14.03,21.68
12.053,14.2,21.27
12.304,14.2,21.27
12.554,14.2,21.1
12.805,14.2,21.02
13.054,14.2,20.85
13.304,14.2,20.6
13.553,14.2,20.27
13.804,14.2,20.02
14.054,14.2,19.77
14.305,14.2,19.61
14.554,14.2,19.36
14.805,14.2,19.36
15.055,14.2,19.11
15.303,14.28,18.94
15.554,14.45,18.78
15.804,14.62,18.78
16.054,14.7,18.78
16.305,14.78,18.78
16.553,14.95,18.78
16.804,15.2,18.69
17.055,15.45,18.69
17.304,15.94,18.69
17.554,16.36,18.69
17.804,16.53,18.69
18.054,17.27,18.69
18.304,17.77,18.69
18.554,18.44,18.78
18.804,18.85,18.78
19.054,19.68,18.78
19.305,19.93,18.36
19.555,20.01,18.11
19.803,20.01,17.86
20.053,20.01,17.45
20.304,20.01,17.12
20.554,20.01,16.37
20.804,20.01,16.2
21.054,20.01,15.7
21.304,19.93,15.29
21.555,19.76,15.04
21.804,19.27,14.79
22.054,18.85,14.71
22.304,18.6,14.71
22.554,18.44,14.71
22.803,18.1,14.71
23.054,17.85,14.71
23.303,17.52,15.04
23.554,17.44,15.12
23.804,17.44,15.45
24.053,17.36,15.7
24.305,17.36,15.79
