time,x,y,speed,stay
0.303,6.48,28.42,,False
0.552,7.06,28.42,2.3293172690763013,False
0.801,7.39,28.42,1.3253012048192774,False
1.052,7.73,28.25,1.514468351294684,False
1.303,7.89,28.08,0.9300890462094656,False
1.551,8.14,27.84,1.3973970525131802,False
1.801,8.22,27.67,0.7515317691222309,False
2.052,8.31,27.42,1.0585920522379613,False
2.302,8.47,27.25,0.9338094023943057,False
2.553,8.56,27.09,0.7313768824974436,False
2.8,8.64,26.92,0.7606596853463878,False
3.052,8.72,26.84,0.4489566864676542,False
3.302,8.81,26.51,1.3682105101189588,False
3.55,8.89,26.09,1.7239966392283916,False
3.8,8.97,25.76,1.3582341477079651,False
4.05,8.97,25.43,1.3200000000000074,False
4.301,9.05,25.01,1.7033911017077157,False
4.551,9.05,24.84,0.6800000000000068,False
4.801,9.05,24.51,1.3199999999999932,False
5.051,9.05,24.18,1.3200000000000074,False
5.3,9.05,23.93,1.0040160642570295,False
5.551,9.05,23.68,0.9960159362549788,False
5.802,8.97,23.43,1.04576930266189,False
6.053,8.97,23.18,0.9960159362549788,False
6.301,8.89,22.85,1.3691876488991572,False
6.552,8.89,22.44,1.6334661354581714,False
6.8,8.89,22.19,1.0080645161290314,False
7.051,8.89,21.94,0.9960159362549788,False
7.3,8.89,21.52,1.6867469879518164,False
7.551,8.89,21.27,0.9960159362549788,False
7.802,8.89,20.77,1.9920318725099648,False
8.053,8.89,20.53,0.95617529880477,False
8.302,8.89,20.19,1.3654618473895643,False
8.552,8.97,20.03,0.7155417527999334,False
8.8,8.97,19.69,1.370967741935477,False
9.051,8.97,19.36,1.314741035856584,False
9.302,8.97,18.86,1.9920318725099648,False
9.551,9.05,18.61,1.0541690560969206,False
9.802,9.05,18.37,0.9561752988047768,False
10.052,9.05,18.2,0.6800000000000068,False
10.302,9.05,17.95,1.0,False
10.55,9.14,17.62,1.3792444658457184,False
10.802,9.14,17.2,1.6666666666666807,False
11.051,9.14,17.12,0.3212851405622414,False
11.302,9.14,16.95,0.6772908366533947,False
11.55,9.3,16.62,1.4788000662009753,False
11.802,9.47,16.54,0.745567231272067,False
12.052,9.55,16.37,0.7515317691222309,False
12.301,9.8,16.29,1.0541690560969226,False
12.552,10.22,16.12,1.805180997483537,False
12.8,10.72,15.87,2.2541007837699425,False
13.052,11.21,15.71,2.0454799950571303,False
13.302,11.55,15.62,1.406840431605519,False
13.55,11.8,15.54,1.0584197377747284,False
13.801,12.21,15.46,1.6642708027255346,False
14.051,12.63,15.38,1.7102046661145558,False
14.302,13.04,15.29,1.6723579172761227,False
14.55,13.54,15.21,2.0417724034148548,False
14.802,13.96,15.13,1.6966316132088992,False
15.05,14.62,15.04,2.6859197553839964,False
15.301,15.04,14.96,1.7033911017077272,False
15.551,15.37,14.88,1.358234147707972,False
15.801,15.78,14.88,1.6400000000000006,False
16.052,16.2,14.88,1.67330677290837,False
16.302,16.53,14.96,1.358234147707979,False
16.551,16.95,15.13,1.8196804432464584,False
16.801,17.28,15.38,1.656019323558762,False
17.052,17.44,15.46,0.7126909888445517,False
17.301,17.53,15.71,1.0670947996455007,False
