time,x,y,speed,stay
0.27,6.48,28.58,,False
0.52,6.48,28.58,0.0,False
0.77,6.65,28.5,0.7515317691222343,False
1.02,7.56,28.33,3.702971779530596,False
1.27,7.73,28.33,0.6800000000000033,False
1.521,7.81,28.25,0.4507453585252823,False
1.769,7.97,28.17,0.7213122508063812,False
2.019,8.06,28.08,0.5091168824543255,False
2.268,8.14,27.92,0.7184154144577526,False
2.519,8.31,27.75,0.957833886866243,False
2.769,8.39,27.59,0.7155417527999334,False
3.02,8.47,27.34,1.0457693026618882,False
3.272,8.56,27.09,1.0543912901259072,False
3.519,8.56,26.92,0.6882591093117325,False
3.772,8.56,26.84,0.3162055335968456,False
4.021,8.56,26.67,0.6827309236947714,False
4.27,8.56,26.59,0.3212851405622568,False
4.521,8.56,26.42,0.6772908366533782,False
4.769,8.64,26.34,0.4561979233461647,False
5.02,8.64,26.17,0.6772908366533806,False
5.269,8.64,26.09,0.3212851405622557,False
5.518,8.64,25.92,0.6827309236947726,False
5.771,8.64,25.76,0.6324110671936761,False
6.019,8.72,25.59,0.7575925091958096,False
6.269,8.72,25.34,1.0,False
6.52,8.72,25.18,0.6374501992031892,False
6.77,8.72,24.93,1.0,False
7.019,8.72,24.84,0.3614457831325287,False
7.27,8.81,24.68,0.7313768824974449,False
7.52,8.81,24.6,0.3199999999999932,False
7.768,8.89,24.43,0.7575925091958096,False
8.02,8.89,24.1,1.309523809523804,False
8.27,8.97,23.76,1.397139935725838,False
8.52,8.97,23.68,0.3200000000000074,False
8.769,8.97,23.02,2.650602409638549,False
9.02,9.05,22.52,2.0173687491907875,False
9.271,9.22,22.02,2.104023255220849,False
9.52,9.3,21.77,1.054169056096928,False
9.771,9.64,21.27,2.408958798060701,False
10.02,9.97,20.77,2.4059543455020456,False
10.27,10.22,20.44,1.6560193235587506,False
10.522,10.3,20.36,0.4489566864676533,False
10.771,10.3,20.36,0.0,False
11.021,10.3,20.36,0.0,False
11.269,10.3,20.36,0.0,False
11.521,10.3,20.36,0.0,False
11.769,10.3,20.36,0.0,False
12.02,10.3,20.36,0.0,False
12.271,10.3,20.36,0.0,False
12.521,10.3,20.36,0.0,False
12.773,10.3,20.36,0.0,False
13.02,10.3,20.36,0.0,False
13.273,10.3,20.36,0.0,False
13.52,10.22,20.36,0.3238866396761138,False
13.769,9.88,20.03,1.9028687133304536,False
14.021,9.72,19.61,1.783508337638433,False
14.269,9.55,19.28,1.4968315478444,False
14.52,9.55,18.95,1.314741035856584,False
14.769,9.47,18.61,1.40275093948377,False
15.02,9.47,18.45,0.6374501992031892,False
15.269,9.47,18.28,0.6827309236947702,False
15.52,9.39,17.95,1.3528228562828506,False
15.769,9.3,17.62,1.3737053314447347,False
16.02,9.22,17.29,1.3528228562828506,False
16.27,9.22,17.12,0.6799999999999926,False
16.518,9.14,17.04,0.4561979233461631,False
16.77,9.14,16.87,0.6746031746031702,False
17.021,8.97,16.62,1.2044793990303504,False
17.269,8.89,16.46,0.7213122508063916,False
17.521,8.72,16.21,1.1996997188754623,False
17.77,8.56,16.04,0.9375596409581428,False
18.02,8.39,15.71,1.4848568954616406,False
18.27,8.31,15.54,0.7515317691222437,False
18.519,8.14,15.29,1.2141539323559074,False
18.768,7.89,15.13,1.1920339019803765,False
19.02,7.64,14.96,1.1996997188754792,False
19.269,7.39,14.79,1.2141539323559114,False
19.521,7.23,14.63,0.8979133729352831,False
19.771,7.06,14.54,0.7694153624668597,False
20.019,6.89,14.46,0.7575925091958081,False
20.269,6.65,14.3,1.1537764081484747,False
20.519,6.4,14.21,1.0628264204469136,False
20.771,6.31,14.13,0.4778410547139777,False
21.02,6.15,14.13,0.6425702811244981,False
21.269,6.06,14.05,0.483598175855117,False
21.52,5.81,13.96,1.0585920522379566,False
