
time,x,y
0.255,6.35,28.78
0.504,6.35,28.78
0.754,6.35,28.78
1.004,6.35,28.65
1.254,6.35,28.65
1.504,6.41,28.34
1.754,6.67,28.28
2.004,6.67,28.28
2.253,7.17,28.21
2.504,7.23,28.21
2.754,7.29,28.21
3.005,7.74,28.21
3.254,8.18,28.21
3.503,8.55,28.15
3.754,8.49,28.09
4.004,8.8,27.96
4.253,9.18,27.02
4.503,9.18,25.95
4.753,9.06,25.07
5.004,8.93,23.87
5.253,8.93,22.62
5.504,9.06,21.8
5.753,9.5,21.04
6.004,9.81,20.86
6.254,10,20.86
6.503,10.31,20.73
6.754,10.56,20.6
7.003,10.75,20.6
7.254,10.75,20.6
7.504,10.75,20.6
7.754,10.75,20.6
8.004,10.75,20.6
8.253,11.01,20.6
8.503,11.01,20.54
8.754,11.01,20.54
9.004,10.94,20.54
9.254,11.01,20.67
9.503,10.94,20.67
9.754,10.94,20.6
10.003,10.94,20.6
10.254,10.94,20.6
10.504,10.94,20.6
10.754,10.94,20.6
11.004,10.94,20.6
11.254,10.94,20.6
11.504,10.94,20.6
11.753,11.01,20.42
12.004,11.07,20.35
12.254,11.07,20.42
12.503,11.07,20.67
12.754,11.07,20.79
13.004,11.07,20.86
13.254,11.07,20.86
13.504,11.07,20.86
13.754,11.01,21.17
14.004,10.31,21.48
14.254,9.56,21.74
14.504,9.24,22.36
14.754,9.12,22.99
15.004,9.12,23.69
15.254,9.18,25.38
15.503,9.18,26.14
15.754,9.06,26.77
16.003,8.8,27.33
16.254,8.43,27.77
16.503,7.74,28.28
16.754,7.17,28.53
17.004,6.92,28.59
17.253,6.73,28.65
17.504,6.54,28.65
17.754,6.54,28.65
