time,x,y
0.278,6.44,28.61
0.528,6.44,28.61
0.778,6.53,28.61
1.028,6.62,28.52
1.278,6.89,28.43
1.529,7.25,28.34
1.777,7.88,28.25
2.027,8.32,28.16
2.277,8.59,28.07
2.528,8.95,27.8
2.777,8.95,27.53
3.028,8.95,26.91
3.278,8.95,26.46
3.528,9.04,26.1
3.778,9.13,25.21
4.028,9.22,24.94
4.277,9.22,24.67
4.528,9.22,24.4
4.778,9.22,24.22
5.028,9.04,23.6
5.278,9.04,23.33
5.528,9.04,22.79
5.778,9.04,22.7
6.028,9.04,22.7
6.277,9.04,22.34
6.528,8.95,21.63
6.777,8.95,21.63
7.027,8.95,20.64
7.279,9.04,20.2
7.528,9.04,20.11
7.778,9.04,19.84
8.028,9.04,19.48
8.278,9.04,19.39
8.528,9.13,19.21
8.778,9.58,19.12
9.028,9.85,19.03
9.278,10.38,18.76
9.527,10.74,18.67
9.778,11.46,18.58
10.028,11.99,18.49
10.278,12.53,18.41
10.528,12.8,18.41
10.778,13.16,18.41
11.028,13.87,18.41
11.278,14.32,18.41
11.528,14.68,18.41
11.778,14.95,18.41
12.028,15.13,18.41
12.278,15.39,18.41
12.528,15.84,18.41
12.777,16.29,18.41
13.028,16.74,18.41
13.278,17.01,18.41
13.528,17.01,18.41
13.778,17.01,18.41
14.027,17.45,18.41
14.277,18.26,18.41
14.528,18.8,18.41
14.778,19.51,18.41
15.028,19.87,18.41
15.278,20.05,18.58
15.529,20.14,18.76
15.778,20.14,18.76
16.027,20.14,18.76
16.278,20.14,19.03
16.528,20.23,19.3
16.778,20.32,19.66
17.027,20.41,20.11
17.278,20.5,20.37
17.527,20.5,20.73
17.778,20.5,21
18.028,20.5,21.36
18.278,20.5,21.72
18.528,20.5,21.99
18.778,20.5,22.43
19.028,20.5,22.79
19.278,20.5,23.06
19.528,20.5,23.24
19.778,20.32,23.24
20.029,20.14,23.24
20.278,19.96,23.24
20.528,19.87,23.24
20.779,19.69,23.24
21.028,19.69,23.24
21.278,19.78,23.24
