time,x,y
0.275,6.56,28.67
0.526,6.98,28.58
0.776,7.23,28.42
1.026,7.56,28.25
1.275,7.89,28
1.526,8.14,27.75
1.775,8.22,27.59
2.025,8.31,27.25
2.276,8.47,27
2.524,8.64,26.59
2.774,8.72,26.34
3.026,8.81,25.92
3.275,8.81,25.34
3.526,8.81,25.18
3.776,8.81,25.01
4.025,8.81,24.76
4.275,8.81,24.43
4.526,8.81,24.01
4.774,8.81,23.52
5.024,8.81,23.35
5.274,8.81,23.35
5.525,8.81,23.02
5.776,8.81,22.69
6.025,8.97,22.44
6.274,9.05,22.27
6.526,9.22,22.1
6.774,9.47,22.02
7.025,9.64,22.02
7.276,9.88,21.94
7.526,10.22,21.85
7.776,10.47,21.85
8.025,10.72,21.85
8.275,11.05,21.85
8.525,11.3,21.85
8.774,11.55,21.85
9.025,11.8,21.85
9.274,12.13,21.85
9.526,12.38,21.85
9.776,12.96,21.85
10.026,13.37,21.85
10.276,13.62,21.77
10.526,13.79,21.69
10.776,14.04,21.61
11.026,14.29,21.44
11.275,14.37,21.19
11.525,14.37,20.94
11.775,14.37,20.61
12.026,14.37,20.36
12.275,14.37,20.11
12.527,14.37,19.78
12.775,14.37,19.53
13.026,14.37,19.28
13.275,14.37,19.11
13.527,14.45,18.95
13.775,14.54,18.86
14.025,14.95,18.78
14.274,15.28,18.78
14.526,15.53,18.78
14.775,15.87,18.78
15.025,16.2,18.78
15.275,16.45,18.78
15.524,16.7,18.78
15.776,17.03,18.78
16.027,17.36,18.78
16.276,17.86,18.7
16.525,18.27,18.61
16.775,18.61,18.61
17.025,19.11,18.61
17.276,19.44,18.61
17.525,19.77,18.28
17.775,19.94,17.78
18.025,20.02,17.53
18.275,20.19,16.95
18.526,20.19,16.54
18.776,20.19,16.12
19.024,20.19,15.71
19.275,20.1,15.38
19.525,19.85,15.29
19.775,19.6,15.29
20.026,19.27,15.29
20.275,18.86,15.21
20.524,18.44,15.21
20.776,18.11,15.13
21.024,17.61,15.13
21.276,17.19,15.21
21.528,17.19,15.54
