time,x,y
0.254,6.41,28.59
0.504,6.41,28.59
0.754,6.41,28.59
1.003,6.73,28.46
1.253,7.29,28.4
1.504,7.61,28.4
1.754,7.67,28.4
2.004,8.05,28.34
2.254,8.43,28.02
2.503,8.43,27.77
2.754,8.43,27.08
3.003,8.55,26.39
3.253,8.68,25.64
3.503,8.8,24.88
3.754,8.8,24.13
4.003,8.87,23.62
4.254,8.87,23.12
4.504,8.87,22.36
4.754,8.87,21.86
5.004,8.93,21.67
5.254,8.93,21.67
5.505,8.93,21.67
5.754,8.93,21.42
6.004,8.93,20.92
6.253,8.99,20.67
6.503,9.06,19.54
6.753,9.06,18.84
7.004,9.12,18.4
7.254,9.18,17.96
7.504,9.18,17.59
7.755,9.18,17.27
8.003,9.18,17.15
8.253,9.18,16.58
8.504,9.18,16.14
8.755,9.18,16.08
9.003,9.18,15.95
9.253,9.62,15.7
9.503,9.81,15.64
9.754,10.06,15.64
10.004,10.06,15.64
10.254,10.06,15.64
10.503,10.75,15.64
10.753,11.13,15.82
11.004,11.19,15.89
11.253,11.57,15.82
11.504,12.39,15.76
11.753,13.02,15.64
12.003,13.21,15.64
12.253,13.77,15.57
12.503,13.9,15.57
12.754,14.09,15.57
13.003,14.4,15.51
13.254,14.59,15.45
13.503,15.09,15.26
13.753,15.66,15.26
14.004,16.16,15.26
14.254,16.16,15.32
14.503,16.41,15.32
14.754,16.66,15.38
15.004,16.73,15.38
15.254,16.73,15.38
15.504,16.73,15.38
15.755,16.73,15.38
16.003,16.48,15.38
16.254,16.1,15.32
16.503,13.96,15.26
16.754,12.58,15.26
17.003,11.89,15.26
17.253,10.88,15.32
17.504,10.31,15.57
17.754,10,15.76
18.003,9.43,16.64
18.253,9.18,17.21
18.503,9.12,18.28
18.754,9.12,19.66
19.004,9.12,21.11
19.254,9.06,21.99
19.503,8.99,22.55
19.755,8.93,22.93
20.004,8.93,22.99
20.253,8.93,23.12
20.503,8.93,23.43
20.753,8.93,23.75
21.004,8.93,24.31
21.253,8.93,24.57
21.504,8.93,24.88
21.753,8.93,25.26
22.004,8.93,25.38
22.255,8.93,25.38
22.503,8.93,25.38
22.754,8.87,26.39
23.004,8.68,26.89
23.254,8.62,27.21
23.503,8.55,27.52
23.753,8.36,28.02
24.003,8.11,28.4
24.253,7.86,28.59
24.503,7.61,28.72
24.754,7.23,28.72
25.004,6.98,28.72
25.253,6.79,28.72
25.504,6.67,28.72
25.754,6.6,28.72
26.004,6.6,28.72
26.255,6.6,28.72
26.504,6.6,28.72
