time,x,y
0.271,6.56,28.58
0.521,6.56,28.58
0.769,6.56,28.58
1.019,6.89,28.58
1.269,7.14,28.58
1.521,7.39,28.58
1.768,7.56,28.5
2.02,7.89,28.42
2.269,8.06,28.25
2.52,8.22,27.92
2.77,8.31,27.67
3.019,8.31,27.42
3.268,8.31,27.09
3.519,8.39,26.76
3.769,8.39,26.51
4.02,8.39,26.17
4.269,8.47,25.76
4.521,8.56,25.26
4.769,8.56,24.84
5.02,8.56,24.43
5.269,8.56,24.18
5.518,8.56,23.85
5.772,8.56,23.52
6.02,8.64,23.18
6.268,8.64,22.93
6.519,8.72,22.6
6.769,8.89,22.27
7.019,9.22,21.19
7.269,9.39,21.02
7.518,9.55,20.86
7.769,9.72,20.69
8.021,10.05,20.36
8.271,10.05,20.36
8.52,10.05,20.36
8.77,10.05,20.36
9.021,10.05,20.36
9.272,10.05,20.36
9.521,10.05,20.36
9.77,10.05,20.36
10.022,10.05,20.36
10.271,10.05,20.36
10.521,10.05,20.36
10.771,10.05,20.36
11.02,10.05,20.36
11.269,10.05,20.36
11.518,10.05,20.36
11.769,10.05,20.36
12.021,10.05,20.36
12.269,10.05,20.36
12.52,10.05,20.36
12.771,10.05,20.36
13.021,10.05,20.36
13.271,10.05,20.36
13.521,10.05,20.36
13.771,10.05,20.36
14.021,10.05,20.36
14.27,10.05,20.36
14.52,10.05,20.36
14.771,10.05,20.36
15.02,10.05,20.36
15.269,10.05,20.36
15.521,10.05,20.36
15.771,10.05,20.36
16.021,10.05,20.36
16.27,10.05,20.53
16.522,10.05,20.61
16.768,10.05,20.77
17.021,10.05,20.94
17.268,10.05,21.19
17.52,10.22,21.36
17.769,10.3,21.52
18.021,10.38,21.61
18.268,10.55,21.69
18.519,10.72,21.77
18.769,10.88,21.85
19.02,11.05,21.85
19.27,11.3,21.94
19.518,11.46,21.94
19.771,11.63,21.94
20.019,11.88,21.94
20.269,12.13,21.94
20.518,12.46,21.94
20.769,12.63,21.94
21.019,12.88,21.85
21.27,13.04,21.69
21.521,13.29,21.52
21.768,13.46,21.36
22.02,13.62,21.11
22.269,13.71,20.94
22.518,13.71,20.69
22.768,13.71,20.53
23.018,13.79,20.28
23.27,13.79,20.11
23.518,13.79,19.94
23.77,13.79,19.61
24.022,13.87,19.45
24.268,13.87,19.28
24.522,13.87,19.2
24.768,13.96,19.03
25.02,13.96,18.86
25.27,13.96,18.53
25.52,13.96,18.12
25.769,13.96,17.95
26.018,13.96,17.78
26.268,13.96,17.45
26.519,13.96,17.04
26.768,13.96,16.79
27.018,13.96,16.54
27.269,13.96,16.46
27.52,14.04,16.37
27.769,14.12,15.87
28.019,14.37,15.71
28.268,14.62,15.38
28.518,14.87,15.29
28.768,15.04,15.29
29.018,15.37,15.21
29.269,15.7,15.21
29.518,16.03,15.21
29.771,16.36,15.46
30.019,16.45,15.62
30.269,16.2,15.38
