time,x,y,speed,stay
0.014,6.6,29.15,0,TRUE
0.024,6.6,29.15,0,TRUE
0.035,6.6,29.15,0,TRUE
0.045,6.6,29.15,0,TRUE
0.053,6.6,29.15,0,TRUE
0.065,6.6,29.15,0,TRUE
0.075,6.6,29.15,0,TRUE
0.085,6.6,29.15,0,TRUE
0.095,6.6,29.15,0,TRUE
0.104,6.6,29.15,0,TRUE
0.115,6.6,29.15,0,TRUE
0.125,6.6,29.15,0,TRUE
0.135,6.6,29.15,0,TRUE
0.145,6.6,29.15,0,TRUE
0.153,6.6,29.15,0,TRUE
0.165,6.6,29.15,0,TRUE
0.174,6.6,29.15,0,TRUE
0.185,6.6,29.15,0,TRUE
0.194,6.6,29.15,0,TRUE
0.203,6.6,29.15,0,TRUE
0.216,6.6,29.15,0,TRUE
0.225,6.6,29.15,0,TRUE
0.234,6.6,29.15,0,TRUE
0.245,6.6,29.15,0,TRUE
0.253,6.6,29.15,0,TRUE
0.266,6.6,29.15,0,TRUE
0.274,6.6,29.15,0,TRUE
0.284,6.6,29.15,0,TRUE
0.295,6.6,29.15,0,TRUE
0.303,6.6,29.15,0,TRUE
0.315,6.6,29.15,0,TRUE
0.325,6.6,29.15,0,TRUE
0.335,6.6,29.15,0,TRUE
0.345,6.6,29.15,0,TRUE
0.354,6.6,29.15,0,TRUE
0.365,6.6,29.15,0,TRUE
0.374,6.6,29.15,0,TRUE
0.385,6.6,29.15,0,TRUE
0.395,6.6,29.15,0,TRUE
0.404,6.6,29.15,0,TRUE
0.415,6.6,29.15,0,TRUE
0.425,6.6,29.15,0,TRUE
0.434,6.6,29.15,0,TRUE
0.445,6.6,29.15,0,TRUE
0.454,6.6,29.15,0,TRUE
0.464,6.6,29.15,0,TRUE
0.475,6.6,29.15,0,TRUE
0.485,6.6,29.15,0,TRUE
0.495,6.6,29.15,0,TRUE
0.504,6.6,29.15,0,TRUE
0.514,6.6,29.15,0,TRUE
0.524,6.6,29.15,0,TRUE
0.535,6.6,29.15,0,TRUE
0.545,6.6,29.15,0,TRUE
0.553,6.6,29.15,0,TRUE
0.566,6.6,29.15,0,TRUE
0.574,6.6,29.15,0,TRUE
0.585,6.6,29.15,0,TRUE
0.595,6.6,29.15,0,TRUE
0.604,6.6,29.15,0,TRUE
0.615,6.6,29.15,0,TRUE
0.624,6.6,29.15,0,TRUE
0.634,6.6,29.15,0,TRUE
0.644,6.6,29.15,0,TRUE
0.654,6.6,29.15,0,TRUE
0.665,6.6,29.15,0,TRUE
0.674,6.6,29.15,0,TRUE
0.685,6.6,29.15,0,TRUE
0.695,6.6,29.15,0,TRUE
0.704,6.6,29.15,0,TRUE
0.714,6.6,29.15,0,TRUE
0.724,6.6,29.15,0,TRUE
0.735,6.6,29.15,0,TRUE
0.744,6.6,29.15,0,TRUE
0.754,6.6,29.15,0,TRUE
0.764,6.6,29.15,0,TRUE
0.774,6.6,29.15,0,TRUE
0.785,6.6,29.15,0,TRUE
0.795,6.6,29.15,0,TRUE
0.804,6.6,29.15,0,TRUE
0.815,6.6,29.15,0,TRUE
0.825,6.6,29.15,0,TRUE
0.835,6.6,29.15,0,TRUE
0.844,6.6,29.15,0,TRUE
0.854,6.6,29.15,0,TRUE
0.865,6.6,29.15,0,TRUE
0.874,6.6,29.15,0,TRUE
0.885,6.6,29.15,0,TRUE
0.895,6.6,29.15,0,TRUE
0.904,6.6,29.15,0,TRUE
0.915,6.6,29.15,0,TRUE
0.924,6.6,29.15,0,TRUE
0.935,6.6,29.15,0,TRUE
0.944,6.6,29.15,0,TRUE
0.954,6.6,29.15,0,TRUE
0.965,6.6,29.15,0,TRUE
0.974,6.6,29.15,0,TRUE
0.985,6.6,29.15,0,TRUE
0.995,6.6,29.15,0,TRUE
1.004,6.6,29.09,0,TRUE
1.015,6.6,29.09,0,TRUE
1.024,6.6,29.09,0,TRUE
1.034,6.6,29.09,0,TRUE
1.045,6.6,29.09,0,TRUE
1.054,6.6,29.02,0,TRUE
1.064,6.6,29.02,0,TRUE
1.075,6.6,29.02,0,TRUE
1.084,6.6,29.02,0,TRUE
1.094,6.6,29.02,0,TRUE
1.104,6.6,29.02,0,TRUE
1.115,6.6,29.02,0,TRUE
1.124,6.6,28.96,0,TRUE
1.134,6.6,28.96,0,TRUE
1.144,6.6,28.96,0,TRUE
1.153,6.6,28.96,0,TRUE
1.165,6.6,28.96,0,TRUE
1.174,6.6,28.9,0,TRUE
1.185,6.6,28.9,0,TRUE
1.194,6.6,28.9,0,TRUE
1.204,6.6,28.83,0,TRUE
1.214,6.6,28.83,0,TRUE
1.224,6.6,28.83,0,TRUE
1.236,6.6,28.77,0,TRUE
1.245,6.6,28.77,0,TRUE
1.254,6.6,28.77,0,TRUE
1.265,6.6,28.77,0,TRUE
1.274,6.6,28.71,0,TRUE
1.284,6.6,28.71,0,TRUE
1.294,6.6,28.71,0,TRUE
1.304,6.6,28.65,0,TRUE
1.315,6.6,28.65,0,TRUE
1.324,6.6,28.65,0,TRUE
1.337,6.6,28.58,0,TRUE
1.345,6.6,28.58,0,TRUE
1.353,6.6,28.58,0,TRUE
1.365,6.6,28.58,0,TRUE
1.375,6.6,28.58,0,TRUE
1.384,6.6,28.58,0,TRUE
1.394,6.6,28.52,0,TRUE
1.404,6.6,28.52,0,TRUE
1.416,6.6,28.52,0,TRUE
1.424,6.6,28.52,0,TRUE
1.435,6.6,28.52,0,TRUE
1.445,6.6,28.52,0,TRUE
1.453,6.6,28.52,0,TRUE
1.465,6.6,28.52,0,TRUE
1.474,6.6,28.52,0,TRUE
1.484,6.6,28.52,0,TRUE
1.494,6.66,28.52,0,TRUE
1.503,6.66,28.52,0,TRUE
1.515,6.66,28.52,0,TRUE
1.524,6.66,28.52,0,TRUE
1.534,6.66,28.52,0,TRUE
1.545,6.66,28.52,0,TRUE
1.554,6.66,28.52,0,TRUE
1.564,6.66,28.52,0,TRUE
1.574,6.66,28.52,0,TRUE
1.585,6.66,28.52,0,TRUE
1.595,6.66,28.52,0,TRUE
1.604,6.73,28.46,0,TRUE
1.615,6.73,28.46,0,TRUE
1.625,6.73,28.46,0,TRUE
1.636,6.73,28.46,0,TRUE
1.645,6.73,28.46,0,TRUE
1.654,6.73,28.46,0,TRUE
1.665,6.73,28.46,0,TRUE
1.674,6.73,28.46,0,TRUE
1.685,6.73,28.46,0,TRUE
1.694,6.73,28.46,0,TRUE
1.703,6.73,28.46,0,TRUE
1.714,6.73,28.46,0,TRUE
1.724,6.79,28.46,0,TRUE
1.735,6.79,28.46,0,TRUE
1.745,6.79,28.46,0,TRUE
1.753,6.79,28.46,0,TRUE
1.765,6.79,28.46,0,TRUE
1.775,6.79,28.46,0,TRUE
1.784,6.79,28.46,0,TRUE
1.795,6.79,28.46,0,TRUE
1.803,6.79,28.46,0,TRUE
1.815,6.79,28.46,0,TRUE
1.825,6.79,28.46,0,TRUE
1.835,6.79,28.46,0,TRUE
1.845,6.79,28.46,0,TRUE
1.853,6.79,28.46,0,TRUE
1.864,6.79,28.46,0,TRUE
1.875,6.85,28.46,0,TRUE
1.884,6.85,28.46,0,TRUE
1.894,6.85,28.39,0,TRUE
1.903,6.85,28.39,0,TRUE
1.915,6.85,28.39,0,TRUE
1.924,6.85,28.39,0,TRUE
1.934,6.85,28.39,0,TRUE
1.945,6.85,28.39,0,TRUE
1.954,6.85,28.39,0,TRUE
1.964,6.85,28.39,0,TRUE
1.975,6.85,28.39,0,TRUE
1.984,6.85,28.39,0,TRUE
1.995,6.92,28.39,0,TRUE
2.003,6.92,28.39,0,TRUE
2.014,6.92,28.39,0,TRUE
2.024,6.92,28.39,0,TRUE
2.035,6.92,28.39,0,TRUE
2.045,6.92,28.39,0,TRUE
2.054,6.92,28.39,0,TRUE
2.064,6.92,28.39,0,TRUE
2.074,6.92,28.39,0,TRUE
2.085,6.92,28.39,0,TRUE
2.094,6.92,28.39,0,TRUE
2.103,6.98,28.39,0,TRUE
