time,x,y
0.014,6.6,29.15
0.266,6.6,29.15
0.514,6.6,29.15
0.764,6.6,29.15
1.015,6.6,29.09
1.265,6.6,28.77
1.515,6.66,28.52
1.765,6.79,28.46
2.014,6.92,28.39
2.264,7.1,28.33
2.515,7.8,28.08
2.765,8.11,28.02
3.014,8.3,28.02
3.265,8.61,27.83
3.516,8.74,27.39
3.765,8.74,27.26
4.015,8.93,26.7
4.264,8.93,26.57
4.514,8.99,26.45
4.765,8.99,26.32
5.015,8.99,26.01
5.265,8.99,25.88
5.515,8.99,25.5
5.765,8.99,25.13
6.014,8.99,25.0
6.266,8.99,24.75
6.516,8.99,24.37
6.766,8.99,24.12
7.015,8.99,24.12
7.265,8.99,23.99
7.516,8.99,23.74
7.766,8.93,23.11
8.015,8.93,22.74
8.265,8.93,22.42
8.515,8.93,22.11
8.765,8.93,21.67
9.015,8.93,21.35
9.264,8.93,21.16
9.515,8.93,20.98
9.764,8.93,20.85
10.015,9.05,20.72
10.265,9.05,20.72
10.514,9.05,20.28
10.765,9.12,20.03
11.015,9.37,19.97
11.265,9.81,19.84
11.514,10.0,19.78
11.765,10.25,19.78
12.015,10.62,19.72
12.265,11.0,19.72
12.515,11.13,19.72
12.765,11.13,19.72
13.014,11.13,19.72
13.265,11.13,19.72
13.514,11.13,19.72
13.765,11.13,19.72
14.015,11.13,19.72
14.265,11.13,19.72
14.515,11.13,19.72
14.764,11.13,19.72
15.015,11.13,19.72
15.266,11.13,19.72
15.515,11.13,19.72
15.765,11.13,19.72
16.015,11.13,19.72
16.265,11.13,19.72
16.515,11.13,19.72
16.764,11.13,19.72
17.015,11.13,19.72
17.264,11.13,19.72
17.516,11.13,19.72
17.765,11.13,19.72
18.015,11.13,19.72
18.266,11.13,19.72
18.516,11.13,19.72
18.765,11.13,19.72
19.015,11.13,19.72
19.265,11.13,19.72
19.514,11.13,19.72
19.764,11.13,19.72
20.015,11.19,19.53
20.264,11.38,19.22
20.515,11.51,18.96
20.765,11.63,18.65
21.015,11.69,18.15
21.264,11.82,16.89
21.515,11.88,16.51
21.764,12.01,16.13
22.015,12.2,16.01
22.264,12.39,15.76
22.514,12.7,15.63
22.765,13.2,15.51
23.015,13.45,15.44
23.265,13.77,15.38
23.515,14.33,15.38
23.764,14.84,15.38
24.015,15.15,15.38
24.265,15.65,15.38
24.515,16.22,15.38
24.765,16.41,15.38
25.015,16.66,15.38
25.264,16.72,15.38
25.515,16.85,15.38
25.765,17.1,15.38
26.015,17.16,15.38
26.266,17.23,15.38
26.515,17.23,15.38
26.765,17.23,15.38
27.015,17.23,15.38
27.265,17.23,15.38
27.515,17.23,15.38
