time,x,y
0.0,-inf,-inf
0.25,-inf,-inf
0.5,-inf,-inf
0.75,-inf,-inf
1.0,-inf,-inf
1.25,-inf,-inf
1.5,-inf,-inf
1.75,-inf,-inf
2.0,-inf,-inf
2.25,-inf,-inf
2.5,-inf,-inf
2.75,-inf,-inf
3.0,-inf,-inf
3.25,-inf,-inf
3.5,-inf,-inf
3.75,-inf,-inf
4.0,-inf,-inf
4.25,-inf,-inf
4.5,-inf,-inf
4.75,-inf,-inf
5.0,-inf,-inf
5.25,-inf,-inf
5.5,-inf,-inf
5.75,-inf,-inf
6.0,-inf,-inf
6.25,-inf,-inf
6.5,-inf,-inf
6.75,-inf,-inf
7.0,-inf,-inf
7.25,-inf,-inf
7.5,0.24366104714955503,0.4835228050632918
7.75,0.3363450285299444,0.6913465868816855
8.0,0.42495508898729484,0.8698841726006764
8.25,0.5129278003137764,1.0438400465036983
8.5,0.5780994180242024,1.2415875435849115
8.75,0.6380181281262696,1.4448161461127476
9.0,0.7387492539502726,1.6445115836131439
9.25,0.8383579104448472,1.8484864759840285
9.5,0.9121075692133582,2.0790714417173284
9.75,0.9929776871816726,2.298324693815747
10.0,1.0811352567618926,2.505980475515564
10.25,1.1380781038094732,2.729104365257313
10.5,1.183167641186684,2.95832614853201
10.75,1.2563302601786475,3.2023521677662536
11.0,1.3176735686081087,3.443872516326931
11.25,1.363828319848675,3.682172920532922
11.5,1.4255693675800412,3.9155536146219556
11.75,1.4864207820686945,4.148722862620382
12.0,1.5140176053623435,4.389141020326324
12.25,,
12.5,,
12.75,,
