time,x,y
0.0,-inf,-inf
0.25,-inf,-inf
0.5,-inf,-inf
0.75,-inf,-inf
1.0,-inf,-inf
1.25,-inf,-inf
1.5,-inf,-inf
1.75,-inf,-inf
2.0,-inf,-inf
2.25,-inf,-inf
2.5,-inf,-inf
2.75,-inf,-inf
3.0,-inf,-inf
3.25,-inf,-inf
3.5,-inf,-inf
3.75,-inf,-inf
4.0,-inf,-inf
4.25,-inf,-inf
4.5,-inf,-inf
4.75,-inf,-inf
5.0,-inf,-inf
5.25,-inf,-inf
5.5,-inf,-inf
5.75,-inf,-inf
6.0,-inf,-inf
6.25,-inf,-inf
6.5,-inf,-inf
6.75,-inf,-inf
7.0,-inf,-inf
7.25,-inf,-inf
7.5,-inf,-inf
7.75,-inf,-inf
8.0,-inf,-inf
8.25,-inf,-inf
8.5,-inf,-inf
8.75,-inf,-inf
9.0,-inf,-inf
9.25,-inf,-inf
9.5,-inf,-inf
9.75,-inf,-inf
10.0,-inf,-inf
10.25,-inf,-inf
10.5,-inf,-inf
10.75,-inf,-inf
11.0,-inf,-inf
11.25,0.12030859954155378,0.4269952151330966
11.5,0.1173166566610905,0.5809158558663108
11.75,0.11432471378062721,0.7348364965995251
12.0,0.06899311808342434,0.8984032202906418
12.25,0.005455068268422181,1.0661178515602567
12.5,-0.05484777609230569,1.2296407512145566
12.75,-0.11148744614046917,1.3884174164193257
13.0,-0.17302709518033016,1.545508883158259
13.25,-0.28061671543975475,1.6867628654952211
13.5,-0.3882063356991794,1.8280168478321832
13.75,-0.4599802089944814,1.8641566788922237
14.0,-0.5251057517458855,1.880784600198426
14.25,-0.5902312944972896,1.8974125215046285
14.5,-0.6553568372486938,1.9140404428108309
14.75,-0.7204823800000979,1.9306683641170332
15.0,-0.7856079227515019,1.9472962854232354
15.25,-0.9083654321524772,1.9684856439868883
15.5,-1.0380745496184327,1.990225206298048
15.75,-1.1677836670843882,2.0119647686092077
16.0,-1.2802762190483914,1.982365335969961
16.25,-1.3897534227740758,1.94377427558921
16.5,-1.4992306264997601,1.9051832152084591
16.75,-1.573014528420234,1.8694375904019147
17.0,-1.5943724202898586,1.8378713165230736
17.25,-1.6157303121594835,1.8063050426442322
17.5,-1.6370882040291082,1.7747387687653908
17.75,-1.6584460958987328,1.7431724948865497
18.0,-1.6798039877683575,1.7116062210077083
18.25,-1.7011618796379822,1.680039947128867
18.5,-1.722519771507607,1.6484736732500258
18.75,-1.7438776633772317,1.6169073993711844
19.0,-1.7652355552468564,1.5853411254923433
19.25,-1.786593447116481,1.553774851613502
19.5,-1.8077819035795208,1.3913442096613389
19.75,-1.8289535838770565,1.2159564040227377
20.0,-1.8495279425062214,1.1294605751699072
20.25,-1.86977452510848,1.0917435877981139
20.5,-1.890021107710739,1.0540266004263206
20.75,-1.9102676903129978,1.0163096130545273
21.0,-1.9305142729152565,0.978592625682734
21.25,-1.9507608555175153,0.9408756383109408
21.5,-1.9710074381197742,0.9031586509391475
21.75,-1.991254020722033,0.8654416635673542
22.0,-2.0115006033242917,0.827724676195561
22.25,-2.0340534488697637,0.7987780363443501
22.5,-2.061947765610631,0.790144153454634
22.75,-2.089842082351498,0.781510270564918
23.0,-2.117736399092365,0.7728763876752018
23.25,-2.1456307158332324,0.7642425047854857
23.5,-2.1735250325740996,0.7556086218957697
23.75,-2.2014193493149667,0.7469747390060537
24.0,-2.229313666055834,0.7383408561163376
24.25,-2.257207982796701,0.7297069732266215
24.5,-2.2851022995375683,0.7210730903369055
24.75,-2.3129966162784354,0.7124392074471895
25.0,-2.3408909330193026,0.7038053245574734
25.25,-2.36878524976017,0.6951714416677572
25.5,-2.396679566501037,0.6865375587780412
25.75,-2.4579907429841685,0.6532402409330933
26.0,-2.5413113704735766,0.6036987676683854
26.25,-2.6246319979629846,0.5541572944036776
26.5,-2.7079526254523927,0.5046158211389696
26.75,-2.76491692479692,0.5089293940471633
27.0,-2.7929244407722345,0.5724116378261723
27.25,-2.820931956747549,0.6358938816051812
27.5,-2.8489394727228636,0.6993761253841901
27.75,-2.876946988698178,0.7628583691631992
28.0,-2.9049545046734924,0.826340612942208
28.25,-2.921861597499485,0.9472431401426791
28.5,-2.9342707701337223,1.0914125148086398
28.75,-2.9466799427679597,1.2355818894746002
29.0,-2.965532851118453,1.3916765439797696
29.25,-2.9847438931277295,1.54843398856338
29.5,-3.015090398240462,1.7034419717038758
29.75,-3.0611608107324537,1.8559796157628676
30.0,-3.107231223224445,2.0085172598218595
30.25,-3.1490532108653095,2.1460663264621274
30.5,-3.1904254787628643,2.282028767605761
30.75,-3.2335336038184543,2.4361320424639343
31.0,-3.294255669017285,2.7743124216606008
31.25,-3.354977734216115,3.112492800857267
