time,x,y
70,809.64,946.74
85,809.64,946.74
101,809.64,946.74
118,809.64,946.74
134,809.64,946.74
151,809.64,946.74
166,809.64,946.74
182,809.64,946.74
198,809.64,946.74
215,809.64,946.74
230,809.64,946.74
246,809.64,946.74
263,809.64,946.74
278,809.64,946.74
294,809.64,946.74
310,809.64,946.74
326,809.64,946.74
342,809.64,946.74
357,809.64,946.74
374,809.64,946.74
390,809.64,946.74
405,809.64,946.74
421,809.64,946.74
438,809.64,946.74
453,809.64,946.74
469,809.64,946.74
486,809.64,946.74
502,809.64,946.74
518,809.64,946.74
534,809.64,946.74
550,809.64,946.74
566,809.64,946.74
583,809.64,946.74
598,809.64,946.74
614,809.64,946.74
630,809.64,946.74
646,809.64,946.74
663,809.64,946.74
678,809.64,946.74
694,809.64,946.74
710,809.64,946.74
726,809.64,946.74
742,809.64,946.74
758,809.64,946.74
773,809.64,946.74
789,809.64,946.74
805,809.64,946.74
821,809.64,946.74
837,809.64,946.74
853,809.64,946.74
870,809.64,946.74
885,809.64,946.74
901,809.64,946.74
917,809.64,946.74
935,809.64,946.74
951,809.64,946.74
967,809.64,946.74
982,809.64,946.74
998,809.64,946.74
1014,809.64,946.74
1029,809.64,946.74
1046,809.64,946.74
1063,817.66,946.74
1078,825.68,946.74
1093,825.68,946.74
1110,833.69,946.74
1126,841.71,938.72
1141,849.73,938.72
1157,849.73,930.7
1174,857.74,930.7
1189,857.74,930.7
1205,865.76,930.7
1222,865.76,922.69
1237,873.77,922.69
1254,873.77,922.69
1269,873.77,922.69
1286,873.77,922.69
1301,873.77,922.69
1318,873.77,922.69
1335,873.77,922.69
1350,873.77,922.69
1366,873.77,922.69
1381,873.77,922.69
1398,873.77,922.69
1414,873.77,922.69
1431,873.77,922.69
1447,873.77,922.69
1462,873.77,922.69
1478,873.77,922.69
1494,873.77,922.69
1510,873.77,922.69
1526,873.77,922.69
1542,873.77,922.69
1557,865.76,922.69
1574,865.76,930.7
1590,857.74,938.72
1605,849.73,954.75
1621,849.73,954.75
1637,841.71,962.77
1653,833.69,970.78
1669,833.69,970.78
1685,833.69,978.8
1701,833.69,978.8
1719,833.69,986.82
1734,833.69,986.82
1750,833.69,994.83
1766,833.69,994.83
1782,833.69,1002.85
1798,833.69,1002.85
1814,833.69,1002.85
1830,825.68,1010.87
1846,825.68,1018.88
1861,825.68,1018.88
1878,825.68,1018.88
1894,825.68,1026.9
1910,825.68,1026.9
1926,825.68,1034.91
